alpha_length,beta_sigma,backreaction_cap,A_global,p,n_coh,mw_rms,mw_delta_rms,mw_ell_coh,sparc_mean_delta_rms,sparc_median_delta_rms,sparc_fraction_improved,sparc_worst_delta_rms,cluster_K_E,cluster_mass_boost,accepted
0.03,1.5,,1.0,0.757,0.5,77.55958282992428,-33.81063568790819,0.7095032474813829,999.0,999.0,0.0,999.0,0.8023916874788919,1.8643623954340287,False
0.03,1.5,5.0,1.0,0.757,0.5,77.55958282992428,-33.81063568790819,0.7095032474813829,999.0,999.0,0.0,999.0,0.8023916874788919,1.8643623954340287,False
0.03,1.5,10.0,1.0,0.757,0.5,77.55958282992428,-33.81063568790819,0.7095032474813829,999.0,999.0,0.0,999.0,0.8023916874788919,1.8643623954340287,False
0.03,1.5,15.0,1.0,0.757,0.5,77.55958282992428,-33.81063568790819,0.7095032474813829,999.0,999.0,0.0,999.0,0.8023916874788919,1.8643623954340287,False
0.03,1.8,,1.0,0.757,0.5,73.68971915478437,-37.6804993630481,0.25575139896555155,999.0,999.0,0.0,999.0,0.8023916874788919,1.8643623954340287,False
0.03,1.8,5.0,1.0,0.757,0.5,73.68971915478437,-37.6804993630481,0.25575139896555155,999.0,999.0,0.0,999.0,0.8023916874788919,1.8643623954340287,False
0.03,1.8,10.0,1.0,0.757,0.5,73.68971915478437,-37.6804993630481,0.25575139896555155,999.0,999.0,0.0,999.0,0.8023916874788919,1.8643623954340287,False
0.03,1.8,15.0,1.0,0.757,0.5,73.68971915478437,-37.6804993630481,0.25575139896555155,999.0,999.0,0.0,999.0,0.8023916874788919,1.8643623954340287,False
0.03,2.0,,1.0,0.757,0.5,71.79153374593446,-39.57868477189801,0.12953698034508135,999.0,999.0,0.0,999.0,0.8023916874788919,1.8643623954340287,False
0.03,2.0,5.0,1.0,0.757,0.5,71.79153374593446,-39.57868477189801,0.12953698034508135,999.0,999.0,0.0,999.0,0.8023916874788919,1.8643623954340287,False
0.03,2.0,10.0,1.0,0.757,0.5,71.79153374593446,-39.57868477189801,0.12953698034508135,999.0,999.0,0.0,999.0,0.8023916874788919,1.8643623954340287,False
0.03,2.0,15.0,1.0,0.757,0.5,71.79153374593446,-39.57868477189801,0.12953698034508135,999.0,999.0,0.0,999.0,0.8023916874788919,1.8643623954340287,False
0.037,1.5,,1.0,0.757,0.5,78.53035932042671,-32.83985919740576,0.8750540052270388,999.0,999.0,0.0,999.0,0.7867813809952177,1.8534182539214232,False
0.037,1.5,5.0,1.0,0.757,0.5,78.53035932042671,-32.83985919740576,0.8750540052270388,999.0,999.0,0.0,999.0,0.7867813809952177,1.8534182539214232,False
0.037,1.5,10.0,1.0,0.757,0.5,78.53035932042671,-32.83985919740576,0.8750540052270388,999.0,999.0,0.0,999.0,0.7867813809952177,1.8534182539214232,False
0.037,1.5,15.0,1.0,0.757,0.5,78.53035932042671,-32.83985919740576,0.8750540052270388,999.0,999.0,0.0,999.0,0.7867813809952177,1.8534182539214232,False
0.037,1.8,,1.0,0.757,0.5,74.37701580205548,-36.99320271577699,0.3154267253908469,999.0,999.0,0.0,999.0,0.7867813809952177,1.8534182539214232,False
0.037,1.8,5.0,1.0,0.757,0.5,74.37701580205548,-36.99320271577699,0.3154267253908469,999.0,999.0,0.0,999.0,0.7867813809952177,1.8534182539214232,False
0.037,1.8,10.0,1.0,0.757,0.5,74.37701580205548,-36.99320271577699,0.3154267253908469,999.0,999.0,0.0,999.0,0.7867813809952177,1.8534182539214232,False
0.037,1.8,15.0,1.0,0.757,0.5,74.37701580205548,-36.99320271577699,0.3154267253908469,999.0,999.0,0.0,999.0,0.7867813809952177,1.8534182539214232,False
0.037,2.0,,1.0,0.757,0.5,72.32644041727751,-39.04377810055496,0.15976227575893365,999.0,999.0,0.0,999.0,0.7867813809952177,1.8534182539214232,False
0.037,2.0,5.0,1.0,0.757,0.5,72.32644041727751,-39.04377810055496,0.15976227575893365,999.0,999.0,0.0,999.0,0.7867813809952177,1.8534182539214232,False
0.037,2.0,10.0,1.0,0.757,0.5,72.32644041727751,-39.04377810055496,0.15976227575893365,999.0,999.0,0.0,999.0,0.7867813809952177,1.8534182539214232,False
0.037,2.0,15.0,1.0,0.757,0.5,72.32644041727751,-39.04377810055496,0.15976227575893365,999.0,999.0,0.0,999.0,0.7867813809952177,1.8534182539214232,False
0.045,1.5,,1.0,0.757,0.5,79.49384818269526,-31.87637033513721,1.0642548712220743,999.0,999.0,0.0,999.0,0.7712133639252987,1.8424497499510877,False
0.045,1.5,5.0,1.0,0.757,0.5,79.49384818269526,-31.87637033513721,1.0642548712220743,999.0,999.0,0.0,999.0,0.7712133639252987,1.8424497499510877,False
0.045,1.5,10.0,1.0,0.757,0.5,79.49384818269526,-31.87637033513721,1.0642548712220743,999.0,999.0,0.0,999.0,0.7712133639252987,1.8424497499510877,False
0.045,1.5,15.0,1.0,0.757,0.5,79.49384818269526,-31.87637033513721,1.0642548712220743,999.0,999.0,0.0,999.0,0.7712133639252987,1.8424497499510877,False
0.045,1.8,,1.0,0.757,0.5,75.06657993309247,-36.30363858474,0.3836270984483273,999.0,999.0,0.0,999.0,0.7712133639252987,1.8424497499510877,False
0.045,1.8,5.0,1.0,0.757,0.5,75.06657993309247,-36.30363858474,0.3836270984483273,999.0,999.0,0.0,999.0,0.7712133639252987,1.8424497499510877,False
0.045,1.8,10.0,1.0,0.757,0.5,75.06657993309247,-36.30363858474,0.3836270984483273,999.0,999.0,0.0,999.0,0.7712133639252987,1.8424497499510877,False
0.045,1.8,15.0,1.0,0.757,0.5,75.06657993309247,-36.30363858474,0.3836270984483273,999.0,999.0,0.0,999.0,0.7712133639252987,1.8424497499510877,False
0.045,2.0,,1.0,0.757,0.5,72.8649829662345,-38.50523555159796,0.19430547051762204,999.0,999.0,0.0,999.0,0.7712133639252987,1.8424497499510877,False
0.045,2.0,5.0,1.0,0.757,0.5,72.8649829662345,-38.50523555159796,0.19430547051762204,999.0,999.0,0.0,999.0,0.7712133639252987,1.8424497499510877,False
0.045,2.0,10.0,1.0,0.757,0.5,72.8649829662345,-38.50523555159796,0.19430547051762204,999.0,999.0,0.0,999.0,0.7712133639252987,1.8424497499510877,False
0.045,2.0,15.0,1.0,0.757,0.5,72.8649829662345,-38.50523555159796,0.19430547051762204,999.0,999.0,0.0,999.0,0.7712133639252987,1.8424497499510877,False
