galaxy,rms_gr,rms_model,delta_rms,K_rough,F_missing,scale,K_total_mean,Xi_mean,M_baryon,R_disk,sigma_v
CamB,4.616823441597752,6.996939287287199,2.3801158456894465,0.7806017683350729,5.0,5.0,0.42915234034950117,1.0886435427599332,49435123.19851233,1.79,1.635
D564-8,10.049576841590154,7.357409556464234,-2.6921672851259197,0.6842588896742318,5.0,5.0,0.5618547150081157,0.2916049396953968,310227353.5564854,3.07,3.1275
D631-7,24.5852323730351,17.684835029048397,-6.900397343986704,0.6427571899059484,5.0,5.0,0.773906277394115,0.15597673562885941,5185240144.119016,7.19,8.355
DDO064,14.591505838594633,9.40450985265993,-5.186995985934704,0.6497485342286696,5.0,5.0,0.4515004857885009,0.1737974810374267,1418348733.1473734,2.98,6.7875
DDO154,22.680803776816237,16.938501883543594,-5.742301893272643,0.6440932508426187,5.0,5.0,0.7143980868212404,0.15924942658994803,2792806787.5406785,5.92,6.757499999999999
DDO161,21.31489016029167,9.014351247932982,-12.30053891235869,0.6453773822988902,5.0,5.0,0.952343486229385,0.16245302587142602,13723060303.347277,13.37,9.967499999999998
DDO168,18.767038568918075,11.375094440462815,-7.391944128455259,0.6624149363583739,5.0,5.0,0.6144755704853049,0.2108101698882543,2206527196.65272,4.12,7.199999999999999
DDO170,24.535484730575124,11.368614919745124,-13.16686981083,0.6531095565932639,5.0,5.0,1.0578925219118709,0.18299986913769914,9344689748.953976,12.33,8.565
ESO079-G014,28.886704382352235,24.329391199819586,-4.557313182532649,0.6329775885672372,5.0,5.0,0.9660763312288918,0.1338054269703863,97347258833.10088,16.67,23.775
ESO116-G012,34.256228959673145,13.65012106911779,-20.606107890555357,0.6361170614973525,5.0,5.0,0.8233544391438419,0.14059207281906802,26981493491.39935,9.86,16.275
ESO444-G084,31.693305766747677,26.592586900028227,-5.1007188667194505,0.6343341092220396,5.0,5.0,0.5378720779680372,0.13670079521207606,2877268619.246862,4.44,7.919999999999999
ESO563-G021,62.93505741241875,87.16279691273529,24.227739500316538,0.6208381650419192,5.0,5.0,1.3344221835628836,0.11024894937649314,962715379474.663,42.41,46.875
F561-1,4.42316040510831,24.12855139485325,19.70539098974494,0.702699230134488,5.0,5.0,1.0305845171127173,0.38043912180306516,5034388040.446304,9.66,7.1025
F563-1,57.23862337544333,40.78245916078636,-16.456164214656972,0.606447466757194,5.0,5.0,1.0393335506085204,0.08720115871812284,52745271094.83962,20.1,15.9375
F563-V1,1.9045179143635556,12.13042087815848,10.225902963794924,0.7160791245571829,5.0,5.0,0.9564384016202508,0.45941008530062577,1429117544.165505,7.87,4.1925
F563-V2,51.070448240065694,34.08275123514656,-16.987697004919134,0.6168811637906252,5.0,5.0,0.7725848279664341,0.10342022722432373,25769561297.071136,10.47,15.435
F565-V2,37.81055917316258,27.114173449802404,-10.696385723360176,0.6275503570278074,5.0,5.0,0.8713343236887839,0.12276546215942438,9598279869.827988,8.8,10.275
F568-1,59.47223904806734,39.509009901436514,-19.963229146630823,0.6120117596924912,5.0,5.0,0.8702459388215503,0.09554062199019275,44654325313.80753,13.23,18.075
