galaxy,delta_rms,sigma_v,R_max,ell_coh_mean_kpc
NGC5005,91.73983032825365,39.6,22.94,0.2370277839725358
UGC11914,88.65445515587595,42.6,19.66,0.1486451954726907
NGC6195,82.15000782034716,37.725,72.86,0.678632900837793
NGC2955,81.13517479568361,40.35,70.86,0.5301972982784812
NGC0891,73.59600585264094,32.85,34.22,0.5448573730555061
NGC7331,71.57230480106425,35.775,72.62,0.935974041475462
NGC3521,70.63350323642811,31.5,35.48,0.2957890685633255
NGC5371,69.7130660329521,31.95,92.48,1.311529977737235
UGC11455,68.32497364743503,40.8,83.86,0.6539685794876717
NGC3953,67.50654630761932,32.925,31.36,0.5630569853328093
UGC03546,66.90611963101304,29.175,58.46,0.6217479271836622
UGC06973,63.67001238541821,26.1,15.7,0.4234278724586899
UGC05253,59.853669255709406,32.775,106.58,0.5742960812921207
NGC4088,54.462914218825794,25.875,42.96,0.9596182122032356
NGC0801,53.63549217379736,33.15,119.64,1.3084188524859028
UGC02953,52.840991757546405,39.45,124.78,0.6713242960180268
UGC02916,52.70448689424612,31.425,76.0,0.6330035864055766
NGC4217,50.17264761483882,27.675,33.44,0.6657695668682608
NGC5055,46.784501686205104,26.925,109.18,1.6577227250347764
NGC3949,45.7299185839917,23.55,14.14,0.4248413446846392
NGC4051,45.35118940618161,22.95,24.38,0.703924363507498
UGC09133,42.52230445947346,33.975,216.62,1.6865624482893564
NGC2903,42.26693412652828,27.525,49.92,0.7959573558294135
NGC3877,41.87774900680797,25.2,22.7,0.5356158882296226
NGC4157,37.58329099264745,27.675,59.22,1.1947743688575378
NGC6946,37.49737394716183,23.55,40.8,0.9973319590585842
IC4202,34.3820603931609,36.6,51.8,0.6415855239610502
UGC06787,33.14860307409727,37.425,74.38,0.4855829127604268
NGC4085,32.740823308905256,19.05,12.4,0.4739774663110198
NGC4389,27.172536177983112,11.4525,10.64,0.8905637851703493
UGC08699,25.581763452842225,27.225,51.4,0.6074483154154068
NGC3893,25.39628711835721,27.375,38.1,0.7897027349104614
