name,quality,n_points,rdisk_catalog_kpc,rdisk_used_kpc,rdisk_heuristic_kpc,rms_locked_kms,wrms_locked_kms,rms_window_catalog_kms,wrms_window_catalog_kms,rms_window_heuristic_kms,wrms_window_heuristic_kms,rms_acceleration_only_kms,wrms_acceleration_only_kms,rms_mond_kms,wrms_mond_kms
CamB,2,9,0.47,0.47,0.73,11.425387763335717,11.425387763335715,15.800205930985168,15.800205930985168,15.35179508685021,15.35179508685021,16.72827600077732,16.72827600077732,15.603007318618458,15.603007318618456
D564-8,2,6,0.61,0.61,1.53,1.515081985679926,1.4594797151528467,7.428794914074924,7.479486088291721,6.4498234242359755,6.442768667083087,8.196604038936814,8.305103808625667,7.158481513181475,7.303607228581664
D631-7,1,16,0.7,0.7,2.69,9.27184751849783,10.123822041575513,10.983376199392247,12.205844291468638,9.087887970706891,10.078250840634276,11.842327473098429,13.170915340409692,10.481380306840629,11.567818352432937
DDO064,1,14,0.69,0.69,0.89,4.252838364650394,4.062128768298171,4.024273574281053,3.4374099973220718,3.8816658085432256,3.3046349905528247,4.666074510729673,4.076072358603097,3.522012240990801,3.0703150372445243
DDO154,2,12,0.37,0.37,2.47,1.9237227048638639,1.5108516723480863,5.549423446420993,4.724020930216876,3.448865789773173,2.841014847893449,6.018174313845832,5.096170384276935,4.433539644725978,3.180391174940615
DDO161,1,31,1.22,1.22,3.9,19.051707316712157,19.98838700955851,20.286042678221285,21.249015203024527,18.32327526171737,19.62692550542454,21.36865840020388,22.058817148201182,18.513686610093117,18.739128795827046
DDO168,2,10,1.02,1.02,1.64,6.351728997660916,6.951378385534016,7.693014237699776,8.193823348162086,6.93188188778727,7.400410805217218,9.22853128628232,9.74564896167136,7.824048223736936,8.368691857241094
DDO170,2,8,1.95,1.95,4.86,14.822601093607224,15.397001238339701,15.890690474379431,16.43165893349379,14.26349622002486,14.839273879960869,17.157231072923025,17.623702148500687,14.338052654109765,14.668935307055538
ESO079-G014,1,15,5.08,5.08,4.39,10.551099548066684,8.357807478215225,11.810484113376441,10.11699685998871,11.534205372447955,9.780641635659444,10.341347824002803,7.900654433872247,11.589833205187102,10.051278080690594
ESO116-G012,1,15,1.51,1.51,3.19,8.089586912310223,8.54030824244525,7.972431961321583,8.367855986907724,9.245390375556008,9.615976278471075,6.953968849756924,7.330921398616488,9.241088414694028,9.953068402001799
ESO444-G084,2,7,0.46,0.46,1.29,12.51083471138307,12.328158896161874,9.52659860755404,9.41055990644788,10.473178205997243,10.362923775094867,8.977897246241808,8.856756294464315,10.54330408908242,10.491403025683221
ESO563-G021,1,30,5.45,5.45,10.23,47.71089972777776,51.34208816575041,49.459547173117,53.45162856014574,51.24196608583101,55.36556250069816,47.43090048258238,51.076402314877384,45.76724985115782,47.34345135410963
F561-1,3,6,2.79,2.79,4.84,33.58759606468969,35.27767840179552,33.28823431873244,34.985371611766055,31.900007970588096,33.619587654012,35.486363399498394,37.08337726137896,32.44393772072445,33.89124467587451
F563-1,1,17,3.52,3.52,3.19,18.052495446095342,17.246534015354836,18.162846712336464,17.37475351520206,17.980740539314954,17.20496189867201,16.131992448984228,15.560418880667507,18.479039883072723,17.65876509620646
F563-V1,3,6,3.79,3.79,3.93,28.717546375126428,28.717546375126425,28.942659855528014,28.942659855528014,28.856161117144783,28.856161117144783,31.612835946708483,31.612835946708483,29.313246715246144,29.313246715246144
F563-V2,1,10,2.43,2.43,2.05,23.33518815950167,22.812932962075116,23.42965678697012,22.737506214774033,23.109228393102992,22.42298591665712,21.209019531795054,20.569613901405074,23.508613653044826,22.59097461431169
F565-V2,2,7,2.17,2.17,3.78,6.665150497959829,6.908735433857983,5.924207388281638,6.040198716364232,6.715899027438045,6.955649137787669,5.178769236153413,4.918976529488123,6.941029183826452,7.167339185332704
