cluster,n_points,covariance_used,chi2,mean_difference_dex,rms_difference_dex
A209,2,True,4.567601042404972,0.11283653148913686,0.12189438579822465
A2261,2,True,0.9686892765611521,0.055535154156511446,0.05581943844634187
A383,2,True,1.2981253076401127,0.07833738284082159,0.10902876607560866
A611,2,True,0.5621594195668604,-0.061188131792036415,0.07456343053432261
MACS0416,1,True,0.7329589902913723,0.0785602513483159,0.0785602513483159
MACS0717,1,True,3.940277124828134,0.18128404465452697,0.18128404465452697
MACS0744,1,True,5.570271328334618,0.20990394066058649,0.20990394066058649
MACS1206,2,True,1.5761358841190989,0.06778573456849823,0.09369312785917999
MACS1720,1,True,3.204612628640293,0.1925472277637077,0.1925472277637077
MACS1931,2,True,0.3272949842139864,0.08399995592509502,0.08406018877352409
RXJ1347,2,True,6.976713964575964,0.1974128402076829,0.19771379191580823
RXJ1532,2,True,1.4552646378755183,0.046755519586322514,0.15074267398252397
RXJ2129,2,True,2.33198423956381,-0.08976525026474658,0.14249915617683678
RXJ2248,2,True,1.1244872220414663,-0.16639962408610742,0.16646232099851724
