cluster,radius_kpc,log_gbar,log_gtot,err_log_gbar,err_log_gtot,gbar,gtot,dataset,group_id,B_model,log_gtot_pred,residual_dex,sigma_residual_dex,ratio_predicted_observed,model,held_out_cluster
A209,14.3,-10.015,-9.579,0.043,0.089,9.660508789898121e-11,2.636331385825376e-10,Tian2020_CLASH,A209,4.217851632025164,-9.524273269777982,0.05472673022201846,0.09007039668351288,1.1342968609591597,coupled_action_density_plus_QB,A209
A209,100.0,-10.682,-9.636,0.013,0.077,2.079696687103694e-11,2.3120647901755987e-10,Tian2020_CLASH,A209,3.7862336307548863,-9.7963141327905,-0.1603141327905,0.0771843858881527,0.6913307384192977,coupled_action_density_plus_QB,A209
A209,200.0,-10.744,-9.695,0.009,0.068,1.80301774085957e-11,2.0183663636815596e-10,Tian2020_CLASH,A209,3.4434554701550244,-9.858140325652851,-0.16314032565285075,0.06810874195194161,0.686846475985324,coupled_action_density_plus_QB,A209
A209,400.0,-10.764,-9.803,0.005,0.056,1.7218685749860095e-11,1.5739828644662164e-10,Tian2020_CLASH,A209,2.877602278517345,-9.9339976759424,-0.13099767594239964,0.05604405642677329,0.7396092329484059,coupled_action_density_plus_QB,A209
A209,600.0,-10.845,-9.896,0.006,0.052,1.4288939585111008e-11,1.2705741052085393e-10,Tian2020_CLASH,A209,2.1445305998592503,-10.07872710193805,-0.18272710193804897,0.05207911859340366,0.6565576985328335,coupled_action_density_plus_QB,A209
A2261,23.6,-9.793,-9.364,0.04,0.097,1.610645635178273e-10,4.325138310350079e-10,Tian2020_CLASH,A2261,6.462146697894678,-9.336195727395415,0.027804272604585734,0.09758588316727493,1.0661155370778235,coupled_action_density_plus_QB,A2261
A2261,100.0,-10.423,-9.426,0.007,0.083,3.77572190925416e-11,3.749730022454834e-10,Tian2020_CLASH,A2261,5.76665848675431,-9.542245600974494,-0.11624560097449432,0.08303034281734722,0.7651637713051715,coupled_action_density_plus_QB,A2261
A2261,200.0,-10.538,-9.495,0.003,0.068,2.8973435877013214e-11,3.198895109691404e-10,Tian2020_CLASH,A2261,5.0785460228070365,-9.62948468704322,-0.13448468704322103,0.0680085041266493,0.7336945835828266,coupled_action_density_plus_QB,A2261
A2261,400.0,-10.687,-9.621,0.003,0.051,2.0558905959841447e-11,2.393315756405385e-10,Tian2020_CLASH,A2261,3.9405674238591595,-9.783219396355292,-0.16221939635529203,0.05101468711359008,0.6883044916784902,coupled_action_density_plus_QB,A2261
A2261,600.0,-10.785,-9.726,0.003,0.044,1.6405897731995387e-11,1.8793168168032648e-10,Tian2020_CLASH,A2261,2.826282481584197,-9.950038644108014,-0.22403864410801333,0.044020567019040606,0.5969821639433012,coupled_action_density_plus_QB,A2261
A383,14.3,-9.91,-9.288,0.039,0.128,1.2302687708123812e-10,5.152286445817561e-10,Tian2020_CLASH,A383,4.431665176442836,-9.476128726988264,-0.1881287269882641,0.12864243977811762,0.6484422036503358,coupled_action_density_plus_QB,A383
A383,100.0,-10.489,-9.434,0.007,0.089,3.243396173493487e-11,3.6812897364253203e-10,Tian2020_CLASH,A383,3.820236966707545,-9.717247059126432,-0.2832470591264329,0.08903864769622157,0.5208983009582709,coupled_action_density_plus_QB,A383
A383,200.0,-10.677,-9.567,0.004,0.068,2.1037784397664772e-11,2.7101916318908416e-10,Tian2020_CLASH,A383,3.2510691113971384,-9.85118124448949,-0.2841812444894902,0.06802092294784469,0.5197790314335134,coupled_action_density_plus_QB,A383
A383,400.0,-10.883,-9.772,0.004,0.059,1.3091819229994098e-11,1.6904409316432633e-10,Tian2020_CLASH,A383,2.4414523652794036,-10.049377968384926,-0.27737796838492557,0.05903006311643009,0.5279855436359312,coupled_action_density_plus_QB,A383
A611,22.2,-10.136,-9.381,0.036,0.124,7.311390834834187e-11,4.159106104940219e-10,Tian2020_CLASH,A611,4.521016949409264,-9.540450837867391,-0.15945083786739112,0.12448279865954737,0.6927063393525189,coupled_action_density_plus_QB,A611
A611,100.0,-10.504,-9.454,0.005,0.1,3.1332857243155885e-11,3.5156044052829763e-10,Tian2020_CLASH,A611,4.190059970702259,-9.689150199253456,-0.23515019925345548,0.10001694325204878,0.5819019341829095,coupled_action_density_plus_QB,A611
A611,200.0,-10.622,-9.538,0.005,0.08,2.387811282913178e-11,2.897343587701321e-10,Tian2020_CLASH,A611,3.7812578737794156,-9.77251145084041,-0.2345114508404098,0.08002495576957847,0.5827584092741391,coupled_action_density_plus_QB,A611
A611,400.0,-10.767,-9.683,0.004,0.06,1.7100153150902897e-11,2.0749135174549106e-10,Tian2020_CLASH,A611,2.9860546981199474,-9.921594683839132,-0.23859468383913196,0.060026014014640604,0.5773049963450829,coupled_action_density_plus_QB,A611
A611,600.0,-10.876,-9.801,0.004,0.056,1.3304544179780928e-11,1.5812480392703828e-10,Tian2020_CLASH,A611,2.1786770178495627,-10.087858330955276,-0.28685833095527613,0.05603284071859092,0.5165848543684193,coupled_action_density_plus_QB,A611
MACS0329,22.2,-9.871,-9.145,0.032,0.112,1.345860354055947e-10,7.161434102129027e-10,Tian2020_CLASH,MACS0329,10.461322933226493,-9.200942941049806,-0.055942941049806905,0.11210003794641261,0.8791380131106499,coupled_action_density_plus_QB,MACS0329
MACS0329,100.0,-10.267,-9.296,0.005,0.084,5.407543229455815e-11,5.058246620031147e-10,Tian2020_CLASH,MACS0329,9.829412137001675,-9.294941087439069,0.0010589125609303807,0.08400796807179378,1.0024412111930125,coupled_action_density_plus_QB,MACS0329
MACS0329,200.0,-10.487,-9.445,0.004,0.066,3.258367010020087e-11,3.5892193464500497e-10,Tian2020_CLASH,MACS0329,9.060057692923154,-9.386300470358947,0.058699529641053516,0.06601137294406127,1.1447206825977807,coupled_action_density_plus_QB,MACS0329
MACS0416,14.3,-10.67,-9.541,0.043,0.096,2.1379620895022323e-11,2.877398414735667e-10,Tian2020_CLASH,MACS0416,3.449706067953555,-9.82626293067013,-0.28526293067012887,0.09764919150483244,0.5184860419437434,coupled_action_density_plus_QB,MACS0416
MACS0416,200.0,-10.727,-9.688,0.034,0.069,1.8749945080674173e-11,2.0511621788255626e-10,Tian2020_CLASH,MACS0416,3.2471181765368136,-9.872913241089854,-0.18491324108985374,0.07052777151786803,0.653261041423259,coupled_action_density_plus_QB,MACS0416
MACS0416,400.0,-10.722,-9.82,0.035,0.058,1.8967059212111484e-11,1.5135612484362072e-10,Tian2020_CLASH,MACS0416,2.68640558281371,-9.940510663185703,-0.12051066318570314,0.060054722833616056,0.7576861292514391,coupled_action_density_plus_QB,MACS0416
MACS0429,17.2,-9.743,-9.328,0.036,0.148,1.8071741260109256e-10,4.69894108605216e-10,Tian2020_CLASH,MACS0429,10.68043471131963,-9.174769524128093,0.15323047587190608,0.14810999164614172,1.4230838035456645,coupled_action_density_plus_QB,MACS0429
MACS0429,100.0,-10.293,-9.446,0.008,0.108,5.0933087105719625e-11,3.580964371026362e-10,Tian2020_CLASH,MACS0429,9.831768213204871,-9.300970171275702,0.14502982872429726,0.10801700395276757,1.3964642713633897,coupled_action_density_plus_QB,MACS0429
MACS0429,200.0,-10.526,-9.558,0.006,0.081,2.978516429429191e-11,2.766941645411513e-10,Tian2020_CLASH,MACS0429,9.014785517478055,-9.400490976812822,0.15750902318717763,0.08102252180878484,1.4371729126938322,coupled_action_density_plus_QB,MACS0429
MACS0647,14.3,-10.007,-9.279,0.043,0.156,9.840111057611345e-11,5.260172663907063e-10,Tian2020_CLASH,MACS0647,9.513355764504677,-9.255741554489608,0.023258445510391468,0.15617565203816283,1.0550145411550946,coupled_action_density_plus_QB,MACS0647
MACS0647,100.0,-10.35,-9.379,0.01,0.12,4.4668359215096346e-11,4.178303666466222e-10,Tian2020_CLASH,MACS0647,8.921765792434272,-9.35325759048807,0.02574240951192941,0.12002921366235307,1.0610660267772842,coupled_action_density_plus_QB,MACS0647
MACS0647,200.0,-10.456,-9.477,0.007,0.095,3.499451670283577e-11,3.334264127632347e-10,Tian2020_CLASH,MACS0647,8.264245742968306,-9.413407500131099,0.0635924998689017,0.09502357783246036,1.157690580985112,coupled_action_density_plus_QB,MACS0647
MACS0717,14.3,-10.184,-9.557,0.043,0.078,6.54636174067276e-11,2.773320104651838e-10,Tian2020_CLASH,MACS0717,6.798591696797208,-9.413554086484842,0.14344591351515845,0.07872645880088133,1.3913805032881261,coupled_action_density_plus_QB,MACS0717
MACS0717,100.0,-10.769,-9.593,0.007,0.071,1.70215850839495e-11,2.5527013026612473e-10,Tian2020_CLASH,MACS0717,6.546414314593511,-9.616578404894959,-0.023578404894958993,0.07105386965371936,0.947156175229889,coupled_action_density_plus_QB,MACS0717
MACS0717,200.0,-10.699,-9.632,0.006,0.064,1.9998618696327447e-11,2.3334580622810043e-10,Tian2020_CLASH,MACS0717,6.371519733417444,-9.60028048492494,0.03171951507505888,0.06404084564981474,1.0757702133519542,coupled_action_density_plus_QB,MACS0717
MACS0717,400.0,-10.566,-9.709,0.004,0.055,2.716439268839078e-11,1.9543394557753964e-10,Tian2020_CLASH,MACS0717,5.877861229723654,-9.583184523126175,0.1258154768738251,0.05501826519099503,1.3360277442026849,coupled_action_density_plus_QB,MACS0717
MACS0717,600.0,-10.543,-9.778,0.003,0.05,2.8641779699065855e-11,1.667247212551061e-10,Tian2020_CLASH,MACS0717,4.6166489301386315,-9.667400330594294,0.11059966940570654,0.05001214533198266,1.2900295822193726,coupled_action_density_plus_QB,MACS0717
MACS0744,14.3,-9.668,-9.283,0.043,0.139,2.1478304741305376e-10,5.211947111050811e-10,Tian2020_CLASH,MACS0744,9.674551246181915,-9.1912170894135,0.0917829105864989,0.13928257467079186,1.2353297786828643,coupled_action_density_plus_QB,MACS0744
MACS0744,100.0,-10.295,-9.364,0.008,0.111,5.0699070827470445e-11,4.325138310350079e-10,Tian2020_CLASH,MACS0744,8.58373892378848,-9.354043015898752,0.009956984101249233,0.11101819751880501,1.0231916424139733,coupled_action_density_plus_QB,MACS0744
MACS0744,200.0,-10.443,-9.445,0.006,0.087,3.6057864302164274e-11,3.5892193464500497e-10,Tian2020_CLASH,MACS0744,7.570066555233976,-9.443933962357614,0.0010660376423867746,0.08701916942712666,1.0024576574850403,coupled_action_density_plus_QB,MACS0744
MACS0744,400.0,-10.568,-9.592,0.005,0.064,2.7039583641088462e-11,2.5585858869056426e-10,Tian2020_CLASH,MACS0744,5.951484973461314,-9.579045415875932,0.012954584124068802,0.06402447799323753,1.0302783745608195,coupled_action_density_plus_QB,MACS0744
MACS0744,600.0,-10.667,-9.709,0.005,0.057,2.1527817347243738e-11,1.9543394557753964e-10,Tian2020_CLASH,MACS0744,4.308300269948837,-9.74112828987529,-0.03212828987529015,0.057034700186115846,0.9286920121648653,coupled_action_density_plus_QB,MACS0744
MACS1115,16.2,-10.291,-9.479,0.019,0.106,5.116818355403073e-11,3.31894457552611e-10,Tian2020_CLASH,MACS1115,10.764879439724064,-9.264978967985801,0.2140210320141982,0.10609171666454632,1.6368957911016055,coupled_action_density_plus_QB,MACS1115
MACS1115,100.0,-10.256,-9.542,0.005,0.091,5.546257129579104e-11,2.870780582024692e-10,Tian2020_CLASH,MACS1115,10.274503598570227,-9.275231887734128,0.26676811226587205,0.09100691277275416,1.8482814817589306,coupled_action_density_plus_QB,MACS1115
MACS1115,200.0,-10.445,-9.607,0.003,0.077,3.58921934645005e-11,2.4717241450161343e-10,Tian2020_CLASH,MACS1115,9.593257203639816,-9.350924231962027,0.25607576803797194,0.07700491551845094,1.803332327021236,coupled_action_density_plus_QB,MACS1115
MACS1149,14.3,-10.224,-9.509,0.043,0.107,5.970352865838366e-11,3.097419299216578e-10,Tian2020_CLASH,MACS1149,7.794684543978219,-9.37314190043972,0.13585809956028072,0.10750097862711488,1.367282009837298,coupled_action_density_plus_QB,MACS1149
MACS1149,200.0,-10.614,-9.598,0.012,0.085,2.432204009073811e-11,2.5234807724805705e-10,Tian2020_CLASH,MACS1149,6.032039949927147,-9.590305480260477,0.007694519739523287,0.0851123602475609,1.0178751686057315,coupled_action_density_plus_QB,MACS1149
MACS1149,400.0,-10.618,-9.686,0.008,0.07,2.4099054286865932e-11,2.0606299132700004e-10,Tian2020_CLASH,MACS1149,4.581954294533563,-9.698428416031762,-0.012428416031761813,0.07006725169482615,0.9717881164416953,coupled_action_density_plus_QB,MACS1149
MACS1206,14.3,-10.542,-9.328,0.043,0.13,2.870780582024692e-11,4.69894108605216e-10,Tian2020_CLASH,MACS1206,8.917090497707894,-9.410007802902815,-0.08200780290281529,0.1307428699647696,0.8279272883352028,coupled_action_density_plus_QB,MACS1206
MACS1206,100.0,-10.35,-9.407,0.008,0.106,4.4668359215096346e-11,3.917418771077831e-10,Tian2020_CLASH,MACS1206,8.608386297814768,-9.367196667201899,0.03980333279810111,0.10602159823505887,1.0959817761118267,coupled_action_density_plus_QB,MACS1206
MACS1206,200.0,-10.432,-9.487,0.005,0.086,3.698281797802659e-11,3.258367010020087e-10,Tian2020_CLASH,MACS1206,8.075402744353006,-9.41531934364701,0.07168065635299037,0.08601279904313983,1.1794530461115693,coupled_action_density_plus_QB,MACS1206
MACS1206,400.0,-10.523,-9.627,0.004,0.064,2.999162518987653e-11,2.360478233180573e-10,Tian2020_CLASH,MACS1206,6.684320227462517,-9.518187464226072,0.10881253577392869,0.06401402057785512,1.2847319826815,coupled_action_density_plus_QB,MACS1206
MACS1206,600.0,-10.61,-9.744,0.004,0.054,2.4547089156850335e-11,1.8030177408595698e-10,Tian2020_CLASH,MACS1206,4.950249922692276,-9.665740334119594,0.078259665880406,0.05402097978272423,1.197456279756965,coupled_action_density_plus_QB,MACS1206
MACS1720,23.6,-9.948,-9.342,0.032,0.128,1.1271974561755093e-10,4.54988060150048e-10,Tian2020_CLASH,MACS1720,6.4066879085419055,-9.377561357261385,-0.03556135726138443,0.1282293846745339,0.9213797067235173,coupled_action_density_plus_QB,MACS1720
MACS1720,100.0,-10.371,-9.423,0.005,0.102,4.2559841313374265e-11,3.77572190925416e-10,Tian2020_CLASH,MACS1720,5.8766792294263865,-9.518854567871,-0.09585456787099922,0.1020114948568465,0.8019465661565737,coupled_action_density_plus_QB,MACS1720
MACS1720,200.0,-10.531,-9.515,0.004,0.08,2.944421633798757e-11,3.0549211132155093e-10,Tian2020_CLASH,MACS1720,5.216849082127408,-9.616750411364771,-0.1017504113647707,0.08001258538532285,0.7911331608699841,coupled_action_density_plus_QB,MACS1720
MACS1720,400.0,-10.693,-9.67,0.005,0.059,2.0276827195212838e-11,2.1379620895022325e-10,Tian2020_CLASH,MACS1720,4.026154372989138,-9.777483343887964,-0.10748334388796366,0.05903517470169623,0.7807583832992352,coupled_action_density_plus_QB,MACS1720
MACS1931,14.3,-9.997,-9.308,0.039,0.175,1.0069316688518044e-10,4.920395356814511e-10,Tian2020_CLASH,MACS1931,9.71957244352173,-9.246380999866536,0.06161900013346333,0.1751222313410466,1.152441794761413,coupled_action_density_plus_QB,MACS1931
MACS1931,100.0,-10.171,-9.409,0.002,0.127,6.74528027697923e-11,3.899419866765428e-10,Tian2020_CLASH,MACS1931,8.912407881835998,-9.311019651574545,0.09798034842545533,0.12700071643030436,1.2530844723097034,coupled_action_density_plus_QB,MACS1931
MACS1931,200.0,-10.387,-9.507,0.002,0.095,4.102041029866064e-11,3.11171633710602e-10,Tian2020_CLASH,MACS1931,7.809264564419893,-9.415289570888303,0.09171042911169636,0.09500172107093635,1.2351236258151272,coupled_action_density_plus_QB,MACS1931
MACS1931,400.0,-10.589,-9.668,0.002,0.069,2.576321157002573e-11,2.1478304741305376e-10,Tian2020_CLASH,MACS1931,5.844466731249649,-9.593624602440942,0.07437539755905753,0.06900376307738451,1.1867941517849934,coupled_action_density_plus_QB,MACS1931
MACS1931,600.0,-10.728,-9.793,0.003,0.07,1.8706821403658015e-11,1.610645635178273e-10,Tian2020_CLASH,MACS1931,4.113416217392723,-9.783611829302451,0.009388170697548048,0.07001092554176444,1.0218524033186644,coupled_action_density_plus_QB,MACS1931
MS2137,14.3,-9.921,-9.567,0.036,0.171,1.1994993031493807e-10,2.7101916318908416e-10,Tian2020_CLASH,MS2137,11.12768529849901,-9.186605178930975,0.3803948210690251,0.17107328563182161,2.401014711468017,coupled_action_density_plus_QB,MS2137
MS2137,100.0,-10.254,-9.625,0.002,0.136,5.5718574893193044e-11,2.371373705661655e-10,Tian2020_CLASH,MS2137,10.336727128191438,-9.27243597702172,0.3525640229782798,0.1360007327036658,2.251977375076664,coupled_action_density_plus_QB,MS2137
MS2137,200.0,-10.511,-9.692,0.003,0.105,3.0831879502493595e-11,2.032357010936221e-10,Tian2020_CLASH,MS2137,9.51338007710881,-9.374118708032633,0.3178812919673675,0.10500414800017581,2.0791283101716975,coupled_action_density_plus_QB,MS2137
