case_mangaid,case_plateifu,control_mangaid,control_plateifu,match_rank,standardized_distance
1-274440,8455-1902,1-247629,8488-1902,1,1.0020296473501666
1-274440,8455-1902,1-218009,8940-3704,2,1.1764317530657253
1-274440,8455-1902,1-495023,8310-6103,3,1.2476331779060152
1-274440,8455-1902,1-208472,8593-1901,4,1.4262665653953088
1-274440,8455-1902,1-457376,11004-6102,5,1.4282323314999497
1-282035,8262-1902,1-210778,8602-3702,1,0.7629891213426427
1-282035,8262-1902,1-51568,9189-1902,2,0.8824036805245059
1-282035,8262-1902,1-51634,8727-1902,3,0.9733140630886149
1-282035,8262-1902,1-298864,9508-1902,4,1.023429322796811
1-282035,8262-1902,1-176155,11833-3704,5,1.0851040273191424
1-235983,8980-3701,1-174119,8946-1901,1,0.7367053856094621
1-235983,8980-3701,1-94584,9026-3701,2,0.8257568830354763
1-235983,8980-3701,1-38618,8084-1902,3,0.8515481286319563
1-235983,8980-3701,1-283164,11953-1901,4,0.9042520420916881
1-235983,8980-3701,1-134312,8487-3701,5,0.9564131788062519
1-44722,8714-9102,1-23459,11025-3701,1,0.7230357550148285
1-44722,8714-9102,1-421128,12620-9102,2,0.977950210652838
1-44722,8714-9102,1-229890,9503-1902,3,1.0256596439591423
1-44722,8714-9102,1-457185,9880-12702,4,1.0452995638016087
1-44722,8714-9102,1-456716,9874-3704,5,1.0564114989549158
1-278079,8993-3704,1-119315,8087-6104,1,0.6990048092672619
1-278079,8993-3704,1-198879,9870-3704,2,0.719585962527043
1-278079,8993-3704,1-321823,9033-1902,3,0.7699659248108364
1-278079,8993-3704,1-261280,8337-1901,4,0.7810320576877716
1-278079,8993-3704,1-569077,8979-6103,5,0.836851360169056
1-94773,9026-1902,1-149496,8992-3701,1,0.6985798723085711
1-94773,9026-1902,1-594515,11941-1902,2,0.7146436006132745
1-94773,9026-1902,1-189376,10510-3704,3,0.7804744963340012
1-94773,9026-1902,1-523154,8311-1901,4,0.8122436381379365
1-94773,9026-1902,1-187562,9000-6101,5,0.8131523464217846
1-322291,9870-3701,1-189522,11872-3703,1,0.8182693784886239
1-322291,9870-3701,1-363769,11962-3702,2,0.8826317596677014
1-322291,9870-3701,1-322262,9871-6104,3,0.8970161485861261
1-322291,9870-3701,1-591255,9863-1901,4,0.9202990297777401
1-322291,9870-3701,1-300759,10505-12705,5,0.9305196185244038
1-266244,8333-1902,1-118491,12089-1902,1,0.6716096465584176
1-266244,8333-1902,1-201307,8937-1901,2,0.7240766512979377
1-266244,8333-1902,1-322159,9872-1901,3,0.8089049777641407
1-266244,8333-1902,1-382318,10218-1901,4,0.8158803587897772
1-266244,8333-1902,1-420979,12621-1901,5,0.8390167594471515
1-174947,8989-9101,1-197307,9864-6103,1,0.647904086980822
1-174947,8989-9101,1-32786,12696-6103,2,0.6607602169125506
1-174947,8989-9101,1-623722,8951-3703,3,0.6942118323803023
1-174947,8989-9101,1-627945,8443-6104,4,0.7041261939254642
1-174947,8989-9101,1-247661,9036-9101,5,0.7160966727859808
1-44047,8143-1902,1-72211,9183-3702,1,0.6392231545628363
1-44047,8143-1902,1-178035,7961-1901,2,0.6480943001993794
1-44047,8143-1902,1-93053,8562-3703,3,0.6623005072026648
1-44047,8143-1902,1-279666,8945-3703,4,0.6673832981980182
1-44047,8143-1902,1-296398,9040-1902,5,0.699541400639795
1-210728,8604-3701,1-135475,12673-12705,1,0.5930538115045062
1-210728,8604-3701,1-605726,8248-3703,2,0.6646312921665333
1-210728,8604-3701,1-211006,8312-3701,3,0.7281709771461428
1-210728,8604-3701,1-456416,11871-12702,4,0.7432489701634905
1-210728,8604-3701,1-602989,12078-6103,5,0.825608239929667
1-188530,8995-3703,1-28070,12070-12702,1,0.5875511242791484
1-188530,8995-3703,1-402872,8323-6102,2,0.5876931178840986
1-188530,8995-3703,1-250652,8331-3703,3,0.7643712472253762
1-188530,8995-3703,1-390514,8150-12704,4,0.768421382106123
1-188530,8995-3703,1-490074,8450-3702,5,0.7696805275761229
1-236144,8980-12703,1-605026,10492-9101,1,0.5621115256623619
1-236144,8980-12703,1-585206,9507-12705,2,0.5736246795313358
1-236144,8980-12703,1-135133,8603-12703,3,0.6338208445451826
1-236144,8980-12703,1-22662,7992-6104,4,0.6399381841310329
1-236144,8980-12703,1-615921,8990-9102,5,0.6679325455165802
1-318513,9048-6101,1-319663,11017-1901,1,0.5418600652706506
1-318513,9048-6101,1-208313,8592-6104,2,0.6068029867483666
1-318513,9048-6101,1-52600,8158-1902,3,0.6364214444262735
1-318513,9048-6101,1-245238,11012-1901,4,0.7013071523344822
1-318513,9048-6101,1-458272,8952-1902,5,0.7597415677967491
1-418023,8446-1901,1-351702,8720-1902,1,0.5345201534687659
1-418023,8446-1901,1-131060,8589-6103,2,0.5597693297850028
1-418023,8446-1901,1-548191,8719-1901,3,0.617850921058088
1-418023,8446-1901,1-457149,9880-3703,4,0.619563613117536
1-418023,8446-1901,1-457197,9877-6102,5,0.6299176658201338
