cluster,radius_kpc,log_gbar,log_gtot,err_log_gbar,err_log_gtot,gbar,gtot,dataset,group_id,B_model,log_gtot_pred,residual_dex,sigma_residual_dex,ratio_predicted_observed,model,held_out_cluster
A209,14.3,-10.015,-9.579,0.043,0.089,9.660508789898121e-11,2.636331385825376e-10,Tian2020_CLASH,A209,5.536909645818429,-9.44087699993682,0.1381230000631799,0.08972889947157221,1.3744311836992438,density_helmholtz,A209
A209,100.0,-10.682,-9.636,0.013,0.077,2.079696687103694e-11,2.3120647901755987e-10,Tian2020_CLASH,A209,3.8448570874819015,-9.790503763665194,-0.15450376366519514,0.07718333443363669,0.7006421109629042,density_helmholtz,A209
A209,200.0,-10.744,-9.695,0.009,0.068,1.80301774085957e-11,2.0183663636815596e-10,Tian2020_CLASH,A209,2.7961788791203386,-9.935687571988638,-0.24068757198863722,0.0681174147264418,0.5745296256395866,density_helmholtz,A209
A209,400.0,-10.764,-9.803,0.005,0.056,1.7218685749860095e-11,1.5739828644662164e-10,Tian2020_CLASH,A209,1.9511739421346022,-10.07325593700812,-0.2702559370081197,0.05605157971707076,0.5367154077786351,density_helmholtz,A209
A209,600.0,-10.845,-9.896,0.006,0.052,1.4288939585111008e-11,1.2705741052085393e-10,Tian2020_CLASH,A209,1.4884160147376815,-10.205722107725874,-0.3097221077258734,0.052091690309988295,0.49009231472684994,density_helmholtz,A209
A2261,23.6,-9.793,-9.364,0.04,0.097,1.610645635178273e-10,4.325138310350079e-10,Tian2020_CLASH,A2261,4.933151564210502,-9.408805509430616,-0.04480550943061523,0.0979406881043856,0.9019749796071825,density_helmholtz,A2261
A2261,100.0,-10.423,-9.426,0.007,0.083,3.77572190925416e-11,3.749730022454834e-10,Tian2020_CLASH,A2261,3.818371527302788,-9.693067797254459,-0.26706779725445884,0.08303897018719207,0.5406699129461393,density_helmholtz,A2261
A2261,200.0,-10.538,-9.495,0.003,0.068,2.8973435877013214e-11,3.198895109691404e-10,Tian2020_CLASH,A2261,2.932901694665417,-9.830375826323163,-0.33537582632316365,0.06801121179119604,0.46198106285017493,density_helmholtz,A2261
A2261,400.0,-10.687,-9.621,0.003,0.051,2.0558905959841447e-11,2.393315756405385e-10,Tian2020_CLASH,A2261,2.0534055801175177,-10.019146409196594,-0.3981464091965936,0.05101939879962322,0.3998099432578525,density_helmholtz,A2261
A2261,600.0,-10.785,-9.726,0.003,0.044,1.6405897731995387e-11,1.8793168168032648e-10,Tian2020_CLASH,A2261,1.5533454134726317,-10.160832791474894,-0.43483279147489284,0.044026334189885524,0.36742373576414517,density_helmholtz,A2261
