fold,held_out_cluster,split_type
0,A209,leave_one_cluster_out
1,A2261,leave_one_cluster_out
2,A383,leave_one_cluster_out
3,A611,leave_one_cluster_out
4,MACS0329,leave_one_cluster_out
5,MACS0416,leave_one_cluster_out
6,MACS0429,leave_one_cluster_out
7,MACS0647,leave_one_cluster_out
8,MACS0717,leave_one_cluster_out
9,MACS0744,leave_one_cluster_out
10,MACS1115,leave_one_cluster_out
11,MACS1149,leave_one_cluster_out
12,MACS1206,leave_one_cluster_out
13,MACS1720,leave_one_cluster_out
14,MACS1931,leave_one_cluster_out
15,MS2137,leave_one_cluster_out
16,RXJ1347,leave_one_cluster_out
17,RXJ1532,leave_one_cluster_out
18,RXJ2129,leave_one_cluster_out
19,RXJ2248,leave_one_cluster_out
