feature,kind,varies_with_radius,uses_observed_velocity,finite_fraction,positive_fraction
mean_surface_R80,global_density_or_control,False,False,1.0,1.0
mean_volume_R80,global_density_or_control,False,False,1.0,1.0
disk_surface_density,global_density_or_control,False,False,1.0,1.0
disk_volume_density,global_density_or_control,False,False,1.0,1.0
acceleration_R80,global_density_or_control,False,False,1.0,1.0
potential_depth,local_field_invariant,True,False,1.0,1.0
baryonic_mass,global_density_or_control,False,False,1.0,1.0
R80,global_density_or_control,False,False,1.0,1.0
pair_proximity_L0p1kpc,global_pair,False,False,1.0,1.0
pair_surface_L0p1kpc,global_pair,False,False,1.0,1.0
pair_count_L0p1kpc,global_pair,False,False,1.0,1.0
pair_proximity_L0p3kpc,global_pair,False,False,1.0,1.0
pair_surface_L0p3kpc,global_pair,False,False,1.0,1.0
pair_count_L0p3kpc,global_pair,False,False,1.0,1.0
pair_proximity_L1p0kpc,global_pair,False,False,1.0,1.0
pair_surface_L1p0kpc,global_pair,False,False,1.0,1.0
pair_count_L1p0kpc,global_pair,False,False,1.0,1.0
pair_proximity_L3p0kpc,global_pair,False,False,1.0,1.0
pair_surface_L3p0kpc,global_pair,False,False,1.0,1.0
pair_count_L3p0kpc,global_pair,False,False,1.0,1.0
pair_proximity_L10p0kpc,global_pair,False,False,1.0,1.0
pair_surface_L10p0kpc,global_pair,False,False,1.0,1.0
pair_count_L10p0kpc,global_pair,False,False,1.0,1.0
pair_proximity_L30p0kpc,global_pair,False,False,1.0,1.0
pair_surface_L30p0kpc,global_pair,False,False,1.0,1.0
pair_count_L30p0kpc,global_pair,False,False,1.0,1.0
pair_proximity_L100p0kpc,global_pair,False,False,1.0,1.0
pair_surface_L100p0kpc,global_pair,False,False,1.0,1.0
pair_count_L100p0kpc,global_pair,False,False,1.0,1.0
pair_proximity_L300p0kpc,global_pair,False,False,1.0,1.0
pair_surface_L300p0kpc,global_pair,False,False,1.0,1.0
pair_count_L300p0kpc,global_pair,False,False,1.0,1.0
pair_proximity_L0p1R80,global_pair,False,False,1.0,1.0
pair_surface_L0p1R80,global_pair,False,False,1.0,1.0
pair_proximity_L0p3R80,global_pair,False,False,1.0,1.0
pair_surface_L0p3R80,global_pair,False,False,1.0,1.0
pair_proximity_L1p0R80,global_pair,False,False,1.0,1.0
pair_surface_L1p0R80,global_pair,False,False,1.0,1.0
pair_proximity_L3p0R80,global_pair,False,False,1.0,1.0
pair_surface_L3p0R80,global_pair,False,False,1.0,1.0
local_face_on_surface_density,local_path,True,False,1.0,1.0
local_volume_density,local_path,True,False,1.0,1.0
outward_radial_column,local_path,True,False,1.0,1.0
enclosed_mean_volume_density,local_path,True,False,1.0,1.0
