candidate_id,family,feature,fixed_slope,parameter_count,predicted_sign,mean_fold_improvement_fraction,median_fold_improvement_fraction,fold_wins,q_min,q_median,q_max,cv_equal_galaxy_RMSE_km_s,cv_pooled_RMSE_km_s,improvement_vs_constant_fraction,rank,selected_for_holdout
inverse_hill0_m1__potential_depth,inverse_hill_zero_floor,potential_depth,1.0,2,inverse,0.13194290697851838,0.14686877203222465,4,0.9043644732460864,1.3617314812508794,1.7774994923185734,10.83171506191698,10.605696367982278,0.1413244356970741,1,True
inverse_hillfloor_m1__potential_depth,inverse_hill_free_floor,potential_depth,1.0,3,inverse,0.13178196096295805,0.1468687721179177,4,0.9043645159383857,1.3598927899201172,1.7872077370546169,10.833285773573698,10.611138031891107,0.1411999187844264,2,False
quadratic_log__potential_depth,quadratic_log_response_diagnostic,potential_depth,,3,nonmonotonic,0.13067573966188922,0.14707952052685203,4,0.9423788700211538,1.3500966849943472,1.8768534292650545,10.842054183087743,10.645744122995763,0.1405048101202423,3,False
inverse_hill0_m0.5__potential_depth,inverse_hill_zero_floor,potential_depth,0.5,2,inverse,0.13033615647945004,0.14510002513981224,4,0.9623661769409056,1.338269183564933,2.0784262337640396,10.847070505288942,10.673169953763612,0.14010714518239842,4,False
free_loglinear__potential_depth,unconstrained_log_linear,potential_depth,,2,learned,0.1271877049229166,0.1409378458486228,4,0.9932537177754219,1.3248745144996166,2.3245612121885304,10.883128384359125,10.735081928718703,0.13724868560502135,5,False
inverse_loglinear__potential_depth,inverse_log_linear,potential_depth,,2,inverse,0.1271877047279471,0.14093784476502402,4,0.9932537281110321,1.3248745167352225,2.324561201258169,10.883128389727217,10.735081924907975,0.1372486851794702,6,False
inverse_hillfloor_m2__potential_depth,inverse_hill_free_floor,potential_depth,2.0,3,inverse,0.12697623396535765,0.14139366916725343,4,0.8976343189150335,1.3728245642151529,1.632323235613164,10.896687623827685,10.672064544086213,0.13617378772083322,7,False
inverse_hill0_m2__potential_depth,inverse_hill_zero_floor,potential_depth,2.0,2,inverse,0.12585584377542577,0.1353697086536262,4,0.7913111007482799,1.3820158540147716,1.5483379359568399,10.919954587638665,10.622095572612059,0.13432931773932,8,False
inverse_hill0_m4__potential_depth,inverse_hill_zero_floor,potential_depth,4.0,2,inverse,0.09823174100114987,0.09710745366283974,4,0.5933273745714972,1.3597068003431372,1.4143311421168818,11.282154692127602,10.96963341841723,0.1056161936094121,9,False
quadratic_log__pair_surface_L3p0R80,quadratic_log_response_diagnostic,pair_surface_L3p0R80,,3,nonmonotonic,0.07882991378221449,0.09676413789901761,3,1.1191618225402957,1.264941009930288,2.2109540701090413,11.485489030563151,11.557537790664599,0.08949702625684997,10,False
inverse_hillfloor_m2__outward_radial_column,inverse_hill_free_floor,outward_radial_column,2.0,3,inverse,0.09474788527569336,0.059177072608640136,4,0.8551503401762489,1.2798483878416227,1.4284628191485127,11.514456981883468,11.11058322236135,0.0872006150417759,11,False
quadratic_log__mean_surface_R80,quadratic_log_response_diagnostic,mean_surface_R80,,3,nonmonotonic,0.07042697410967103,0.09218481745261109,3,1.115382733362712,1.2580485676969824,2.1982619577076745,11.560239799049523,11.607822640162375,0.08357121876051121,12,False
