candidate_id,family,feature,fixed_slope,parameter_count,predicted_sign,mean_fold_improvement_fraction,median_fold_improvement_fraction,fold_wins,q_min,q_median,q_max,cv_equal_galaxy_RMSE_km_s,cv_pooled_RMSE_km_s,improvement_vs_constant_fraction,rank
inverse_hill0_m1__potential_depth,inverse_hill_zero_floor,potential_depth,1.0,2,inverse,0.13194290697851838,0.14686877203222465,4,0.9043644732460864,1.3617314812508794,1.7774994923185734,10.83171506191698,10.605696367982278,0.1413244356970741,1
inverse_hillfloor_m1__potential_depth,inverse_hill_free_floor,potential_depth,1.0,3,inverse,0.13178196096295805,0.1468687721179177,4,0.9043645159383857,1.3598927899201172,1.7872077370546169,10.833285773573698,10.611138031891107,0.1411999187844264,2
quadratic_log__potential_depth,quadratic_log_response_diagnostic,potential_depth,,3,nonmonotonic,0.13067573966188922,0.14707952052685203,4,0.9423788700211538,1.3500966849943472,1.8768534292650545,10.842054183087743,10.645744122995763,0.1405048101202423,3
inverse_hill0_m0.5__potential_depth,inverse_hill_zero_floor,potential_depth,0.5,2,inverse,0.13033615647945004,0.14510002513981224,4,0.9623661769409056,1.338269183564933,2.0784262337640396,10.847070505288942,10.673169953763612,0.14010714518239842,4
free_loglinear__potential_depth,unconstrained_log_linear,potential_depth,,2,learned,0.1271877049229166,0.1409378458486228,4,0.9932537177754219,1.3248745144996166,2.3245612121885304,10.883128384359125,10.735081928718703,0.13724868560502135,5
inverse_loglinear__potential_depth,inverse_log_linear,potential_depth,,2,inverse,0.1271877047279471,0.14093784476502402,4,0.9932537281110321,1.3248745167352225,2.324561201258169,10.883128389727217,10.735081924907975,0.1372486851794702,6
inverse_hillfloor_m2__potential_depth,inverse_hill_free_floor,potential_depth,2.0,3,inverse,0.12697623396535765,0.14139366916725343,4,0.8976343189150335,1.3728245642151529,1.632323235613164,10.896687623827685,10.672064544086213,0.13617378772083322,7
inverse_hill0_m2__potential_depth,inverse_hill_zero_floor,potential_depth,2.0,2,inverse,0.12585584377542577,0.1353697086536262,4,0.7913111007482799,1.3820158540147716,1.5483379359568399,10.919954587638665,10.622095572612059,0.13432931773932,8
inverse_hill0_m4__potential_depth,inverse_hill_zero_floor,potential_depth,4.0,2,inverse,0.09823174100114987,0.09710745366283974,4,0.5933273745714972,1.3597068003431372,1.4143311421168818,11.282154692127602,10.96963341841723,0.1056161936094121,9
quadratic_log__pair_surface_L3p0R80,quadratic_log_response_diagnostic,pair_surface_L3p0R80,,3,nonmonotonic,0.07882991378221449,0.09676413789901761,3,1.1191618225402957,1.264941009930288,2.2109540701090413,11.485489030563151,11.557537790664599,0.08949702625684997,10
inverse_hillfloor_m2__outward_radial_column,inverse_hill_free_floor,outward_radial_column,2.0,3,inverse,0.09474788527569336,0.059177072608640136,4,0.8551503401762489,1.2798483878416227,1.4284628191485127,11.514456981883468,11.11058322236135,0.0872006150417759,11
quadratic_log__mean_surface_R80,quadratic_log_response_diagnostic,mean_surface_R80,,3,nonmonotonic,0.07042697410967103,0.09218481745261109,3,1.115382733362712,1.2580485676969824,2.1982619577076745,11.560239799049523,11.607822640162375,0.08357121876051121,12
quadratic_log__acceleration_R80,quadratic_log_response_diagnostic,acceleration_R80,,3,nonmonotonic,0.0704269735429077,0.09218481614652291,3,1.1153827354795105,1.2580485655072735,2.19826199219279,11.560239811430298,11.607822658250127,0.08357121777903509,13
inverse_loglinear__pair_surface_L30p0kpc,inverse_log_linear,pair_surface_L30p0kpc,,2,inverse,0.07337056115113724,0.09122779444206025,3,1.078470859299371,1.2833735749736879,2.1746625292860777,11.591939196983478,11.69829407200974,0.08105827429572343,14
free_loglinear__pair_surface_L30p0kpc,unconstrained_log_linear,pair_surface_L30p0kpc,,2,learned,0.07337055362589448,0.09122779572871409,3,1.0784708581685478,1.2833736019955995,2.174662613209561,11.59193924853598,11.698293980930137,0.08105827020894008,15
inverse_loglinear__pair_count_L30p0kpc,inverse_log_linear,pair_count_L30p0kpc,,2,inverse,0.0742465027762517,0.08447001701698748,4,1.0797664338038244,1.2837120176607852,2.1459349537609316,11.594450443438374,11.663920718796565,0.08085919723780277,16
free_loglinear__pair_count_L30p0kpc,unconstrained_log_linear,pair_count_L30p0kpc,,2,learned,0.07424649991121582,0.08447001714317565,4,1.0797664340345454,1.2837120210597055,2.1459350393567953,11.594450466500003,11.663920740937897,0.08085919540961062,17
inverse_hill0_m0.5__pair_count_L30p0kpc,inverse_hill_zero_floor,pair_count_L30p0kpc,0.5,2,inverse,0.07386293639620647,0.0859598898621341,4,1.0640030368405162,1.2963894931240305,1.8811305842846913,11.600171324588484,11.665609704305467,0.08040567895175121,18
free_loglinear__pair_surface_L100p0kpc,unconstrained_log_linear,pair_surface_L100p0kpc,,2,learned,0.07456940903916495,0.0796423568717382,4,1.080726450246818,1.2840186108489269,2.123464087000596,11.600651679037755,11.64647496867141,0.08036759923626424,19
inverse_loglinear__pair_surface_L100p0kpc,inverse_log_linear,pair_surface_L100p0kpc,,2,inverse,0.074569407353475,0.0796423564397074,4,1.0807264492872763,1.2840186119663448,2.1234641139113086,11.600651693817557,11.646474970972383,0.08036759806460725,20
inverse_hill0_m0.5__pair_surface_L30p0kpc,inverse_hill_zero_floor,pair_surface_L30p0kpc,0.5,2,inverse,0.07270543433608301,0.09382709194804728,4,1.0618795279901014,1.295957417303848,1.9027920142915815,11.600745784747023,11.71351203333076,0.08036013908128903,21
inverse_loglinear__pair_count_L100p0kpc,inverse_log_linear,pair_count_L100p0kpc,,2,inverse,0.07451609694186112,0.07858668197655233,4,1.0807388957492199,1.284102309701276,2.11868373402904,11.602761387887648,11.644265714582147,0.08020035375142254,22
free_loglinear__pair_count_L100p0kpc,unconstrained_log_linear,pair_count_L100p0kpc,,2,learned,0.07451609629380401,0.07858668261300272,4,1.0807388960139934,1.2841023075140794,2.11868378032681,11.602761392096767,11.644265732818115,0.08020035341774812,23
inverse_loglinear__pair_surface_L300p0kpc,inverse_log_linear,pair_surface_L300p0kpc,,2,inverse,0.07447084671097304,0.0777843805387351,4,1.0788138769135676,1.2841613300546986,2.1150103410338494,11.604442787990578,11.642717104260548,0.0800670621005668,24
free_loglinear__pair_surface_L300p0kpc,unconstrained_log_linear,pair_surface_L300p0kpc,,2,learned,0.07447084563316364,0.07778437958443235,4,1.078813873754461,1.2841613291263152,2.115010380159907,11.604442797412316,11.642717125741845,0.08006706135366604,25
inverse_loglinear__pair_count_L300p0kpc,inverse_log_linear,pair_count_L300p0kpc,,2,inverse,0.07446131076544299,0.07765642070336798,4,1.0785000485910043,1.2841712218187817,2.114431151154588,11.60472380695015,11.642497958382062,0.08004478454689135,26
free_loglinear__pair_count_L300p0kpc,unconstrained_log_linear,pair_count_L300p0kpc,,2,learned,0.07446130917057048,0.07765641968432246,4,1.078500046560177,1.284171221212946,2.1144311800228546,11.604723823164285,11.642497979108095,0.08004478326152864,27
