candidate_id,family,feature,fixed_slope,parameter_count,predicted_sign,split,feature_log10_center,feature_log10_IQR,parameters_json,train_q_min,train_q_median,train_q_max,test_q_min,test_q_median,test_q_max,train_galaxies,train_points,train_pooled_RMSE_km_s,train_equal_galaxy_RMSE_km_s,train_mean_residual_km_s,train_median_galaxy_mean_residual_km_s,test_galaxies,test_points,test_pooled_RMSE_km_s,test_equal_galaxy_RMSE_km_s,test_mean_residual_km_s,test_median_galaxy_mean_residual_km_s,heldout_fold,baseline_fold_RMSE_km_s,fold_improvement_fraction
constant,constant,none,,1,none,development_fold_0,,,[1.2171420547223741],1.2171420547223741,1.2171420547223741,1.2171420547223741,1.2171420547223741,1.2171420547223741,1.2171420547223741,78,557,13.504736606837255,13.452314558113617,-2.460263082085803,-2.211221156723572,27,200,9.631484833207203,9.519050126200368,-2.9934372902894015,-2.1888614549993313,0,9.519050126200368,0.0
constant,constant,none,,1,none,development_fold_1,,,[1.2295747164775068],1.2295747164775068,1.2295747164775068,1.2295747164775068,1.2295747164775068,1.2295747164775068,1.2295747164775068,79,557,12.721217710535583,12.725536219976089,-2.0982739890578515,-1.8061405496969805,26,200,12.178382086782117,12.053047246842993,-2.091086914635197,-1.221549415099743,1,12.053047246842993,0.0
constant,constant,none,,1,none,development_fold_2,,,[1.2102488147340795],1.2102488147340795,1.2102488147340795,1.2102488147340795,1.2102488147340795,1.2102488147340795,1.2102488147340795,79,575,11.12297935566323,10.892477938234883,-2.7347470710432336,-2.1081757544689474,26,182,16.473733566544546,16.650058754416158,-3.346203097948536,-2.513311968766609,2,16.650058754416158,0.0
constant,constant,none,,1,none,development_fold_3,,,[1.2286506149567737],1.2286506149567737,1.2286506149567737,1.2286506149567737,1.2286506149567737,1.2286506149567737,1.2286506149567737,79,582,12.91341914087707,13.004311545758924,-2.412489403633428,-1.835481617305442,26,175,11.403721582119582,11.107839500755686,-1.2070956877725776,-0.10149951356639128,3,11.107839500755686,0.0
inverse_hill0_m0.5__mean_surface_R80,inverse_hill_zero_floor,mean_surface_R80,0.5,2,inverse,development_fold_0,7.6517284252223785,1.1162871043011657,"[2.043697630023088, 1.1316953161040784]",1.0443136765737644,1.3034795305716531,1.516065600770751,1.0013563211551606,1.1916392055072855,1.4519112131689589,78,557,12.83899089085561,12.714217715751676,-1.7038934228379936,-0.8877191092565166,27,200,12.066224021271154,10.270189795159565,-4.892340877823719,-1.3920536704898154,0,9.519050126200368,-0.07890909901732224
inverse_hill0_m0.5__mean_surface_R80,inverse_hill_zero_floor,mean_surface_R80,0.5,2,inverse,development_fold_1,7.871279506442129,1.219467622443469,"[2.0299683683387775, 1.023409750768113]",1.0388489182782055,1.2691485091286632,1.483951397037061,1.0862663023715309,1.318733302014909,1.5037197026865732,79,557,12.419440351792426,12.113138936121576,-1.9308892670348596,-0.09559983518868699,26,200,12.58026152558655,12.026049393206621,-1.7067900782472258,-1.531613791079384,1,12.053047246842993,0.0022399193401854145
inverse_hill0_m0.5__mean_surface_R80,inverse_hill_zero_floor,mean_surface_R80,0.5,2,inverse,development_fold_2,7.711330253746855,1.326674729952125,"[1.6171188860092316, 2.4249604404279927]",1.0894916375034522,1.2463741693560229,1.3559135244923024,1.1143276130142135,1.228360176028415,1.3456677336653986,79,575,11.286525610177684,10.66908048661022,-2.8416289513285524,-1.012282098277904,26,182,15.494615400534446,15.812661613041229,-3.398790666959351,-2.3088911894501907,2,16.650058754416158,0.05029394512814089
inverse_hill0_m0.5__mean_surface_R80,inverse_hill_zero_floor,mean_surface_R80,0.5,2,inverse,development_fold_3,7.8735636484420555,1.2992916240401762,"[1.9372546460796787, 1.3079821572585655]",1.0741488162567434,1.2745377536520643,1.474903148002551,1.1572222688476448,1.336770821698681,1.4372875414607615,79,582,12.816762973980524,12.557304626874904,-2.1935203697990686,-1.5307894370202106,26,175,10.720190494145998,10.57254852584685,0.9650072583325925,2.7467074948972146,3,11.107839500755686,0.04819037715411889
inverse_hill0_m1__mean_surface_R80,inverse_hill_zero_floor,mean_surface_R80,1.0,2,inverse,development_fold_0,7.6517284252223785,1.1162871043011657,"[1.5070927945377124, 1.8431238420682545]",1.0396559267784455,1.3010999453620609,1.4225044611417146,0.9837723192484729,1.2047071398614648,1.393442773317265,78,557,13.001108698201786,12.891704563434029,-1.8600340351994487,-0.9987910571071931,27,200,12.084842995728625,10.233877548324397,-5.063293648351025,-1.896945821303002,0,9.519050126200368,-0.0750944067577215
inverse_hill0_m1__mean_surface_R80,inverse_hill_zero_floor,mean_surface_R80,1.0,2,inverse,development_fold_1,7.871279506442129,1.219467622443469,"[1.5116133308465514, 1.68295822241566]",1.027845647306474,1.274737250650897,1.4127149442101634,1.0872847871030147,1.3139789409786569,1.421584296757526,79,557,12.573660772116698,12.253559734149134,-2.0642560830109917,0.043947028485879024,26,200,12.566778098838336,12.084312328664055,-1.7846733779631,-2.065788003276254,1,12.053047246842993,-0.0025939566302828343
