galaxy,galaxy_fold,force_equivalent_mass_solar,force_equivalent_r80_kpc,gas_fraction,stellar_bulge_fraction,inclination_adjusted_deg,mean_surface_R80,mean_volume_R80,disk_surface_density,disk_volume_density,acceleration_R80,potential_depth,baryonic_mass,R80,pair_proximity_L0p1kpc,pair_surface_L0p1kpc,pair_count_L0p1kpc,pair_proximity_L0p3kpc,pair_surface_L0p3kpc,pair_count_L0p3kpc,pair_proximity_L1p0kpc,pair_surface_L1p0kpc,pair_count_L1p0kpc,pair_proximity_L3p0kpc,pair_surface_L3p0kpc,pair_count_L3p0kpc,pair_proximity_L10p0kpc,pair_surface_L10p0kpc,pair_count_L10p0kpc,pair_proximity_L30p0kpc,pair_surface_L30p0kpc,pair_count_L30p0kpc,pair_proximity_L100p0kpc,pair_surface_L100p0kpc,pair_count_L100p0kpc,pair_proximity_L300p0kpc,pair_surface_L300p0kpc,pair_count_L300p0kpc,pair_proximity_L0p1R80,pair_surface_L0p1R80,pair_proximity_L0p3R80,pair_surface_L0p3R80,pair_proximity_L1p0R80,pair_surface_L1p0R80,pair_proximity_L3p0R80,pair_surface_L3p0R80
CamB,0,25270585.88515102,0.8834191145732155,0.3363494990761904,0.0,40.0,10306989.995308042,8750368.164962733,22688508.342010073,24136711.002138376,4.51341640987908e-12,1.2542620602462075e-09,25270585.88515102,0.8834191145732155,0.008654166699294624,3480652.7604564237,5526572584598.608,0.07275032072491205,3251081.4148684964,46458537489441.44,0.4637325390261706,1865103.8258905588,296140763844684.1,0.8853275668489542,395637.0185001492,565372407228488.2,0.988455770090932,39755.08473896748,631230336771546.6,0.9987037714859635,4463.028118754751,637774736194928.0,0.9998831991992951,402.1468892794372,638527921694179.5,0.9999870207616237,44.68762729721646,638594222404576.2,0.006767101279633723,3487422.25932105,0.057715796803791,3304867.4457105873,0.40322900453154964,2078038.6577623514,0.8577189947709349,491138.94988276093
D631-7,1,478438412.5292077,3.437369032454009,0.8136229660418964,0.0,48.1018604947723,12889137.238356946,2812282.5444396185,28697422.22955013,20498158.73539295,5.6441350527424416e-12,4.3550936289863095e-09,478438412.5292077,3.437369032454009,0.0010922493346535538,8317024.124063341,250019493053786.38,0.009728213171206283,8230699.414089453,2226820239863671.8,0.09701694810537487,7387436.84464078,2.2207500992092644e+16,0.4801135933291432,4062072.4502694677,1.0989959288962024e+17,0.9085855569149226,691850.0891587933,2.079782455604923e+17,0.9888918286362847,83666.66366486765,2.263606173393527e+17,0.9989894656956403,7606.889033730716,2.286719999317001e+17,0.9998876116433425,845.96978237142,2.2887758851610883e+17,0.012725254703718599,8200877.713463813,0.10245515670175889,7336436.530590762,0.5465581515539144,3522331.5120605486,0.9135401956496559,654152.4974713263
DDO064,2,383148031.5129467,2.3487244501598172,0.7983802954905698,0.0,61.529917558594974,22108159.458649207,7059627.447084589,23690771.862588424,17167225.987382915,9.681131905465536e-12,9.367807565702623e-09,383148031.5129467,2.3487244501598172,0.001676710040116232,10224561.585895723,246145081554701.12,0.014875865300094895,10079209.169892255,2183812937169969.8,0.14256357719224816,8693513.130074022,2.092867728774575e+16,0.5933706571222312,4020409.4671207024,8.710824489331109e+16,0.9410899848665126,573875.7613373811,1.3815428161879573e+17,0.993079143184583,67286.52219209689,1.4578641556443286e+17,0.9993730271536684,6094.1670407767015,1.4671037292485933e+17,0.999930296049309,677.5072512339152,1.467921813440156e+17,0.009174836724093912,10141937.665166946,0.07657530984588516,9405217.559268333,0.4736050959926254,5235268.491316914,0.8882409618989112,1090965.156853616
DDO154,3,316664370.12515485,3.4368927435069634,0.9392323437340356,0.0,60.54728374635621,8533306.991754679,1862141.393823523,27510625.511375185,37176520.961317815,3.7367231194222565e-12,2.7059948092376267e-09,316664370.12515485,3.4368927435069634,0.000805605110151987,4060145.010913227,80783118483179.52,0.007171024361615789,4015670.045624131,719083957326044.8,0.07249982110569249,3653896.7199307415,7270015500876760.0,0.40427854281536485,2263901.435284532,4.053956586533978e+16,0.8807474562936096,443885.26655080024,8.83181166789054e+16,0.9851320168838466,55165.96976522309,9.87854166248862e+16,0.9986430017607808,5033.030885960355,1.0014024851259842e+17,0.9998490351249428,559.9010152564507,1.0026118510414187e+17,0.00937717020681746,4000913.6044354546,0.07665207890280218,3633865.115743408,0.4701535373607846,2005982.2337794888,0.8870059714802684,420505.2365644847
DDO161,4,841811406.0838845,4.60215540696504,0.8818932112671833,0.0,72.31854491507275,12651510.296373958,2061780.1623821931,26245822.705947153,10756484.715552112,5.540078549353613e-12,5.066687425825693e-09,841811406.0838845,4.60215540696504,0.00018662218783645887,2500335.079558238,132249149672245.73,0.0016760682218857404,2495077.960865778,1187739784356758.0,0.01819796812983679,2438135.498207067,1.289592539255063e+16,0.13908935979358314,2070552.926666955,9.856518013430362e+16,0.6296446288347602,843588.0917389046,4.461954268378052e+17,0.9375799701019101,139572.78644174105,6.644127112279168e+17,0.9940271244379681,13317.820984087193,7.044137863889449e+17,0.999332632630652,1487.6559287338457,7.081735159001884e+17,0.003931795172080015,2487157.355140186,0.03394586969218451,2385925.11072245,0.2713269949863783,1716348.1353771852,0.7626158112746569,536013.4326954944
DDO168,0,536314725.9078815,3.0461010407160156,0.855583756986299,0.0,54.07270690538475,18398450.093947064,4529999.952731951,14183224.99499724,6952561.27205747,8.056655396790283e-12,7.307009664977387e-09,536314725.9078815,3.0461010407160156,0.0009974980555320396,8514358.085778799,286913842218485.56,0.0089050733396438,8445684.321371485,2561397280871729.5,0.09064597231138484,7737280.920122363,2.607281693759103e+16,0.47129620678593637,4469832.905983738,1.3556057053146565e+17,0.9077797171040758,774854.8011262582,2.6110784384779632e+17,0.988826859236147,93781.59149372918,2.8441971580682227e+17,0.9989839579042699,8527.04132341271,2.8734123749651523e+17,0.9998870030970834,948.3054954309836,2.8760098353264045e+17,0.009178286223300167,8443312.051367497,0.07686390578189714,7856537.414189355,0.47887308697784464,4405261.296048123,0.8915635702170592,911299.3251233242
DDO170,1,1007645796.2379873,5.574447345329753,0.7941681407673765,0.0,64.45386086432678,10321775.040466856,1388717.2666247885,10604495.818849666,2719101.492012735,4.519890760341337e-12,7.3906252402270764e-09,1007645796.2379873,5.574447345329753,0.00023847152263616202,3824410.956529068,242132072593430.84,0.0021419456726018216,3816752.256218285,2174824647221685.8,0.023270161831679216,3731877.956977631,2.362735999503625e+16,0.17549676916018087,3127192.7118370845,1.7819065346027926e+17,0.6985306360456471,1120246.219939675,7.092531167077475e+17,0.9538848326596474,169973.59614652136,9.685270131801242e+17,0.9956624745368667,15967.61925503895,1.0109459439772863e+18,0.9995161324879622,1781.046784984998,1.0148587557732193e+18,0.007354913477280985,3795788.117729608,0.06235294530433293,3575517.0807881043,0.4210709554687647,2173099.8392115133,0.8656832231256771,496410.4158560841
ESO079-G014,2,44588012002.2166,13.997870598242486,0.1531654584397957,0.0,80.31375740454236,72434303.39626132,3880999.4110116223,142400569.16106033,14015804.051285462,3.1718879492040795e-11,1.7427519464693733e-07,44588012002.2166,13.997870598242486,6.295257734053217e-05,44673682.80261814,1.2515544074783998e+17,0.0005662874874564441,44651154.98832716,1.125830952070739e+18,0.006256197234781237,44396493.7774335,1.2437888254979019e+19,0.053617662547866665,42276946.13719961,1.0659678239617691e+20,0.38617057602831906,27404218.46094288,7.677421749586298e+20,0.84978158739407,6700435.769009947,1.6894429680677607e+21,0.9843354267955391,698524.0396143554,1.956948220211939e+21,0.998234865206642,78709.73784233915,1.9845815660411177e+21,0.012185149034559447,44131139.104896985,0.09991115307335088,40205526.524363354,0.5520326048051105,19993048.5905409,0.9172377488564021,3691082.07706491
ESO116-G012,3,8741570091.94661,11.079186526401863,0.4213662759638515,0.0,74.81824064838473,22668554.28217257,1534536.4635855537,138067131.63396373,45717593.25627939,9.926528009823165e-12,4.032689004360843e-08,8741570091.94661,11.079186526401863,0.0004221063317500734,58726138.17439764,3.2255275463510268e+16,0.003782651622224651,58474081.8771024,2.8905150404043635e+17,0.04008972550035269,55775395.48734749,3.0634582852835e+18,0.2610281405844038,40351008.73440609,1.994647780659918e+19,0.7746307009136881,10777158.775936754,5.919344193883608e+19,0.9673620714661363,1495395.6806217036,7.392101880757137e+19,0.9969537485156548,138702.59502167214,7.618226822001705e+19,0.9996604159113984,15453.240437437713,7.638909833809617e+19,0.04865368600761663,55145436.11457187,0.3001534456938715,37800248.203848116,0.8072303155643517,9149372.113292899,0.9732165163803637,1225633.968326398
ESO563-G021,4,349034227388.7358,19.71627085279749,0.1994320005892464,0.0,84.30391601038427,285804191.24465233,10871890.786744557,695108623.2781262,63771433.32826845,1.251532530217888e-10,3.6735284510969173e-07,349034227388.7358,19.71627085279749,3.937775511731123e-05,218745487.5470335,4.797190759992117e+18,0.0003542521929872722,218654382.7959921,4.315673511206307e+19,0.003917581767859255,217623714.5217577,4.7725897533519036e+20,0.03385918521372759,208988381.4819118,4.12489157810697e+21,0.26150986526207226,145270096.79625693,3.185841106342013e+22,0.6995284582530674,43176857.14172894,8.521997879985506e+22,0.9536723581364263,5297699.7880961485,1.161810319273564e+23,0.9944423545256563,613797.694296314,1.2114783232978322e+23,0.015004735589460822,214420815.99928507,0.1167336397842386,185349797.27543825,0.5359373384186409,76586568.78227559,0.8844404300779635,14043154.545694716
