variant_id,potential_source,radial_shape,source_screen,median_potential_gate,median_shape_gate,median_source_screen,all_systems,all_RMS_dex,all_median_absolute_residual_dex,all_mean_residual_dex,all_chi2_per_point,direct_systems,direct_RMS_dex,direct_median_absolute_residual_dex,direct_mean_residual_dex,direct_chi2_per_point,proxy_systems,proxy_RMS_dex,proxy_median_absolute_residual_dex,proxy_mean_residual_dex,proxy_chi2_per_point
BCG_only__Hernquist_BCG__local_BCG_gbar,BCG_only,Hernquist_BCG,local_BCG_gbar,0.4757374159149682,0.0410752271127491,0.07746124402559729,34,0.28337232829989395,0.25439356634666943,-0.26076572512350155,7.244076968987976,11,0.2685950209135068,0.24754137208133642,-0.25834503792261737,9.55164206774984,23,0.2901738355532465,0.26124576061200244,-0.26192344508914184,6.140458878275779
BCG_only__Hernquist_BCG__weak_host_S1,BCG_only,Hernquist_BCG,weak_host_S1,0.4757374159149682,0.0410752271127491,1.0,34,0.26422068838031193,0.2315691980920631,-0.23847790018782747,6.291655826964654,11,0.24033610884506953,0.2099390258276621,-0.22622319113848588,7.865760466227768,23,0.2749111758807356,0.24176759345676402,-0.24433884799403432,5.538823173404035
BCG_only__CLASH_median_C__local_BCG_gbar,BCG_only,CLASH_median_C,local_BCG_gbar,0.4757374159149682,0.763544950588903,0.07746124402559729,34,0.2561068360617885,0.21860969081722104,-0.22803417586881386,6.103263752103239,11,0.26108485766780026,0.24008746215292476,-0.2507086150893236,9.027472923012565,23,0.2536915157104874,0.202279524262444,-0.2171898788503092,4.704728931233562
BCG_only__CLASH_median_C__weak_host_S1,BCG_only,CLASH_median_C,weak_host_S1,0.4757374159149682,0.763544950588903,1.0,34,0.19563334768389498,0.1304844622300685,0.03391333515254272,3.62583870733375,11,0.21095054851548847,0.18358457091186864,0.11362093116025675,5.632673366682641,23,0.18786678392754605,0.09776497735176193,-0.00420768902505965,2.6660482180799323
BCG_only__neutral_H1__local_BCG_gbar,BCG_only,neutral_H1,local_BCG_gbar,0.4757374159149682,1.0,0.07746124402559729,34,0.24912833083367636,0.2059599367883349,-0.21837262370496038,5.824684464511367,11,0.2587651559869821,0.2376754200865303,-0.2482810969225806,8.86622414770201,23,0.24438511946199815,0.1915396082438221,-0.20406857129653333,4.370035050811494
BCG_only__neutral_H1__weak_host_S1,BCG_only,neutral_H1,weak_host_S1,0.4757374159149682,1.0,1.0,34,0.23099077823785275,0.15596573358570165,0.09180419009856741,5.003832442074817,11,0.26614499071004916,0.2560435928340805,0.18204602199291323,8.504481501333235,23,0.21212838919646587,0.1176727879281021,0.04864505310561941,3.3296089789512266
BCG_plus_eRASS_median_gas__Hernquist_BCG__local_BCG_gbar,BCG_plus_eRASS_median_gas,Hernquist_BCG,local_BCG_gbar,0.8063115134151557,0.0410752271127491,0.07746124402559729,34,0.2781574011335527,0.2538491155144911,-0.2566466096538031,7.011518005261147,11,0.26813474087034483,0.24742869104918697,-0.2579309813901988,9.512072627978245,23,0.282825320303123,0.2602695399797952,-0.25603234491030946,5.815600577005143
BCG_plus_eRASS_median_gas__Hernquist_BCG__weak_host_S1,BCG_plus_eRASS_median_gas,Hernquist_BCG,weak_host_S1,0.8063115134151557,0.0410752271127491,1.0,34,0.25018459273570975,0.21391273142529776,-0.22492780354736935,5.649467627125548,11,0.2303612931385619,0.20044339114080323,-0.21681452728062373,7.1853691575902765,23,0.2591297858383228,0.2273820717097923,-0.22880806610972595,4.914906025598939
BCG_plus_eRASS_median_gas__CLASH_median_C__local_BCG_gbar,BCG_plus_eRASS_median_gas,CLASH_median_C,local_BCG_gbar,0.8063115134151557,0.763544950588903,0.07746124402559729,34,0.21040969920632546,0.1836335405634859,-0.1738820349564906,4.357460483487738,11,0.2535032474104229,0.23803308446087001,-0.2434960984154909,8.396790493803831,23,0.18630892423715592,0.172176800431874,-0.14058835243262086,2.4256070002930854
BCG_plus_eRASS_median_gas__CLASH_median_C__weak_host_S1,BCG_plus_eRASS_median_gas,CLASH_median_C,weak_host_S1,0.8063115134151557,0.763544950588903,1.0,34,0.20293195740390554,0.15794495898094052,0.16082991036412467,3.684911433979064,11,0.23051062694569716,0.25030008013295024,0.19716955646038964,6.174808606665562,23,0.18831983166164953,0.1576018778040691,0.14345007962243272,2.4940910470420437
BCG_plus_eRASS_median_gas__neutral_H1__local_BCG_gbar,BCG_plus_eRASS_median_gas,neutral_H1,local_BCG_gbar,0.8063115134151557,1.0,0.07746124402559729,34,0.20159617067338104,0.17359762015239966,-0.15288806578021177,4.0435097662574,11,0.24921756335573414,0.23500165244505666,-0.2390226268733997,8.07986492438411,23,0.1742800360603028,0.13203247966323595,-0.11169327569216538,2.11307903845767
BCG_plus_eRASS_median_gas__neutral_H1__weak_host_S1,BCG_plus_eRASS_median_gas,neutral_H1,weak_host_S1,0.8063115134151557,1.0,1.0,34,0.2691647159894983,0.23361924409795876,0.2363376643864856,6.467465553605546,11,0.3032250189412339,0.3335732756209513,0.2762643758321026,10.725959182696696,23,0.2512480477202992,0.20441095867747805,0.2172422806516253,4.4307946875184765
BCG_plus_eRASS_p90_gas__Hernquist_BCG__local_BCG_gbar,BCG_plus_eRASS_p90_gas,Hernquist_BCG,local_BCG_gbar,0.8782525214397472,0.0410752271127491,0.07746124402559729,34,0.27678713107280195,0.2535735571414115,-0.2551250272981414,6.950467271660204,11,0.26795468503099906,0.24741205596403937,-0.257774490034185,9.49565733303387,23,0.2809131922239031,0.25973505831878363,-0.25385789294612054,5.733202459698885
BCG_plus_eRASS_p90_gas__Hernquist_BCG__weak_host_S1,BCG_plus_eRASS_p90_gas,Hernquist_BCG,weak_host_S1,0.8782525214397472,0.0410752271127491,1.0,34,0.24619621224179308,0.21083117238932125,-0.22063595090881685,5.463517861806161,11,0.2271594867189699,0.19905876921247945,-0.21394644247536346,6.953249321365041,23,0.25479845324801165,0.22260357556616306,-0.2238352810291641,4.751037598538874
BCG_plus_eRASS_p90_gas__CLASH_median_C__local_BCG_gbar,BCG_plus_eRASS_p90_gas,CLASH_median_C,local_BCG_gbar,0.8782525214397472,0.763544950588903,0.07746124402559729,34,0.2088876901345407,0.18180882265984089,-0.15699184846015726,4.271594169604505,11,0.25079010600430895,0.23773057350286386,-0.2408837301758928,8.162866311019128,23,0.18553164866371055,0.16078780900809164,-0.11686964416132724,2.4105509715366416
BCG_plus_eRASS_p90_gas__CLASH_median_C__weak_host_S1,BCG_plus_eRASS_p90_gas,CLASH_median_C,weak_host_S1,0.8782525214397472,0.763544950588903,1.0,34,0.22435604228115594,0.1960016050646045,0.19558586568465153,4.452636991033661,11,0.241334171566905,0.25933675573902626,0.21967805399598947,6.880273257484017,23,0.21576431788346026,0.19356641865234003,0.18406351475314206,3.291593559253056
