cluster,family_id,model,critical_cells,median_critical_radius_arcsec,symmetric_p95_to_glafic_arcsec
AS295,1,P0707_Weyl_axis_repaired,5,131.36153828177277,194.8873908081014
AS295,1,baryon_only_GR_axis_repaired,0,,
AS295,1,AQUAL_simple_mu_axis_repaired,0,,
AS295,1,QUMOND_simple_nu_axis_repaired,0,,
AS295,1,glafic_v2_compact_halo,803,52.525389996610535,0.0
AS295,2,P0707_Weyl_axis_repaired,5,131.36153828177277,194.8873908081014
AS295,2,baryon_only_GR_axis_repaired,0,,
AS295,2,AQUAL_simple_mu_axis_repaired,0,,
AS295,2,QUMOND_simple_nu_axis_repaired,0,,
AS295,2,glafic_v2_compact_halo,803,52.525389996610535,0.0
AS295,3,P0707_Weyl_axis_repaired,5,131.36153828177277,194.8873908081014
AS295,3,baryon_only_GR_axis_repaired,0,,
AS295,3,AQUAL_simple_mu_axis_repaired,0,,
AS295,3,QUMOND_simple_nu_axis_repaired,0,,
AS295,3,glafic_v2_compact_halo,803,52.525389996610535,0.0
AS295,4,P0707_Weyl_axis_repaired,5,131.36153828177277,194.8873908081014
AS295,4,baryon_only_GR_axis_repaired,0,,
AS295,4,AQUAL_simple_mu_axis_repaired,0,,
AS295,4,QUMOND_simple_nu_axis_repaired,0,,
AS295,4,glafic_v2_compact_halo,803,52.525389996610535,0.0
AS295,5,P0707_Weyl_axis_repaired,81,71.0045429100582,89.61621080727774
AS295,5,baryon_only_GR_axis_repaired,0,,
AS295,5,AQUAL_simple_mu_axis_repaired,0,,
AS295,5,QUMOND_simple_nu_axis_repaired,0,,
AS295,5,glafic_v2_compact_halo,1245,50.98089094894557,0.0
AS295,6,P0707_Weyl_axis_repaired,157,72.0183259361589,87.40398783532308
AS295,6,baryon_only_GR_axis_repaired,0,,
AS295,6,AQUAL_simple_mu_axis_repaired,0,,
AS295,6,QUMOND_simple_nu_axis_repaired,0,,
AS295,6,glafic_v2_compact_halo,1466,51.06588666541424,0.0
PLCKG287,1,P0707_Weyl_axis_repaired,197,92.54981450864783,60.874870775832534
PLCKG287,1,baryon_only_GR_axis_repaired,0,,
PLCKG287,1,AQUAL_simple_mu_axis_repaired,0,,
PLCKG287,1,QUMOND_simple_nu_axis_repaired,0,,
PLCKG287,1,glafic_v2_compact_halo,4710,57.995733139851694,0.0
PLCKG287,2,P0707_Weyl_axis_repaired,79,100.6068900245438,114.56166263988796
PLCKG287,2,baryon_only_GR_axis_repaired,0,,
PLCKG287,2,AQUAL_simple_mu_axis_repaired,0,,
PLCKG287,2,QUMOND_simple_nu_axis_repaired,0,,
PLCKG287,2,glafic_v2_compact_halo,3689,53.719648995190276,0.0
PLCKG287,36,P0707_Weyl_axis_repaired,247,88.1036673847933,60.626697552410036
PLCKG287,36,baryon_only_GR_axis_repaired,0,,
PLCKG287,36,AQUAL_simple_mu_axis_repaired,0,,
PLCKG287,36,QUMOND_simple_nu_axis_repaired,0,,
PLCKG287,36,glafic_v2_compact_halo,4898,58.05637832537995,0.0
PLCKG287,37,P0707_Weyl_axis_repaired,239,89.54966930967875,60.58877524324234
PLCKG287,37,baryon_only_GR_axis_repaired,0,,
PLCKG287,37,AQUAL_simple_mu_axis_repaired,0,,
PLCKG287,37,QUMOND_simple_nu_axis_repaired,0,,
PLCKG287,37,glafic_v2_compact_halo,4900,58.02606316025634,0.0
PLCKG287,39,P0707_Weyl_axis_repaired,158,95.46025108510639,66.40593363609875
PLCKG287,39,baryon_only_GR_axis_repaired,0,,
PLCKG287,39,AQUAL_simple_mu_axis_repaired,0,,
PLCKG287,39,QUMOND_simple_nu_axis_repaired,0,,
PLCKG287,39,glafic_v2_compact_halo,4501,57.53121151574501,0.0
PLCKG287,40,P0707_Weyl_axis_repaired,219,90.48301258900523,60.974684831744156
PLCKG287,40,baryon_only_GR_axis_repaired,0,,
PLCKG287,40,AQUAL_simple_mu_axis_repaired,0,,
PLCKG287,40,QUMOND_simple_nu_axis_repaired,0,,
PLCKG287,40,glafic_v2_compact_halo,4817,57.881852155889305,0.0
PLCKG287,41,P0707_Weyl_axis_repaired,227,90.99686308571066,60.814681244879466
PLCKG287,41,baryon_only_GR_axis_repaired,0,,
PLCKG287,41,AQUAL_simple_mu_axis_repaired,0,,
PLCKG287,41,QUMOND_simple_nu_axis_repaired,0,,
PLCKG287,41,glafic_v2_compact_halo,4823,57.99573313985171,0.0
PLCKG287,49,P0707_Weyl_axis_repaired,229,91.20930929191779,60.734706166043786
PLCKG287,49,baryon_only_GR_axis_repaired,0,,
PLCKG287,49,AQUAL_simple_mu_axis_repaired,0,,
PLCKG287,49,QUMOND_simple_nu_axis_repaired,0,,
PLCKG287,49,glafic_v2_compact_halo,4829,58.01848251303566,0.0
PLCKG287,5,P0707_Weyl_axis_repaired,64,102.85959454342856,113.4797410864708
PLCKG287,5,baryon_only_GR_axis_repaired,0,,
PLCKG287,5,AQUAL_simple_mu_axis_repaired,0,,
PLCKG287,5,QUMOND_simple_nu_axis_repaired,0,,
PLCKG287,5,glafic_v2_compact_halo,3316,49.93867715811371,0.0
PLCKG287,6,P0707_Weyl_axis_repaired,221,90.68696200002258,60.974684831744156
PLCKG287,6,baryon_only_GR_axis_repaired,0,,
PLCKG287,6,AQUAL_simple_mu_axis_repaired,0,,
PLCKG287,6,QUMOND_simple_nu_axis_repaired,0,,
PLCKG287,6,glafic_v2_compact_halo,4817,57.87425212274784,0.0
PLCKG287,7,P0707_Weyl_axis_repaired,180,93.12299474470422,61.064075731615546
PLCKG287,7,baryon_only_GR_axis_repaired,0,,
PLCKG287,7,AQUAL_simple_mu_axis_repaired,0,,
PLCKG287,7,QUMOND_simple_nu_axis_repaired,0,,
PLCKG287,7,glafic_v2_compact_halo,4621,58.01848251303566,0.0
PLCKG287,8,P0707_Weyl_axis_repaired,50,105.15607508103996,113.08396139922549
PLCKG287,8,baryon_only_GR_axis_repaired,0,,
PLCKG287,8,AQUAL_simple_mu_axis_repaired,0,,
PLCKG287,8,QUMOND_simple_nu_axis_repaired,0,,
PLCKG287,8,glafic_v2_compact_halo,2932,46.18630040080993,0.0
