cluster,model,arcs,median_model_convergence,median_halo_convergence,median_kappa_needed,convergence_correlation,median_model_shear,median_halo_shear,median_shear_needed,shear_magnitude_correlation,median_shear_angle_difference_deg,median_model_minimum_eigenvalue,median_halo_minimum_eigenvalue,median_minimum_eigenvalue_gap,fraction_model_near_critical_abs_lambda_min_lt_0p2,fraction_halo_near_critical_abs_lambda_min_lt_0p2,determinant_sign_match_fraction,maximum_eigenvalue_decomposition_residual
ALL,P0707_Weyl_axis_repaired,65,0.3798735512677389,0.6886846826322559,0.32424580003768133,0.3293819034592618,0.16051085036842716,0.3059637924884063,0.14521577063072277,-0.06679553184268759,17.660711187074128,0.4340247722161079,0.048692415727881716,0.46694743809208145,0.0,0.5230769230769231,0.6153846153846154,1.942890293094024e-16
AS295,P0707_Weyl_axis_repaired,18,0.4941114569659224,0.4825006413213697,0.06809085818721139,0.2172407521851533,0.17378616665866098,0.30132981217373206,0.14973486997670538,0.08425831224673487,10.146914386330089,0.3766301721836939,0.20518037538060557,0.22082176706391132,0.0,0.2777777777777778,0.7222222222222222,1.1102230246251565e-16
PLCKG287,P0707_Weyl_axis_repaired,47,0.34279254961683736,0.7306944558674746,0.36743511204418433,0.63258935555812,0.15141906423452112,0.3059637924884063,0.14521577063072277,-0.20955077324495647,20.972629985704806,0.48004239995673553,0.002465942005319636,0.4965613171397978,0.0,0.6170212765957447,0.574468085106383,1.942890293094024e-16
ALL,baryon_only_GR_axis_repaired,65,0.04729571662964638,0.6886846826322559,0.6338979750567686,0.7988842259911721,0.020406395683556407,0.3059637924884063,0.2838949355805992,0.131025343311406,13.425504400275077,0.9337918789508459,0.048692415727881716,0.892956604136171,0.0,0.5230769230769231,0.6153846153846154,2.220446049250313e-16
AS295,baryon_only_GR_axis_repaired,18,0.03814713146752435,0.4825006413213697,0.4464863393008389,0.16080755907480546,0.02066627123314231,0.30132981217373206,0.2812252089189089,0.21559103199316226,9.174095074357902,0.9396872174059347,0.20518037538060557,0.7422082150682936,0.0,0.2777777777777778,0.7222222222222222,2.220446049250313e-16
PLCKG287,baryon_only_GR_axis_repaired,47,0.059945496284773636,0.7306944558674746,0.6791875470143482,0.8068853766700632,0.020295262996201584,0.3059637924884063,0.2838949355805992,0.11694914424957334,14.631777191222254,0.9255379081018056,0.002465942005319636,0.9311041556460615,0.0,0.6170212765957447,0.574468085106383,2.220446049250313e-16
ALL,AQUAL_simple_mu_axis_repaired,65,0.10237939057275902,0.6886846826322559,0.5812212873349543,0.8490484530291857,0.043861085921045276,0.3059637924884063,0.25574620403890286,0.15585634945588966,10.34140357511319,0.8505651999268444,0.048692415727881716,0.8361494411437367,0.0,0.5230769230769231,0.6153846153846154,2.983724378680108e-16
AS295,AQUAL_simple_mu_axis_repaired,18,0.08547350607681548,0.4825006413213697,0.3943513107983271,0.11072605214205895,0.04645856230414826,0.30132981217373206,0.25729832565638405,0.1763382360005088,9.422552022158461,0.866546650463304,0.20518037538060557,0.6751826912060541,0.0,0.2777777777777778,0.7222222222222222,2.220446049250313e-16
PLCKG287,AQUAL_simple_mu_axis_repaired,47,0.12623955215747185,0.7306944558674746,0.6248835063011215,0.8841778717140496,0.043055830170272855,0.3059637924884063,0.25574620403890286,0.1682721718766116,10.469725923046152,0.8394761994158699,0.002465942005319636,0.8513875100849788,0.0,0.6170212765957447,0.574468085106383,2.983724378680108e-16
ALL,QUMOND_simple_nu_axis_repaired,65,0.10429902453835593,0.6886846826322559,0.5799209103448444,0.8415177458265788,0.043616868198258454,0.3059637924884063,0.25621840286198455,0.16193419586316476,10.965637251958073,0.8506035903687305,0.048692415727881716,0.8359050004785609,0.0,0.5230769230769231,0.6153846153846154,2.220446049250313e-16
AS295,QUMOND_simple_nu_axis_repaired,18,0.08671977677080411,0.4825006413213697,0.39452142807499535,0.11528644631306248,0.04691796443616947,0.30132981217373206,0.25708307764889093,0.1952429932825577,8.951408099398185,0.8649120394620948,0.20518037538060557,0.6740571741620583,0.0,0.2777777777777778,0.7222222222222222,2.220446049250313e-16
PLCKG287,QUMOND_simple_nu_axis_repaired,47,0.1254929316871619,0.7306944558674746,0.6249422928914505,0.8755658784527486,0.0428704404320053,0.3059637924884063,0.25621840286198455,0.17036670458696007,11.735333904680182,0.8402269271999294,0.002465942005319636,0.851127343829613,0.0,0.6170212765957447,0.574468085106383,2.220446049250313e-16
