tier,galaxy,cells_per_axis,input_surface_cells,numeric_representation_values,cell_to_parameter_ratio,parameter_json_bytes,source_npz_bytes,generated_npz_bytes,parameter_content_sha256,generated_map_sha256,gravity_parameter_count,observed_velocity_arrays_opened
transported_p0720,NGC2403,257,132098,1008,131.04960317460316,45728,2601152,1427679,eead3cc6299f20acd442aeae92205fd5e7a09b2405d78cafe1825e9d6d771ed6,728d6e1b0d8b76d789a3f9e3f8778aef87b704649e96c3605b0e9a8084ff667b,0,0
transported_p0720,NGC3198,157,49298,1008,48.90674603174603,45744,1032708,528676,663d8220a64dee073ca78e2117dfe66385b31e87f0145f72acc13110d704047d,5893f56f0de8b780dc349bcf37c67017294efd3688852821ef2ad0f9e4fb8b13,0,0
transported_p0720,NGC5055,237,112338,1008,111.44642857142857,45789,2198236,1196132,e481111c232aeeaf2fe9744e4e7b27db8fe7ec3b214993c99b387ecd6b61d52f,ad9f1a3705ff5d2b8e8193d57f668d371043077ed192849e8ca4a588936ca6e6,0,0
transported_p0720,NGC7793,175,61250,1008,60.763888888888886,45756,1066319,534635,035c0d7b5b6596e17e119c92b1dd4711eb6f9c02fd40104473213ca32ec96a96,4a998c7453895d18b370b064d2b8271f3d973c3e39e6bc477d279d7decdd1674,0,0
spiral_medium,NGC2403,257,132098,1940,68.09175257731958,86764,2601152,1398856,a4396233a565199694a1fd9c49339e22d4dc9a06599141cbcb55a13cea548e34,fc24146dcc8ce6d8c4a49c0a00d12405f0881abde6729925b466b7e5ec8cb79d,0,0
spiral_medium,NGC3198,157,49298,1940,25.411340206185567,86617,1032708,523571,be565e819cbadc50e38247a13aec2c9a6990f2149e0b8db66c40fd41f4197ccc,4710aabe98bc1696023f094097b286a80980abea47ad977b28dc14b13d9921a5,0,0
spiral_medium,NGC5055,237,112338,1940,57.90618556701031,86710,2198236,1194440,a85bcb962f2ac9fe0943bc82e6e8c33b0208d610346badd94ce296e553e9f39c,eef075e542bf67dcfa2a17a2e76667d4b998d93f4001ca1bcf172bfbd7ededa1,0,0
spiral_medium,NGC7793,175,61250,1940,31.572164948453608,86754,1066319,536134,2bd4a4ee3cf9773d3ecae15f56bd5d6a999df517792dc15e2f4737599a631863,85983d1d0028bc0220be539dd3236af77168da061d1dd15ecd1bcba34e0a5a30,0,0
spiral_high,NGC2403,257,132098,3512,37.613325740318906,158106,2601152,1396332,8d03f30ca915dbb82c9779e2531ae7bb758c16537666cca8cb24935b467a40b3,6b89f0bb73e9bd7bb91fa6868f0f56da44f45ac545df067e4545adc3a3b5ab8f,0,0
spiral_high,NGC3198,157,49298,3512,14.037015945330296,158625,1032708,519533,037be53b630c57851c966958cc7e6f75e763ea8bef1cf34590c7db3848833591,a3e63c0e334f8bfc11c3b224251ed1706cd3a59ec5a30c5cdb1507d78067979c,0,0
spiral_high,NGC5055,237,112338,3512,31.986902050113894,157755,2198236,1207981,3dbc155533b9e9e29e5f11a0ccdc79aa65596c3c5bc8c889d1d52c37a2913e7b,365b1189ca80569b2caa520df90c76bc60811de5a45555211bcff86572e537dd,0,0
spiral_high,NGC7793,175,61250,3512,17.440205011389523,158165,1066319,540948,9a4d6cac8a97a1a22b3b1ae40e143bf57737bf2d1dcaf18f4e5a16ae22614662,77a719b776c48301baa7be81307cc71dc5818c25dfe4a31c8f71306645f2aecd,0,0
