tier,galaxy,model,radial_speed_transport_rmse_km_s,los_speed_transport_rmse_km_s,los_speed_transport_normalized_rmse,radial_bins_scored,map_pixels_scored
transported_p0720,NGC2403,newtonian_thin_sheet,4.52401638642146,11.361045716232502,0.31242155806217553,24,34727
transported_p0720,NGC2403,fixed_simple_mond,4.633277374323211,15.955584381342998,0.24937473461508644,24,34727
transported_p0720,NGC3198,newtonian_thin_sheet,1.945422892803711,4.5454035953487315,0.09328023019276194,24,13141
transported_p0720,NGC3198,fixed_simple_mond,1.959630876733461,6.32645057250931,0.06614681065375408,24,13141
transported_p0720,NGC5055,newtonian_thin_sheet,3.3575804101236737,13.792647904697304,0.14624474423966585,24,23153
transported_p0720,NGC5055,fixed_simple_mond,3.1033601936910302,16.55905077761785,0.12463542178306977,24,23153
transported_p0720,NGC7793,newtonian_thin_sheet,2.0408380813267333,1.9968029953660795,0.07496257624754335,24,5168
transported_p0720,NGC7793,fixed_simple_mond,1.8784866780767508,2.0834896824628566,0.049643566831464966,24,5168
spiral_medium,NGC2403,newtonian_thin_sheet,3.50187703803418,10.505381724720797,0.2888913405027274,24,34727
spiral_medium,NGC2403,fixed_simple_mond,3.6969502744115426,14.209712455875387,0.22208796543886594,24,34727
spiral_medium,NGC3198,newtonian_thin_sheet,1.188247143253196,3.8634602185168343,0.0792854695879166,24,13141
spiral_medium,NGC3198,fixed_simple_mond,1.338363414118838,5.712265429020489,0.05972513898698409,24,13141
spiral_medium,NGC5055,newtonian_thin_sheet,2.295817704517298,12.433749880433341,0.13183622055520425,24,23153
spiral_medium,NGC5055,fixed_simple_mond,2.2170795629261524,14.756845869980793,0.11107072101492732,24,23153
spiral_medium,NGC7793,newtonian_thin_sheet,1.6992440140673855,1.7693063874870225,0.06642205830272488,24,5168
spiral_medium,NGC7793,fixed_simple_mond,1.5234040466485708,1.854525499590461,0.04418800887496898,24,5168
spiral_high,NGC2403,newtonian_thin_sheet,2.583114590821552,9.686648112745909,0.2663766849789319,24,34727
spiral_high,NGC2403,fixed_simple_mond,2.7300111892211207,13.266494914726195,0.20734612845021808,24,34727
spiral_high,NGC3198,newtonian_thin_sheet,1.1261672560302722,3.3852556404745227,0.06947181230021934,24,13141
spiral_high,NGC3198,fixed_simple_mond,1.1763069403451119,5.1456327867236125,0.05380065705660816,24,13141
spiral_high,NGC5055,newtonian_thin_sheet,2.7822092262114353,11.979245322674624,0.1270170659400452,24,23153
spiral_high,NGC5055,fixed_simple_mond,2.7922023326998793,14.259606805379311,0.10732813930683861,24,23153
spiral_high,NGC7793,newtonian_thin_sheet,1.2598459407994573,1.818825860208086,0.0682810835837393,24,5168
spiral_high,NGC7793,fixed_simple_mond,1.1088467877292287,1.901512333094923,0.04530756997906831,24,5168
