system_label,P0599_shape_gate,gate_activation,effective_strength,R80_kpc,component_id,route_length_kpc,route_width_kpc,route_map_normalization_error,contrast_mode,maximum_carrier_weighted_annular_mean_error,minimum_light_weight,maximum_light_weight,empty_annuli,contrast_strength,minimum_light_weight_after_strength,maximum_light_weight_after_strength,grid_spacing_arcsec,carrier_convergence_minimum,carrier_convergence_maximum,maximum_annular_convergence_mean_fraction,delta_convergence_minimum,delta_convergence_maximum,raw_correction_RMS_arcsec,raw_correction_maximum_arcsec,maximum_independent_circular_mean_deflection_arcsec,normalized_curl_RMS,maximum_edge_correction_arcsec,maximum_edge_delta_convergence
A383,0.7289993970013521,4.7829762768084284e-08,1.1957440692021073e-10,131.23682857842118,gas,32.809207144605296,65.61841428921059,0.0,hard,4.680798716093317e-16,0.0,1155.225805028975,34.0,1.0,0.0,1155.225805028975,1.0,0.002813182636381681,2.1218377078691244,4.041027777489945e-16,-0.10841300667041304,5.8730143373631964,2.652763496930305,11.47763109617862,0.0004160473292782463,2.2256322513452454e-17,2.2295838715504517,0.0
MS2137,0.6577600467607897,0.5948602376283506,0.0014871505940708765,263.20723765954597,gas,65.80180941488649,131.60361882977298,0.0,hard,3.593226028605251e-16,0.0,1328.2353648766189,10.0,1.0,0.0,1328.2353648766189,1.0,0.007062800446489767,2.3555070062574583,1.846392521606837e-16,-0.08588523083497694,2.492961664051184,1.0145212580924725,4.675083055685091,3.593387799094572e-05,2.0816164763479892e-17,1.0000723113898402,0.0
