variant_id,q_min,q_median,q_max,maximum_dynamic_fraction_limb_to_Saturn,maximum_lensing_fraction_limb_to_Saturn,Earth_orbit_fractional_change,Saturn_orbit_fractional_change,Mercury_precession_mas_per_century,Cassini_proxy_pass,Earth_proxy_pass,Mercury_proxy_pass,all_solar_proxies_pass
constant,1.2214174667358473,1.2214174667358473,1.2214174667358473,1.1317765358733376e-08,1.980608937778341e-08,3.224752390952469e-11,1.1317765358733376e-08,-1.717663645505648,True,True,True,True
OR_direct,1.1005943605445538,1.4132783046417259,1.7001514874605355,1.5753758345050153e-08,2.7569077103837767e-08,4.1438891003154945e-11,1.5753758345050153e-08,-2.129530870646183,True,True,True,True
OR_compact30,1.1005943605445538,1.4132783046417259,1.7001514874605355,1.5753758345050153e-08,2.7569077103837767e-08,4.1438891003154945e-11,1.5753758345050153e-08,-2.129530870646183,True,True,True,True
OR_compact100,1.1005943605445538,1.4132783046417259,1.7001514874605355,1.5753758345050153e-08,2.7569077103837767e-08,4.1438891003154945e-11,1.5753758345050153e-08,-2.129530870646183,True,True,True,True
