cohort,system_label,scalar_variant,variant_id,route_applied,R80_kpc,compact_weight_30,compact_weight_100,epsilon,heldout_images,heldout_converged_roots,heldout_all_roots,heldout_RMS_arcsec
P0581_four,MACS0329,constant,constant_scalar,False,165.81800014098758,0.03169504110962593,0.2666978939976568,0.0,3,3,True,19.666869824839814
P0581_four,MACS0329,constant,constant_plus_route,True,165.81800014098758,0.03169504110962593,0.2666978939976568,0.009494778016799061,3,3,True,19.64392224201305
P0581_four,MACS0329,OR_direct,OR_direct_scalar,False,165.81800014098758,0.03169504110962593,0.2666978939976568,0.0,3,3,True,19.76418993791852
P0581_four,MACS0329,OR_direct,OR_direct_plus_route,True,165.81800014098758,0.03169504110962593,0.2666978939976568,0.009706397292713649,3,3,True,19.740695216851325
P0581_four,MACS0329,OR_compact30,OR_compact30_scalar,False,165.81800014098758,0.03169504110962593,0.2666978939976568,0.0,3,3,True,19.669841516878055
P0581_four,MACS0329,OR_compact30,OR_compact30_plus_route,True,165.81800014098758,0.03169504110962593,0.2666978939976568,0.009501343602873753,3,3,True,19.646875454955694
P0581_four,MACS0329,OR_compact100,OR_compact100_scalar,False,165.81800014098758,0.03169504110962593,0.2666978939976568,0.0,3,3,True,19.692049219092166
P0581_four,MACS0329,OR_compact100,OR_compact100_plus_route,True,165.81800014098758,0.03169504110962593,0.2666978939976568,0.00955030884615133,3,3,True,19.668969735260177
P0581_four,MACS0429,constant,constant_scalar,False,165.06526854647754,0.03197550774980803,0.26848129320704045,0.0,2,2,True,13.292993933929283
P0581_four,MACS0429,constant,constant_plus_route,True,165.06526854647754,0.03197550774980803,0.26848129320704045,0.006210359521663401,2,2,True,13.335775023743047
P0581_four,MACS0429,OR_direct,OR_direct_scalar,False,165.06526854647754,0.03197550774980803,0.26848129320704045,0.0,2,2,True,13.15162076863172
P0581_four,MACS0429,OR_direct,OR_direct_plus_route,True,165.06526854647754,0.03197550774980803,0.26848129320704045,0.006324776306706401,2,2,True,13.19470682603102
P0581_four,MACS0429,OR_compact30,OR_compact30_scalar,False,165.06526854647754,0.03197550774980803,0.26848129320704045,0.0,2,2,True,13.288398875878507
P0581_four,MACS0429,OR_compact30,OR_compact30_plus_route,True,165.06526854647754,0.03197550774980803,0.26848129320704045,0.006213953951782935,2,2,True,13.331188974676312
P0581_four,MACS0429,OR_compact100,OR_compact100_scalar,False,165.06526854647754,0.03197550774980803,0.26848129320704045,0.0,2,2,True,13.254612716182333
P0581_four,MACS0429,OR_compact100,OR_compact100_plus_route,True,165.06526854647754,0.03197550774980803,0.26848129320704045,0.006240669791367123,2,2,True,13.297461986776906
P0581_four,MACS1115,constant,constant_scalar,False,167.4100642899393,0.031113737359618365,0.26297706599300824,0.0,2,2,True,27.194197549180185
P0581_four,MACS1115,constant,constant_plus_route,True,167.4100642899393,0.031113737359618365,0.26297706599300824,0.017291510138350816,2,2,True,27.019060927794147
P0581_four,MACS1115,OR_direct,OR_direct_scalar,False,167.4100642899393,0.031113737359618365,0.26297706599300824,0.0,2,2,True,28.044775258398676
P0581_four,MACS1115,OR_direct,OR_direct_plus_route,True,167.4100642899393,0.031113737359618365,0.26297706599300824,0.017739108529617718,2,2,True,27.822797402455393
P0581_four,MACS1115,OR_compact30,OR_compact30_scalar,False,167.4100642899393,0.031113737359618365,0.26297706599300824,0.0,2,2,True,27.219792732165324
P0581_four,MACS1115,OR_compact30,OR_compact30_plus_route,True,167.4100642899393,0.031113737359618365,0.26297706599300824,0.017305095866295576,2,2,True,27.04340816787776
P0581_four,MACS1115,OR_compact100,OR_compact100_scalar,False,167.4100642899393,0.031113737359618365,0.26297706599300824,0.0,2,2,True,27.412823794050315
P0581_four,MACS1115,OR_compact100,OR_compact100_plus_route,True,167.4100642899393,0.031113737359618365,0.26297706599300824,0.017407014635478654,2,2,True,27.225960897561187
