variant_id,fold_wins,q_min,q_median,q_max,cv_equal_galaxy_RMSE_km_s,cv_pooled_RMSE_km_s,improvement_vs_constant_fraction
constant,0,1.2102488147340795,1.2228963348395738,1.2295747164775068,12.6144442816539,12.673863399610559,0.0
OR_direct,4,1.1044203491099933,1.3617314812508794,1.9704684777457073,11.32986783809053,11.247534203506346,0.10183377205380528
OR_compact30,4,1.1074573255652402,1.3416798274938415,1.9491596936758997,11.377466640350269,11.31793476049369,0.09806041500398543
OR_compact100,4,1.1047005467213782,1.359333373331555,1.9684991449455298,11.327761905979527,11.245093156240873,0.10200071814068645
