r_kpc,correlation,correlation_err,n_pairs
0.3356310015978688,-0.010078136688122012,0.007743558560254728,15868
0.37808217868035576,-0.0036042783614055954,0.0066619922740613026,17144
0.4259026524818861,-0.006779692429557513,0.006408564018559462,18252
0.4797715407381379,0.007023810520598725,0.006136169989096252,19728
0.5404538571452931,-0.0026015637604444703,0.005942429816961551,20906
0.608811375626487,0.0015767794185512275,0.005982343623063851,22170
0.685814868729064,-0.011337472057868636,0.005969798919077392,23024
0.7725578939550297,-0.0208403691699795,0.0063606640827634665,23521
0.8702723238099099,3.652152732147055e-05,0.006086641469870942,23677
0.9803458401184718,-0.0053980016089714596,0.006796045795095838,23471
1.1043416410511022,-0.0026177168549572382,0.0063981340662054185,22941
1.2440206407282353,-0.010072425170715271,0.006818439702883823,22012
1.401366476668316,-0.0021730760135105064,0.00786967892039214,20727
1.5786136802201027,-0.0049166680588618155,0.008098898868834616,19176
1.7782794100389228,-0.0054275078537663266,0.008098934659119972,17141
2.003199199266707,-0.01059942623302451,0.010038174147815599,15071
2.256567224075852,-0.017527139930816452,0.01157753665350278,12628
2.541981665446659,-0.00951377738714232,0.012479626980147976,11049
2.8634958083791466,0.0015078054148843331,0.014273053551578159,9164
3.2256756042196577,0.016086156303502908,0.016689235488478213,7755
3.633664513567943,0.007816990758048065,0.01900066382195855,6345
4.09325655062487,0.017834429645448693,0.021605165306579077,4469
4.610978566312856,0.034022706621065255,0.035246980135846644,2121
5.194182938704605,-0.04633263700172587,0.060272989946047635,856
5.85115198709415,-0.0435439735579984,0.07312096460172936,376
6.591215592536302,0.35906193173181766,0.17933628780936145,108
