galaxy_id,t_type,incl_deg,r_d_kpc,mbar_1e9Msun,sigma0_Msun_pc2,v_flat_kms,log_mbar,log_sigma0,log_rd,log_vf,gbar_2kpc,gbar_5kpc,gbar_10kpc,K_2kpc,K_5kpc,K_10kpc,K_inner_mean,K_outer_mean,rar_bias_dex,rar_scatter_dex,btfr_residual_dex,n_datapoints
D512-2,10,56.0,1.24,0.2435,46.97,0.0,-0.6135010344493469,1.671820560183249,0.09342168516223506,,247.0036603009259,,,0.11975343574900389,0.38786796564403575,0.546334368540005,0.11772452169013635,,0.4016862238154212,0.05737670410426071,,4
D564-8,10,63.0,0.61,0.0455,10.565,24.0,-1.3419886033428876,1.023869501388332,-0.21467016498923297,1.380211241711606,62.14243015506857,,,0.11975343574900389,0.38786796564403575,0.546334368540005,0.08416383715931444,,0.5059142967805671,0.23074930426426843,5.327272050666492,6
D631-7,10,59.0,0.7,0.388,57.52,57.7,-0.41116827440579273,1.7598188773748262,-0.1549019599857432,1.7611758131557314,405.71536913580246,112.24341564951341,,0.11975343574900389,0.38786796564403575,0.546334368540005,0.08846454088177182,0.4526185655945453,0.44639677834686275,0.4072992426274888,4.924716379549148,16
DDO064,10,60.0,0.69,0.2895,75.825,46.1,-0.538351431936545,1.879812418982701,-0.16115090926274472,1.6637009253896482,367.9054672667758,,,0.11975343574900389,0.38786796564403575,0.546334368540005,0.07654404265440207,,0.4747460323987434,0.14952508649121438,5.1386953291996855,14
DDO154,10,64.0,0.37,0.3015,35.63,47.0,-0.5207126835238299,1.5518158223510157,-0.431798275933005,1.6720978579357175,156.01886016153227,66.2938361065678,,0.11975343574900389,0.38786796564403575,0.546334368540005,0.10253946752172205,0.4261631835164724,0.6287196388097364,0.2548980647120536,5.12694481370116,12
DDO161,10,70.0,1.22,1.652,84.685,66.3,0.21801004298436338,1.9278064918639528,0.08635983067474821,1.8215135284047732,481.1224808195105,259.1077771805305,137.15395938797553,0.11975343574900389,0.38786796564403575,0.546334368540005,0.07931265134850296,0.5207650952582313,0.32079217126128035,0.22354633431406756,5.342712693567658,31
DDO168,10,63.0,1.02,0.5085,46.11,53.4,-0.29370904274123666,1.6637951222194076,0.00860017176191757,1.7275412570285564,377.9008182233348,,,0.11975343574900389,0.38786796564403575,0.546334368540005,0.09571529586158298,,0.3722666257613487,0.20998921816940916,5.159896557658817,10
DDO170,10,66.0,1.95,1.0065,36.965,60.0,0.0028137792246732954,1.5677907105335362,0.290034611362518,1.7781512503836436,214.30210534152653,167.55965283282544,103.35657231108007,0.11975343574900389,0.38786796564403575,0.546334368540005,0.10697966119443514,0.52516148202285,0.5018562647825514,0.10861133789199799,5.279284402881921,8
ESO079-G014,4,79.0,5.08,29.0065,1147.625,175.0,1.462495328858217,3.059800000399848,0.7058637122839193,2.2430380486862944,2180.2242854113433,1633.5377299353875,1705.9327244001847,0.11975343574900389,0.38786796564403575,0.546334368540005,0.08188495149189669,0.5256620937415067,0.14200564358448325,0.13242892967036773,5.111862158456187,15
ESO116-G012,7,74.0,1.51,3.229,660.39,109.1,0.5090680450171616,2.819800488307139,0.17897694729316943,2.037824750588342,1955.9936891454486,976.7408430459902,,0.11975343574900389,0.38786796564403575,0.546334368540005,0.07660397917572712,0.4881589081083397,0.3171160991769535,0.18211945944959734,4.8766814179579665,15
