parameter,levels,heldout_converged_roots_by_level,complete_systems_by_level,best_root_count_levels,maximum_heldout_converged_roots,converged_root_span,best_complete_system_levels,maximum_complete_systems,complete_system_span,common_complete_systems,common_system_labels,best_level,best_equal_system_RMS_arcsec,worst_level,worst_equal_system_RMS_arcsec,heldout_impact_span_arcsec
gate_mode,none+cluster_logistic_soft+cluster_logistic,none:7+cluster_logistic_soft:10+cluster_logistic:10,none:1+cluster_logistic_soft:3+cluster_logistic:3,cluster_logistic_soft+cluster_logistic,10,3,cluster_logistic_soft+cluster_logistic,3,2,1,MACS1115,none,18.46016482911563,cluster_logistic,24.61928606145917,6.159121232343541
width_over_R80,0.18+0.23+0.28,0.18:9+0.23:10+0.28:8,0.18:2+0.23:3+0.28:3,0.23,10,2,0.23+0.28,3,1,1,MACS0429,0.28,14.98387867111881,0.23,15.171747792708025,0.1878691215892161
route_fraction_multiplier,0.5+0.75+1.0,0.5:8+0.75:9+1.0:10,0.5:2+0.75:2+1.0:3,1.0,10,2,1.0,3,1,1,MACS0429,0.5,15.093165736777172,1.0,15.171747792708025,0.07858205593085366
contrast_cap,5.0+10.0+20.0,5.0:11+10.0:11+20.0:10,5.0:4+10.0:4+20.0:3,5.0+10.0,11,1,5.0+10.0,4,1,3,MACS0429+MACS1115+MACS1931,10.0,17.81307848921063,20.0,17.847089749960876,0.03401126075024763
return_length_over_R80,0.3+0.36+0.42,0.3:8+0.36:10+0.42:8,0.3:2+0.36:3+0.42:2,0.36,10,2,0.36,3,1,1,MACS0429,0.36,15.171747792708025,0.3,15.192973697073702,0.02122590436567684
