system_label,variant,route_fraction_multiplier,return_length_over_R80,width_over_R80,gate_mode,contrast_cap,R50_kpc,R80_kpc,concentration_R50_over_R80,extent_gate,effective_route_fraction,return_length_kpc,endpoint_width_kpc,route_map_normalization_error,route_centroid_x_arcsec,route_centroid_y_arcsec,maximum_carrier_weighted_annular_mean_error,minimum_light_weight,maximum_light_weight,empty_annuli,contrast_strength,minimum_light_weight_after_strength,maximum_light_weight_after_strength,grid_spacing_arcsec,carrier_convergence_minimum,carrier_convergence_maximum,maximum_annular_convergence_mean_fraction,delta_convergence_minimum,delta_convergence_maximum,raw_correction_RMS_arcsec,raw_correction_maximum_arcsec,maximum_independent_circular_mean_deflection_arcsec,normalized_curl_RMS,maximum_edge_correction_arcsec,maximum_edge_delta_convergence,parameter,level
MACS0329,K0338_primary,1.0,0.36,0.23,cluster_logistic,20.0,196.85047455638187,244.14229945401135,0.8062940137641419,0.6799536629353456,0.6799536629353456,87.89122780344408,56.152728874422614,0.0,-5.784383691089486,-0.9285945012749977,4.1368322483834954e-16,0.0,648.3319643396092,114.0,1.0,0.0,648.3319643396092,1.0,0.005025401364310198,2.006153940456033,9.208775171849121e-17,-0.23958475079286945,9.498793648695539,0.724706419873166,8.197493762082185,0.000191017481512068,3.239315702197613e-17,0.24610950697412062,0.0,,
MACS0429,K0338_primary,1.0,0.36,0.23,cluster_logistic,20.0,43.067588939032476,228.53855516930213,0.18844780438525072,0.0999747775563954,0.0999747775563954,82.27387986094877,52.56386768893949,0.0,5.155721958088864,-3.0442460473273134,3.9640458098717265e-16,0.0,644.7815969132561,112.0,1.0,0.0,644.7815969132561,1.0,0.004897269584406,1.8403356103667128,9.872591613943656e-17,-0.1396717360697862,8.982453312580345,0.6215915644277414,5.52565091178146,0.0004182187790074954,2.807401900337703e-17,0.2900705751699759,0.0,,
MACS1115,K0338_primary,1.0,0.36,0.23,cluster_logistic,20.0,123.8750525126024,235.841224203368,0.5252476658015641,0.35690490802826186,0.35690490802826186,84.90284071321247,54.24348156677464,2.220446049250313e-16,2.7494745444007727,1.9029864882124086,4.928066876956797e-16,0.0,730.3182070044388,100.0,1.0,0.0,730.3182070044388,1.0,0.005772461352084527,1.3706856143382768,1.7649233012557786e-16,-0.1331910203222904,10.051000702673786,0.8362539226571225,8.437568318578226,0.00023280619961629778,2.8287611048519346e-17,0.46131209627843334,0.0,,
MACS1931,K0338_primary,1.0,0.36,0.23,cluster_logistic,20.0,142.5735632526369,211.93048256927227,0.6727374067391879,0.5288785094985863,0.5288785094985863,76.29497372493802,48.74401099093262,0.0,-2.1305475797008446,-2.734665166002414,3.3369883369402346e-16,0.0,696.0898766407473,107.0,1.0,0.0,696.0898766407473,1.0,0.011036976671895366,2.7865009581230424,1.6974239365609406e-16,-0.7463825273864046,50.94378180196294,4.633622163958405,35.36586810860578,0.0007887626728270147,3.1128094216103857e-17,1.320288587938657,0.0,,
MACS0329,route_fraction_multiplier__0p5,0.5,0.36,0.23,cluster_logistic,20.0,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.3399768314676732,87.89122780344398,56.15272887442255,0.0,-5.784383691089486,-0.9285945012749977,4.0391551383697407e-16,0.0,648.3319643396092,114.0,1.0,0.0,648.3319643396092,1.0,0.005025401364310198,2.006153940456033,1.8153451644601336e-16,-0.16858610892000692,9.498793648695539,0.6268104706115878,7.886240189525436,0.00030762443944853946,3.210129006609227e-17,0.22291897327262744,0.0,route_fraction_multiplier,0.5
MACS0329,route_fraction_multiplier__0p75,0.75,0.36,0.23,cluster_logistic,20.0,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.5099652472015098,87.89122780344398,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,3.978816587345367e-16,0.0,648.3319643396092,114.0,1.0,0.0,648.3319643396092,1.0,0.005025401364310198,2.006153940456033,1.8153451644601336e-16,-0.20161219052371812,9.498793648695539,0.677765395262687,7.922339001726275,0.0002471125421715792,2.954131020224323e-17,0.2352724298619887,0.0,route_fraction_multiplier,0.75
MACS0329,return_length_over_R80__0p3,1.0,0.3,0.23,cluster_logistic,20.0,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,73.24268983620331,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,4.605100372567371e-16,0.0,648.3319643396092,114.0,1.0,0.0,648.3319643396092,1.0,0.005025401364310198,2.006153940456033,1.753735977509241e-16,-0.250909626682995,9.498793648695539,0.7077198823675017,7.951953967729712,0.0002234229967340573,3.005572764123968e-17,0.24325908971946902,0.0,return_length_over_R80,0.3
MACS0329,return_length_over_R80__0p42,1.0,0.42,0.23,cluster_logistic,20.0,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,102.53976577068464,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,3.5570649332826225e-16,0.0,648.3319643396092,114.0,1.0,0.0,648.3319643396092,1.0,0.005025401364310198,2.006153940456033,1.2559364652456468e-16,-0.24501163981164334,9.498793648695539,0.7401672866214384,8.386058274073498,0.000180166455175379,3.006486284948248e-17,0.25180822995419233,0.0,return_length_over_R80,0.42
MACS0329,width_over_R80__0p18,1.0,0.36,0.18,cluster_logistic,20.0,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,43.94561390172199,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,3.68843261528257e-16,0.0,579.1219283297489,127.0,1.0,0.0,579.1219283297489,1.0,0.005025401364310198,2.006153940456033,2.157737136650001e-16,-0.32068350391681727,10.148992661461136,0.744227932372977,9.563162905233357,0.0002686685307755621,3.1249786421052517e-17,0.21223648144664764,0.0,width_over_R80,0.18
MACS0329,width_over_R80__0p28,1.0,0.36,0.28,cluster_logistic,20.0,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,68.3598438471231,0.0,-5.784383691089486,-0.9285945012749977,4.483044165214357e-16,0.0,745.6872737414632,103.0,1.0,0.0,745.6872737414632,1.0,0.005025401364310198,2.006153940456033,2.762794097044932e-16,-0.1944110167519797,9.490598645701203,0.6941548714760185,7.215614598569432,0.0001403500976052685,2.989899118308779e-17,0.2687124435325393,0.0,width_over_R80,0.28
MACS0329,gate_mode__none,1.0,0.36,0.23,none,20.0,196.85047455638184,244.14229945401107,0.8062940137641427,1.0,1.0,87.89122780344398,56.15272887442255,0.0,-5.784383691089486,-0.9285945012749977,3.480773587091083e-16,0.0,556.8211067096516,129.0,1.0,0.0,556.8211067096516,1.0,0.005025401364310198,2.006153940456033,1.2061038506022106e-16,-0.31425088762276715,10.110795963719282,0.7797850682369979,10.096575198960918,0.00012263144765567446,2.9857833624418726e-17,0.23423822695202068,0.0,gate_mode,none
MACS0329,gate_mode__cluster_logistic_soft,1.0,0.36,0.23,cluster_logistic_soft,20.0,196.85047455638184,244.14229945401107,0.8062940137641427,0.5930961069158822,0.5930961069158822,87.89122780344398,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,4.687244225577913e-16,0.0,648.3319643396092,114.0,1.0,0.0,648.3319643396092,1.0,0.005025401364310198,2.006153940456033,1.8153451644601336e-16,-0.21973418365718408,9.498793648695539,0.7011488139440959,7.939153437420686,0.00021915830637220246,3.102586655862144e-17,0.24070098283330124,0.0,gate_mode,cluster_logistic_soft
MACS0329,contrast_cap__5p0,1.0,0.36,0.23,cluster_logistic,5.0,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,4.1348543924752853e-16,0.0,648.3319643396092,114.0,1.0,0.0,648.3319643396092,1.0,0.005025401364310198,2.006153940456033,2.5925949541638326e-16,-0.2395847507928701,9.498793648695539,0.703836851422764,8.154298803364183,0.00019101918422514963,3.162610582424229e-17,0.2362912266197359,0.0,contrast_cap,5.0
MACS0329,contrast_cap__10p0,1.0,0.36,0.23,cluster_logistic,10.0,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,4.1348543924752853e-16,0.0,648.3319643396092,114.0,1.0,0.0,648.3319643396092,1.0,0.005025401364310198,2.006153940456033,9.107490612680525e-17,-0.2395847507928701,9.498793648695539,0.7149382002235216,8.176923033650425,0.00019101798160126027,3.0857468211587145e-17,0.2397798790630317,0.0,contrast_cap,10.0
