system_label,variant,parameter,level,training_RMS_arcsec,training_all_roots,heldout_RMS_arcsec,heldout_images,heldout_converged_roots,heldout_all_roots
MACS0329,route_fraction_multiplier__0p5,route_fraction_multiplier,0.5,inf,False,21.551999438048185,3,3,True
MACS0329,route_fraction_multiplier__0p75,route_fraction_multiplier,0.75,7.673331841662178,True,21.595832949744203,3,3,True
MACS0329,route_fraction_multiplier__1p0,route_fraction_multiplier,1.0,inf,False,inf,3,2,False
MACS0329,return_length_over_R80__0p3,return_length_over_R80,0.3,7.568275972106746,True,21.818846430890016,3,3,True
MACS0329,return_length_over_R80__0p36,return_length_over_R80,0.36,inf,False,inf,3,2,False
MACS0329,return_length_over_R80__0p42,return_length_over_R80,0.42,inf,False,inf,3,2,False
MACS0329,width_over_R80__0p18,width_over_R80,0.18,inf,False,inf,3,2,False
MACS0329,width_over_R80__0p23,width_over_R80,0.23,inf,False,inf,3,2,False
MACS0329,width_over_R80__0p28,width_over_R80,0.28,7.644592522499807,True,21.82902654214929,3,3,True
MACS0329,gate_mode__none,gate_mode,none,inf,False,inf,3,2,False
MACS0329,gate_mode__cluster_logistic_soft,gate_mode,cluster_logistic_soft,7.608471863927406,True,21.84693751868827,3,3,True
MACS0329,gate_mode__cluster_logistic,gate_mode,cluster_logistic,inf,False,inf,3,2,False
MACS0329,contrast_cap__5p0,contrast_cap,5.0,7.533436503570457,True,22.239160315376882,3,3,True
MACS0329,contrast_cap__10p0,contrast_cap,10.0,7.533276761434996,True,22.506616895932627,3,3,True
MACS0329,contrast_cap__20p0,contrast_cap,20.0,inf,False,inf,3,2,False
MACS0429,route_fraction_multiplier__0p5,route_fraction_multiplier,0.5,3.585673513549691,True,15.093165736777172,2,2,True
MACS0429,route_fraction_multiplier__0p75,route_fraction_multiplier,0.75,3.5723534618228214,True,15.136539742401567,2,2,True
MACS0429,route_fraction_multiplier__1p0,route_fraction_multiplier,1.0,3.57066571066334,True,15.171747792708025,2,2,True
MACS0429,return_length_over_R80__0p3,return_length_over_R80,0.3,3.564347508754458,True,15.192973697073702,2,2,True
MACS0429,return_length_over_R80__0p36,return_length_over_R80,0.36,3.57066571066334,True,15.171747792708025,2,2,True
MACS0429,return_length_over_R80__0p42,return_length_over_R80,0.42,3.573689085698451,True,15.180907481125075,2,2,True
MACS0429,width_over_R80__0p18,width_over_R80,0.18,3.519587801007532,True,15.1209119595839,2,2,True
MACS0429,width_over_R80__0p23,width_over_R80,0.23,3.57066571066334,True,15.171747792708025,2,2,True
MACS0429,width_over_R80__0p28,width_over_R80,0.28,3.657318212145761,True,14.98387867111881,2,2,True
MACS0429,gate_mode__none,gate_mode,none,inf,False,inf,2,1,False
MACS0429,gate_mode__cluster_logistic_soft,gate_mode,cluster_logistic_soft,inf,False,inf,2,1,False
MACS0429,gate_mode__cluster_logistic,gate_mode,cluster_logistic,3.57066571066334,True,15.171747792708025,2,2,True
MACS0429,contrast_cap__5p0,contrast_cap,5.0,3.572494174783527,True,15.155695096953528,2,2,True
MACS0429,contrast_cap__10p0,contrast_cap,10.0,3.5715492631273325,True,15.160585254205428,2,2,True
MACS0429,contrast_cap__20p0,contrast_cap,20.0,3.57066571066334,True,15.171747792708025,2,2,True
MACS1115,route_fraction_multiplier__0p5,route_fraction_multiplier,0.5,inf,False,inf,2,0,False
MACS1115,route_fraction_multiplier__0p75,route_fraction_multiplier,0.75,inf,False,inf,2,1,False
MACS1115,route_fraction_multiplier__1p0,route_fraction_multiplier,1.0,0.10704706675153287,True,24.61928606145917,2,2,True
MACS1115,return_length_over_R80__0p3,return_length_over_R80,0.3,inf,False,inf,2,1,False
MACS1115,return_length_over_R80__0p36,return_length_over_R80,0.36,0.10704706675153287,True,24.61928606145917,2,2,True
MACS1115,return_length_over_R80__0p42,return_length_over_R80,0.42,inf,False,23.281384513842657,2,2,True
MACS1115,width_over_R80__0p18,width_over_R80,0.18,inf,False,inf,2,1,False
MACS1115,width_over_R80__0p23,width_over_R80,0.23,0.10704706675153287,True,24.61928606145917,2,2,True
MACS1115,width_over_R80__0p28,width_over_R80,0.28,inf,False,23.801515558420476,2,2,True
MACS1115,gate_mode__none,gate_mode,none,inf,False,18.46016482911563,2,2,True
MACS1115,gate_mode__cluster_logistic_soft,gate_mode,cluster_logistic_soft,inf,False,23.220409970554105,2,2,True
MACS1115,gate_mode__cluster_logistic,gate_mode,cluster_logistic,0.10704706675153287,True,24.61928606145917,2,2,True
MACS1115,contrast_cap__5p0,contrast_cap,5.0,0.28529000985524,True,24.64925540151527,2,2,True
MACS1115,contrast_cap__10p0,contrast_cap,10.0,0.1419061758673569,True,24.593604292519533,2,2,True
MACS1115,contrast_cap__20p0,contrast_cap,20.0,0.10704706675153287,True,24.61928606145917,2,2,True
MACS1931,route_fraction_multiplier__0p5,route_fraction_multiplier,0.5,inf,False,inf,4,3,False
MACS1931,route_fraction_multiplier__0p75,route_fraction_multiplier,0.75,inf,False,inf,4,3,False
MACS1931,route_fraction_multiplier__1p0,route_fraction_multiplier,1.0,4.897990247218952,True,10.920836065429105,4,4,True
MACS1931,return_length_over_R80__0p3,return_length_over_R80,0.3,inf,False,inf,4,2,False
