system,system_label,source_id,x_arcsec,y_arcsec,radius_kpc,magnitude,base_weight
MACS J0329.7-0211,MACS0329,866,0.03801217794154251,-0.10087991999991885,0.6268909581610349,17.1457,0.12418479267063774
MACS J0329.7-0211,MACS0329,1021,0.24306144998456236,-2.5812799199997016,15.076810366648871,20.1393,0.007881854556448907
MACS J0329.7-0211,MACS0329,906,2.652570264338549,2.7719200800003563,22.31035659532402,20.4963,0.005673204211017433
MACS J0329.7-0211,MACS0329,896,2.9500715765931975,3.4940800799999394,26.591954258569512,21.3615,0.002557104147223685
MACS J0329.7-0211,MACS0329,895,3.6324899433964024,-3.378679920000849,28.848109116557833,19.4787,0.014483329682259004
MACS J0329.7-0211,MACS0329,1195,4.405921408159984,2.333080079999128,28.991314531150362,21.5959,0.002060574953294735
MACS J0329.7-0211,MACS0329,1185,5.407784956683615,0.004240079999107138,31.44684085141364,21.8217,0.0016736645468299189
MACS J0329.7-0211,MACS0329,1221,-3.9795146119884235,3.8828800799999286,32.33181758844573,20.1295,0.007953319268236876
MACS J0329.7-0211,MACS0329,1006,-3.9510955023281125,-4.929559919999882,36.73733765551498,20.955,0.0037183341611238324
MACS J0329.7-0211,MACS0329,864,6.1758203879602735,-2.0556799199997755,37.85028607789549,22.1346,0.0012546090518231268
MACS J0329.7-0211,MACS0329,871,5.588012474732794,-3.710599919999602,39.006490548118066,20.6738,0.004817574246889807
MACS J0329.7-0211,MACS0329,1082,1.197439903935729,8.348320079999638,49.04319129122042,21.8748,0.0015937801612095944
MACS J0329.7-0211,MACS0329,837,7.986369486594851,6.687640079999646,60.57391006943781,21.5411,0.0021672470305927607
MACS J0329.7-0211,MACS0329,1261,-0.014868950117845742,-12.027319920000146,69.94016795995198,23.1555,0.0004899462258745083
MACS J0329.7-0211,MACS0329,803,4.645145558868321,11.313280079999366,71.11748003512639,21.7299,0.0018213290583331911
MACS J0329.7-0211,MACS0329,882,11.367883797586467,7.128280079999527,78.02672448170871,21.1278,0.003171234931147956
MACS J0329.7-0211,MACS0329,971,-13.366454445065699,2.2074400800001115,78.78014959006433,22.5131,0.0008853365962678747
MACS J0329.7-0211,MACS0329,1252,-4.26442517944877,-13.66027992000074,83.216669837607,19.9002,0.00982354901872318
MACS J0329.7-0211,MACS0329,770,5.786226771063199,13.264480080000318,84.15378581751717,23.3244,0.00041936136439477416
MACS J0329.7-0211,MACS0329,950,-14.477317869779812,4.764880080000111,88.62966411878581,19.2768,0.017443290620758115
MACS J0329.7-0211,MACS0329,752,-5.855175847881928,14.262040080000027,89.65239589210677,21.4808,0.002291017552817045
MACS J0329.7-0211,MACS0329,1176,-13.833031472877597,-7.64575992000065,91.90999388707496,23.5041,0.0003553926293937388
MACS J0329.7-0211,MACS0329,1002,17.064656204899986,1.1105200799999437,99.44265363154629,21.6092,0.0020354873916326914
MACS J0329.7-0211,MACS0329,993,-17.069212615598197,1.735480080000329,99.77096752335258,21.3027,0.0026994072911264225
MACS J0329.7-0211,MACS0329,712,-9.573042912142027,16.236280080000043,109.60505791170777,19.3473,0.016346636923658998
MACS J0329.7-0211,MACS0329,616,0.6423679271223148,19.22032008000052,111.83056165232176,20.836,0.00414904759310435
MACS J0329.7-0211,MACS0329,1045,19.56122102600424,-1.6132399199996428,114.1367146616184,20.2018,0.007440950519319353
