galaxy,particles,luminosity_fractional_error,fingerprint
DDO154,65536,-2.220446049250313e-16,4f360d8a49d2356483e64c56542e95fc60fada119644587c8af7f0fe1aadb131
NGC2403,65536,0.0,101b47a5261a3cfa5cbd7cb7f0334610721d7439a15c6a72953eeb990ad74783
NGC2841,65536,-1.1102230246251565e-16,d4f2c636a298cc9c4bb476d7b7642cad5f9cbb36d7ffcaa5357d8df9a0fd7777
NGC7814,65536,0.0,d85fc51fc29b54033b7ebd9122cbadc6a9a3f7dc57a01f6ea94b2821b71e8b41
