galaxy,split,hubble_type,inclination_deg,quality,distance_mpc,light_rmse_dex,rotation_rmse_km_s,angular_photometry_rmse_dex,pixelized_light_rmse_dex,pixelized_rotation_rmse_km_s,rendered_luminosity_lsun,input_luminosity_lsun,total_light_fractional_error,bulge_fraction,apparent_axis_ratio,light_knots,rotation_knots,angular_photometry_knots
CamB,train,10,65.0,2,3.36,0.0,0.0,3.138121746930266e-05,0.06413469280380339,0.01779230202564842,89649906.98883738,88745849.81891206,0.010187036033460384,0.0,0.4363877472460397,23,9,23
D631-7,holdout,10,59.0,1,7.72,0.0,0.0,2.9859108505899937e-05,0.02308118753078581,0.08494084021268901,390970717.8951762,387117764.1181191,0.009952924236980909,0.0,0.5252089240094012,29,15,20
DDO064,holdout,10,60.0,1,6.8,0.0,0.0,3.099827371337908e-05,0.06923788938949645,0.05241599462779064,409265093.4385079,408118621.535849,0.002809163420048,0.0,0.5106858133921482,53,13,53
DDO154,train,10,64.0,2,4.04,0.0,0.0,2.9352033198083117e-05,0.030249320464205257,0.04233180089869719,58053436.27768813,57871368.36959555,0.003146079196362006,0.0,0.45144437637378504,82,11,50
DDO161,train,10,70.0,1,7.5,0.0,0.0,3.1819254315472755e-05,0.01643679267869957,0.08996498222191411,1539166465.0113833,1529636636.221508,0.006230125877094483,0.0,0.36012955784129647,74,30,58
DDO168,train,10,63.0,2,4.25,0.0,0.0,3.159184686627859e-05,0.02130653909060183,0.048472210135633215,541120485.082953,539809260.7315316,0.0024290512349574023,0.0,0.4664112216384478,60,8,59
DDO170,train,10,66.0,2,15.4,0.0,0.0,3.067613820526227e-05,0.009774369823521908,0.049403314375936085,1809373545.035458,1804395847.280101,0.0027586506380294917,0.0,0.42125103820210896,46,7,41
ESO079-G014,holdout,4,79.0,1,28.7,0.0,0.0,3.053522575527404e-05,0.04048201303684351,0.49709594514438016,409606533542.8711,407690660050.1059,0.004699331332559176,0.0,0.22424048802454744,61,15,61
ESO116-G012,train,7,74.0,1,13.0,0.0,0.0,3.045563403939275e-05,0.03004491519657756,0.17029234272478236,18993341129.360577,18947715213.704758,0.0024079903640739087,0.0,0.2988007667562339,48,14,43
ESO563-G021,train,4,83.0,1,60.8,0.0,0.0,3.0958071155870025e-05,0.0375125338307572,1.0594643337945757,1511825891471.7207,1499498874502.3728,0.008220757733772066,0.0,0.17040617973298075,59,30,59
F568-3,train,7,40.0,1,82.4,0.0,0.0,3.061412034006964e-05,0.04406643138550089,0.19147083773323997,21394479597.84419,21335043169.805317,0.0027858592816436545,0.0,0.7699180618444168,49,18,49
F568-V1,development,7,40.0,1,80.6,0.0,0.0,3.078159405613944e-05,0.08357291552923787,0.36185176929290686,4964584834.514418,4950381125.589468,0.002869215231031008,0.0,0.7699180618444168,46,14,43
F571-8,train,5,85.0,1,53.3,0.0,0.0,3.054226342358306e-05,0.04122655687176154,0.4064388733714735,26046469026.67292,25688798671.98237,0.013923202842515359,0.0,0.14794167538453748,49,12,46
F574-1,development,7,65.0,1,96.8,0.0,0.0,3.118544011160989e-05,0.03840957963003623,0.19700886824950078,15513097749.726091,15466737220.323154,0.002997434348468664,0.0,0.4363877472460397,45,14,45
F583-1,train,9,63.0,1,35.4,0.0,0.0,3.096513142099741e-05,0.0057162491132675165,0.5086092889905393,2242002677.3468914,2220666857.6514306,0.0096078435276985,0.0,0.4664112216384478,22,23,18
F583-4,train,5,55.0,1,53.3,0.0,0.0,3.0697466482907594e-05,0.15910589037034734,0.25631606774077303,1683603711.1564572,1679535007.490476,0.0024225179277808095,0.0,0.5819385477600796,24,11,24
IC2574,train,9,75.0,2,3.91,0.0,0.0,3.0676010903515675e-05,0.037263372905510024,0.2922230040974756,3674558629.687525,3668144111.232776,0.001748709500018153,0.0,0.2835889296411773,72,31,67
