galaxy,split,hubble_type,inclination_deg,quality,distance_mpc,input_luminosity_lsun,bulge_fraction,apparent_axis_ratio,light_knots,angular_photometry_knots,rotation_knots
CamB,train,10,65.0,2,3.36,88745849.81891206,0.0,0.4363877472460397,23,23,9
D631-7,holdout,10,59.0,1,7.72,387117764.1181191,0.0,0.5252089240094012,29,20,15
DDO064,holdout,10,60.0,1,6.8,408118621.535849,0.0,0.5106858133921482,53,53,13
DDO154,train,10,64.0,2,4.04,57871368.36959555,0.0,0.45144437637378504,82,50,11
DDO161,train,10,70.0,1,7.5,1529636636.221508,0.0,0.36012955784129647,74,58,30
DDO168,train,10,63.0,2,4.25,539809260.7315316,0.0,0.4664112216384478,60,59,8
DDO170,train,10,66.0,2,15.4,1804395847.280101,0.0,0.42125103820210896,46,41,7
ESO079-G014,holdout,4,79.0,1,28.7,407690660050.1059,0.0,0.22424048802454744,61,61,15
ESO116-G012,train,7,74.0,1,13.0,18947715213.704758,0.0,0.2988007667562339,48,43,14
ESO563-G021,train,4,83.0,1,60.8,1499498874502.3728,0.0,0.17040617973298075,59,59,30
F568-3,train,7,40.0,1,82.4,21335043169.805317,0.0,0.7699180618444168,49,49,18
F568-V1,development,7,40.0,1,80.6,4950381125.589468,0.0,0.7699180618444168,46,43,14
F571-8,train,5,85.0,1,53.3,25688798671.98237,0.0,0.14794167538453748,49,46,12
F574-1,development,7,65.0,1,96.8,15466737220.323154,0.0,0.4363877472460397,45,45,14
F583-1,train,9,63.0,1,35.4,2220666857.6514306,0.0,0.4664112216384478,22,18,23
F583-4,train,5,55.0,1,53.3,1679535007.490476,0.0,0.5819385477600796,24,24,11
IC2574,train,9,75.0,2,3.91,3668144111.232776,0.0,0.2835889296411773,72,67,31
IC4202,holdout,4,90.0,1,100.4,1109023057316.5728,0.03706530493698188,0.12,55,54,32
KK98-251,train,10,59.0,2,6.8,382964899.97093683,0.0,0.5252089240094012,18,17,14
NGC0024,train,5,64.0,1,7.3,15041694819.290174,0.0,0.45144437637378504,66,64,28
NGC0055,development,9,77.0,2,2.11,71795972420.52559,0.0,0.25352375427910195,30,28,20
NGC0100,train,6,89.0,1,13.5,21202364081.15352,0.0,0.12124438314820868,60,60,21
NGC0247,train,7,74.0,2,3.7,43545224129.20524,0.0,0.2988007667562339,26,26,26
NGC0289,development,4,46.0,2,20.8,115045428365.49324,0.0,0.7000010914455831,80,65,27
NGC0300,train,7,42.0,2,2.08,8429693999.289986,0.0,0.7474701510416986,100,50,24
NGC0801,holdout,5,80.0,1,80.7,978902407639.4255,0.0,0.21004636744467725,58,57,12
NGC0891,holdout,3,90.0,1,9.91,319256787451.682,0.06504411172031081,0.12,49,47,17
NGC1003,train,6,67.0,1,11.4,23205567610.484703,0.0,0.40604476974566006,83,60,35
NGC1090,holdout,4,64.0,1,37.0,157180755906.48148,0.0,0.45144437637378504,60,55,23
NGC2403,development,6,63.0,1,3.16,17362945447.73984,0.0,0.4664112216384478,85,50,72
NGC2683,development,3,80.0,2,9.81,301377116103.18585,0.019659475267208917,0.21004636744467725,82,65,10
NGC2841,train,3,76.0,1,14.1,409430334360.8852,0.12375261081509337,0.2684835679126765,86,67,49
NGC2903,train,4,66.0,1,6.6,106603465909.54993,0.0,0.42125103820210896,79,68,33
NGC2915,train,11,56.0,2,4.06,1046447959.5471717,0.0,0.5679734771665298,84,58,29
NGC2955,train,3,56.0,1,97.9,585944879022.5934,0.1333266114091482,0.5679734771665298,60,59,24
NGC2976,train,5,61.0,2,3.58,9964997215.30398,0.0,0.4960401058239915,65,65,27
NGC2998,development,5,58.0,1,68.1,281839391134.4416,0.0,0.5396023525359601,57,57,13
NGC3109,train,9,70.0,1,1.33,1917995009.1236305,0.0,0.36012955784129647,32,30,22
NGC3198,development,5,73.0,1,13.8,93861200075.21336,0.0,0.31408642798579417,77,66,42
NGC3521,train,4,75.0,1,7.7,148187628959.0576,0.0,0.2835889296411773,70,68,40
NGC3726,train,5,53.0,2,18.0,130764524677.64565,0.0,0.6093979906870246,69,63,11
NGC3741,train,10,70.0,1,3.21,37084865.87241802,0.0,0.36012955784129647,74,50,13
NGC3769,train,3,70.0,2,18.0,54141516635.878815,0.0,0.36012955784129647,73,61,11
NGC3877,train,5,76.0,2,18.0,273218530179.52988,0.0,0.2684835679126765,63,63,13
NGC3893,train,5,49.0,1,18.0,90241378431.24794,0.0,0.6622805265496485,62,59,9
NGC3917,development,6,79.0,1,18.0,89938395952.69548,0.0,0.22424048802454744,63,63,17
NGC3953,holdout,4,62.0,1,18.0,266622107603.79807,0.0,0.4812792714938137,63,63,8
NGC3972,development,4,77.0,1,18.0,49393965945.87167,0.0,0.25352375427910195,59,59,10
NGC3992,train,4,56.0,1,23.7,409191384573.15894,0.0,0.5679734771665298,68,67,8
NGC4010,development,7,89.0,2,18.0,127848608390.97675,0.0,0.12124438314820868,61,61,12
NGC4013,train,3,89.0,2,18.0,636745150509.1401,0.026664856977687498,0.12124438314820868,60,59,15
NGC4088,train,4,69.0,1,18.0,281620673156.0902,0.0,0.3754706779560026,63,61,11
NGC4100,train,4,73.0,1,18.0,185331704215.5732,0.0,0.31408642798579417,64,61,22
NGC4157,train,3,82.0,1,18.0,702615785683.0566,0.003152392006083584,0.18300337767810865,68,64,16
NGC4183,holdout,6,82.0,1,18.0,58402399916.43731,0.0,0.18300337767810865,63,62,22
NGC4217,train,3,86.0,1,18.0,619994425305.285,0.1212028530703323,0.13854925378418367,64,63,19
NGC4559,train,6,67.0,1,9.0,44777040172.31782,0.0,0.40604476974566006,55,51,31
NGC5005,train,4,68.0,1,16.9,455667242719.2267,0.05011673746106927,0.39078043245934496,72,71,18
NGC5033,development,5,66.0,1,15.7,237558186015.14517,0.11649564070083612,0.42125103820210896,75,67,21
NGC5055,development,4,55.0,1,9.9,260925609316.24765,0.0,0.5819385477600796,77,69,27
NGC5371,holdout,4,53.0,1,39.7,463789948179.6641,0.0,0.6093979906870246,60,60,15
NGC5585,train,7,51.0,1,7.06,4263697325.0454464,0.0,0.6361926742465747,61,61,17
NGC5907,train,5,88.0,1,17.3,1594670470000.4333,0.0,0.12490170548058428,74,68,18
NGC5985,train,3,60.0,1,39.7,459075508706.16046,0.024330270156770206,0.5106858133921482,61,60,32
NGC6015,train,6,60.0,2,17.0,63305360041.89594,0.0,0.5106858133921482,70,60,42
NGC6195,train,3,62.0,1,127.8,637148954055.734,0.18055615608795275,0.4812792714938137,58,57,23
NGC6503,train,6,74.0,1,6.26,43856763640.03817,0.0,0.2988007667562339,81,66,30
NGC6674,holdout,3,54.0,1,51.2,361357814838.8724,0.052385935592666265,0.5957486258247062,59,38,14
NGC6946,development,6,38.0,1,5.52,89780128237.72177,0.050258356634479875,0.7914664302113616,80,67,55
NGC7331,holdout,3,75.0,1,14.7,610264710316.445,0.020905138441948183,0.2835889296411773,73,66,34
