model,manifestPath,manifestSha256,batchId,batchState,batchScientificResultSha256,modelSha256,systems,succeededSystems,convergenceFraction,maximumEquationResidual,scoredSystems,validObservationPoints,equalGalaxyRmseKmS,pointWeightedRmseKmS,reducedChiSquare,universalGravityParameters,perObjectGravityParameters,downloadedArtifactCount,allDownloadedArtifactHashesValid,frozenCurveEqualGalaxyRmseKmS,frozenCurveEqualGalaxyNormalizedRmse
newtonian_poisson,hosted-simulator/examples/models/newtonian-poisson.json,34b75c42911410f33322734fb2b149de447682a35f34f4ecaea83472578d493f,batch_411a057bdc2343a208b3a5d8,succeeded,a6a586dbf2a09481138f1f5546c8b22df2e737b82e99543ebd095903bd346630,43738f2c7bb3c4e94193763cf46f39b2a47fa852b25d1c063fef00fa7e1aa661,13,13,1,5.932160608191824e-10,13,161,23.153691737040457,23.52145013012294,51.467967627833744,1,0,10,True,4.324800666305831,0.14909522615698903
aqual_simple_mu,hosted-simulator/examples/models/aqual.json,0df2a67bef17cfa07b539b8b09d5a2113f746e5a836c7a0f23d12c08d676acab,batch_ed7cae302dd21a2605f9e751,succeeded,6841df83e2491eb38d1ba0885cfb1f09f80b204a6a8449e646bec5b42eb8494f,37fe7ed1b60b8b3d05dbdf7a0b61c1ffdd3dfa22cdcd2e661e9e58e7c8e5a054,13,13,1,9.935903468946796e-09,13,161,13.131099120067583,13.060812671664314,12.848259887865359,2,0,10,True,3.657532704044625,0.09483471489156925
qumond_simple_nu,hosted-simulator/examples/models/qumond.json,254b19a02ccf082d49a9f031d04a275514ea7bade182cd616a6ba688936131dc,batch_daf2e7952e37ef5b03317ecf,succeeded,1f6fdca5b3744733192776ae6e59ff4fc507938c3cdc134d06869ad5e04fb09f,68dee7e94c66fea1ee4c8a66e27dbf1636ca0a7fa4bd62d49c19ec2f00971332,13,13,1,5.532482224595364e-10,13,161,12.486461391155828,12.624050080985183,15.01766506091433,2,0,10,True,7.675053394406388,0.17425205531674978
refracted_gravity_published_fixture,hosted-simulator/examples/models/refracted-gravity.json,cc760ee32424972a7898bf731d573099f7fe25ebbd48cde97c29fee1714af1af,batch_6045fd76301af8e703d22ead,succeeded,33171e9f900f54aa8f144ac1d18df7159f16e3355c79d688958f2a308e1763a2,4a0c9be0ba6f430d4d073f0ee6bf1e98de437908de81d0ad533261fea5d14bef,13,13,1,5.961321312940549e-10,13,161,14.439464721620908,14.864109675169368,20.898836281488595,4,0,10,True,,
