model,system_id,source_kind,source_id,field_job_id,scientific_job_id,state,converged,iterations,maximum_relative_update,maximum_equation_residual,universal_gravity_parameters,per_object_gravity_parameters,observation_targets,scored_observation_targets,valid_observation_points,observation_rmse_m_s,observation_weighted_rmse_m_s,observation_chi_square,observation_degrees_freedom
newtonian_poisson,CVnIdwA,galaxy_job_artifact,job_e355039cfc47130afbd5a2bb,job_8b488fa92b4d02973081c274,fieldjob_ef2e69c0e7f233873ea64343,succeeded,true,17,3.0132704703730077e-9,2.6268396391952236e-10,1,0,1,1,9,5193.603788092224,4629.3446548242355,42.81324156344789,9
newtonian_poisson,DDO47,galaxy_job_artifact,job_7fd1566cce8d4320a47eef3a,job_0680246f055f0383eedbf7d4,fieldjob_0a5a3f23ed0290b5ceb881db,succeeded,true,17,3.0132704752576275e-9,2.2943372398493134e-10,1,0,1,1,14,35329.25460895056,33223.72463039469,1882.6474693745026,14
newtonian_poisson,DDO50,galaxy_job_artifact,job_10d6491d04f5df5433f757d5,job_5e817200ef13e2ac39d15939,fieldjob_b5eee850061bfa4d625a2387,succeeded,true,17,3.013270472328036e-9,2.6689419307897944e-10,1,0,1,1,26,19768.28268521684,19254.155173726456,408.93239188143025,26
newtonian_poisson,DDO52,galaxy_job_artifact,job_90600b65e329c5b0b283200b,job_159aafb613eb80ad61fe613c,fieldjob_4ea58b9bbb77ccc21b893bd2,succeeded,true,17,3.0132704760670477e-9,2.2235104445580417e-10,1,0,1,1,12,29833.165083801017,27153.095079365645,641.9041951545584,12
newtonian_poisson,DDO53,galaxy_job_artifact,job_dc1ee30b4be44e31fe4148ce,job_e72be15094cc92b91fd74f2e,fieldjob_402898eb87a72108534f870e,succeeded,true,17,3.013270476986238e-9,3.073658484381494e-10,1,0,1,1,9,8197.161436584482,6009.16722086279,22.801237303853497,9
newtonian_poisson,DDO87,galaxy_job_artifact,job_d3d2bb12fe97f74f3f3f87cc,job_e0bd70d5208d50d86eaa26a7,fieldjob_dba03e6db6b31cf1a95955d3,succeeded,true,17,3.013270474174152e-9,2.5558817941355035e-10,1,0,1,1,12,30237.315805872084,28579.19652926815,936.5720656246232,12
newtonian_poisson,DDO101,galaxy_job_artifact,job_bafddadbde446963ac11da5b,job_34062f4d57e20991ecbe9221,fieldjob_d7dfb1e0725964b12fab9c56,succeeded,true,17,3.013270476589572e-9,2.1076268449524035e-10,1,0,1,1,10,40177.216813494146,42877.13171919069,1995.624257512992,10
newtonian_poisson,DDO126,galaxy_job_artifact,job_982e97943dcaaaefceb1dd49,job_27180ebbd62c34b2fd8d2d79,fieldjob_3359ee243427cba6710df4fa,succeeded,true,17,3.0132704746211616e-9,2.6960141911295105e-10,1,0,1,1,13,17284.99802030581,18986.4488361058,912.9783435276495,13
newtonian_poisson,DDO133,galaxy_job_artifact,job_1f7cb50ac8d001734180b67f,job_2225e67593fb2f1ea9599655,fieldjob_f724d0ee6f1ed6a3f4a1d29d,succeeded,true,17,3.0132704717265647e-9,2.2642391341819432e-10,1,0,1,1,15,26610.450696454507,24781.763747759614,1120.2774750713854,15
newtonian_poisson,DDO210,galaxy_job_artifact,job_99a86aae58cf378ae08f8810,job_f0e945dec51d8c8ec1e353cd,fieldjob_461635384eaeecf60f70ffe8,succeeded,true,17,3.013270472252295e-9,2.2873445560889596e-10,1,0,1,1,8,8629.912933450601,4668.627210353668,18.51014703115332,8
