grid_points,system,total_mass,spacing_L_sigma,integrated_response,maximum_potential,mean_potential,minimum_gram_determinant,mean_screen,minimum_screen,maximum_g_over_a_sigma,maximum_trace_residual
65,galaxy,0.3,0.09375,0.0002792740774848762,0.0003673279129881155,1.2354473493648412e-06,-2.220446049250313e-16,0.9963412449897681,0.012313379873088606,2.9926813224213236,1.7763568394002505e-15
65,cluster,0.3,0.09375,0.0015123815385943717,0.00103975911514036,6.685941931656695e-06,1.8052844023165224e-17,0.9997418761851559,0.9259253019440676,0.5318307992917843,1.1102230246251565e-16
65,galaxy,1.0,0.09375,0.0006333196865974557,0.00015191129277853445,2.950638928012088e-06,-5.684341886080802e-14,0.9777809538789516,0.00010097160799333476,9.975604408071076,3.552713678800501e-15
65,cluster,1.0,0.09375,0.022164844777229412,0.01074586346516801,9.823162701832587e-05,2.228746175739421e-15,0.9849017523993775,0.09194021662567041,1.7727693309726142,4.440892098500626e-16
65,galaxy,3.0,0.09375,0.004361265750548612,0.0002244440710917226,2.8711493922293267e-05,-5.4569682106375694e-12,0.9028011010472603,1.246687387601853e-06,29.926813224213227,1.4210854715202004e-14
65,cluster,3.0,0.09375,0.030704308251613466,0.06229187292460851,0.00015149963222557098,1.8052844023595293e-13,0.9044037451141247,0.0012484281070896572,5.318307992917844,1.7763568394002505e-15
81,galaxy,0.3,0.07500000000000018,0.00027938796893122055,0.0004008316715031996,1.2475571566580835e-06,-4.440892098500626e-16,0.9963063779804233,0.011443376013810177,3.048680026652971,1.7763568394002505e-15
81,cluster,0.3,0.07500000000000018,0.001512810660363569,0.001062252193576411,6.750263787686472e-06,2.2836860574297016e-17,0.9997396641240052,0.9253960170237894,0.5328544500810609,1.1102230246251565e-16
81,galaxy,1.0,0.07500000000000018,0.0006349891856002846,0.0001523639839424329,3.0003409364895814e-06,-2.842170943040401e-14,0.9775837628782438,9.375553522812561e-05,10.162266755509904,3.552713678800501e-15
81,cluster,1.0,0.07500000000000018,0.022175317103804403,0.011295812185531889,9.922567249804938e-05,2.8193655029938075e-15,0.9847724500877829,0.09130007278584126,1.7761815002702033,4.440892098500626e-16
81,galaxy,3.0,0.07500000000000018,0.004278450099534544,0.00022903156922120688,2.9394194899787685e-05,-3.637978807091713e-12,0.9020566472603574,1.1575829334904407e-06,30.486800266529706,1.4210854715202004e-14
81,cluster,3.0,0.07500000000000018,0.030519335641154742,0.06599344591529303,0.00015363212495809908,2.28368605742912e-13,0.9036768131361721,0.0012388742943937516,5.328544500810609,1.7763568394002505e-15
