name,hubble_type,hubble_name,type_group,distance_mpc,avg_bulge_frac,n_points,ape,rms,chi2,chi2_reduced,success,mean_v_obs,v_flat
UGC00191,9,Sm,late,17.1,0.0,9,50.45184381937142,37.13370563906261,2712.7212717078114,339.0901589634764,0,58.977777777777774,74.08
UGC05716,9,Sm,late,21.3,0.0,12,30.22950484825073,22.63738412935819,1501.5921708225774,136.50837916568886,0,64.44166666666668,73.09166666666667
UGC00634,9,Sm,late,30.9,0.0,4,9.930061982868747,10.475671199757915,73.77602020573022,24.592006735243405,1,95.7375,107.75
UGC08490,9,Sm,late,4.65,0.0,30,36.67906250025711,29.349710188120156,1897.912371662908,65.4452541952727,0,75.15666666666667,78.87999999999998
F561-1,9,Sm,late,66.4,0.0,6,43.23387746395097,16.618467682697275,48.751320785690076,9.750264157138016,0,43.25,50.0
UGC01230,9,Sm,late,53.7,0.0,11,49.65989732785809,31.302461042804385,95.03668031289331,9.503668031289331,0,91.88181818181819,106.0
UGC06628,9,Sm,late,15.1,0.0,7,30.2379140937122,11.599497480521766,13.770996588891764,2.2951660981486275,0,39.10000000000001,42.074999999999996
UGC06818,9,Sm,late,18.0,0.0,8,49.71839035901621,22.235876027236287,142.1833668898749,20.311909555696413,0,51.587500000000006,69.25
UGC04325,9,Sm,late,9.6,0.0,8,26.601700046484275,25.031846179259272,538.6681674420768,76.95259534886812,1,81.05,91.475
UGC12632,9,Sm,late,9.77,0.0,15,31.084928877120937,22.97972799994548,871.0686322600675,62.21918801857625,0,60.186666666666675,70.41250000000001
NGC1003,6,Scd,late,11.4,0.0,36,24.14010461293296,25.738938039837247,2846.966161845274,81.3418903384364,1,99.03055555555555,109.16666666666667
NGC4559,6,Scd,late,9.0,0.0,32,63.58264887323876,66.49376029656854,5319.5268943928,171.59764175460646,0,110.490625,122.0
NGC4183,6,Scd,late,18.0,0.0,23,33.802387339358745,32.86979564423428,815.1290501069484,37.051320459406746,0,101.89999999999999,110.25
UGC09037,6,Scd,late,83.6,0.0,22,109.26346999480388,144.99983294678114,18002.211143271856,857.2481496796122,0,137.92727272727274,154.27272727272728
UGC12506,6,Scd,late,100.6,0.0,31,42.169387871258024,106.96448340420412,2326.8992050777324,77.56330683592441,0,228.8709677419355,238.1875
NGC6503,6,Scd,late,6.26,0.0,31,19.116388098583244,28.156021941013734,4411.008251533518,147.0336083844506,1,114.29032258064517,115.6875
NGC6015,6,Scd,late,17.0,0.0,44,51.17836704758954,71.79520636182227,35073.60461613071,815.6652236309467,0,143.21818181818182,157.5909090909091
