name,type,distance_mpc,n_points,ape,rms,chi2_reduced,success,mean_v_obs,mean_v_bar
UGC08286,disk_dominated,6.5,17,28.774933940932552,23.39204821115766,132.45241428372077,0,72.7764705882353,37.50557006374791
UGC07232,disk_dominated,2.83,4,22.99044992164091,11.527065272027498,12.201398878382221,0,30.45,24.25274914301118
UGC01230,disk_dominated,53.7,11,45.74289991339305,28.126970728367315,7.157790009232462,0,91.88181818181819,51.49721017673141
UGC05986,disk_dominated,8.63,15,24.74363881476496,19.766755820516803,55.14110736209026,0,96.74,62.050791858945594
UGC06983,disk_dominated,18.0,17,8.343746647693969,11.107771391940183,4.526846482582692,1,101.16470588235295,60.643097474676836
UGC06930,disk_dominated,18.0,10,38.90801647572282,35.908781322343415,33.88067232512935,0,97.56,67.88380369893088
NGC1705,disk_dominated,5.73,14,42.14331139959494,32.848106312814124,52.464586590814484,0,69.64999999999999,33.081636472939884
F563-V1,disk_dominated,54.0,6,37.53747376524361,8.609833394011263,2.9651692429052603,0,24.61666666666667,24.779359735954895
UGC05918,disk_dominated,7.66,8,39.827799938112726,16.06981043199018,16.720005135682356,0,35.2875,17.29522403235856
NGC4010,disk_dominated,18.0,12,46.251736896578194,41.059545398800346,52.080940507295345,0,98.8,90.47566176236121
UGC03580,bulge_dominated,20.7,47,67.1885649726756,64.97033734399969,307.9288155795331,0,91.70212765957447,100.23718794374606
NGC3917,disk_dominated,18.0,17,45.12087901332335,43.696124901242804,122.27100034844601,0,114.8529411764706,92.15590027977174
NGC2683,disk_dominated,9.81,11,76.21780567426018,138.81843184041472,378.3776254041586,0,177.63636363636363,160.102075720077
NGC2998,disk_dominated,68.1,13,104.096768312606,190.76458600605847,1306.8910637803235,0,187.07692307692307,160.2473577364806
KK98-251,disk_dominated,6.8,15,35.52813757623635,11.807991228412172,34.8571642125647,0,21.583333333333332,14.872982918606203
ESO079-G014,disk_dominated,28.7,15,34.727388609362606,31.71532996343895,94.9611799686579,0,119.38666666666667,97.46179261058562
UGC04278,disk_dominated,9.51,25,40.02054470915853,30.22077824880955,33.35635222712571,0,56.8812,33.54725454064668
NGC3726,disk_dominated,18.0,12,104.31397691766269,162.48665245299023,1064.2262343237592,0,151.83333333333334,150.34645833104912
F574-1,disk_dominated,96.8,14,34.95636734512576,19.096978180035318,18.152822740392182,0,80.74285714285715,46.7815112736699
UGC07866,disk_dominated,4.57,7,24.331534361658928,9.183561080466026,5.091355463579638,0,24.771428571428572,17.766687293951854
UGC06923,disk_dominated,18.0,6,24.91601692000786,16.52841507550632,7.3292400996415195,0,67.7,58.58991197162438
UGC11820,disk_dominated,18.1,10,67.25404304881775,30.59888234172547,160.97968789551584,0,51.205000000000005,27.71653541436219
UGC05999,disk_dominated,47.7,5,16.16249148514351,12.693602769193296,6.445102050482869,0,83.24,49.18298036521337
IC2574,disk_dominated,3.91,33,22.58787788809462,13.012442708646715,16.887325059757128,0,43.47647058823529,26.936697755059452
NGC3741,disk_dominated,3.21,21,55.18595840972008,25.662864855757597,118.22934217474051,0,36.180952380952384,13.60795220924306
