actualBytes,arrayOpened,beamMajorDeg,beamMinorDeg,bunit,ctype1,ctype2,expectedBytes,fitsAxisLengths,galaxy,hduCount,kind,naxis,primaryHduReadable,relativePath,scientificRole,sha256,split,survey,twoCelestialAxes,url
16822080,False,,,JY/B*M/S,RA---SIN,DEC--SIN,16822080,"[2048, 2048, 1, 1]",NGC2403,1,moment0,4,True,NGC2403/NGC_2403_NA_MOM0_THINGS.FITS,baryonic_input,93082ffbe2cade7d47a58567b16c761d1f8f3af38a142044964b60af1622e313,development,THINGS,True,https://things.www3.mpia.de/Data_files/NGC_2403_NA_MOM0_THINGS.FITS
16822080,False,,,METR/SEC,RA---SIN,DEC--SIN,16822080,"[2048, 2048, 1, 1]",NGC2403,1,moment1,4,True,NGC2403/NGC_2403_NA_MOM1_THINGS.FITS,withheld_target,d0a8d698d1e2685e8cc3d6f03642dacbc30202bc4c2daa20dd14a25a0ccbca1a,development,THINGS,True,https://things.www3.mpia.de/Data_files/NGC_2403_NA_MOM1_THINGS.FITS
16822080,False,,,METR/SEC,RA---SIN,DEC--SIN,16822080,"[2048, 2048, 1, 1]",NGC2403,1,moment2,4,True,NGC2403/NGC_2403_NA_MOM2_THINGS.FITS,withheld_target,1b2678c1db00424b3dbb212cad56993e36c30fae29571253bd5e95a72cba0f70,development,THINGS,True,https://things.www3.mpia.de/Data_files/NGC_2403_NA_MOM2_THINGS.FITS
24909120,False,,,MJy/sr,RA---TAN,DEC--TAN,24909120,"[2478, 2479]",NGC2403,1,irac1,2,True,NGC2403/ngc2403_v7.phot.1.fits,baryonic_input,45eab7754db29618fd41b3a95ed070b39b1f4534cd474755e53fa3d852b366b0,development,SINGS,True,https://irsa.ipac.caltech.edu/data/SPITZER/SINGS/galaxies/ngc2403/IRAC/ngc2403_v7.phot.1.fits
24909120,False,,,MJy/sr,RA---TAN,DEC--TAN,24909120,"[2478, 2479]",NGC2403,1,irac1_weight,2,True,NGC2403/ngc2403_v7.phot.1_wt.fits,baryonic_input,0d9362c4a6cc35f03e8fa7095001597b2d8327acdbe8b19067fcbfbc14f189b3,development,SINGS,True,https://irsa.ipac.caltech.edu/data/SPITZER/SINGS/galaxies/ngc2403/IRAC/ngc2403_v7.phot.1_wt.fits
4282560,False,,,JY/B*M/S,RA---SIN,DEC--SIN,4282560,"[1024, 1024, 1, 1]",NGC3198,1,moment0,4,True,NGC3198/NGC_3198_NA_MOM0_THINGS.FITS,baryonic_input,6d98f314fa8b03bc2c048c84bdc629eccfa3f97b1f06ca4d52ce05162386448e,development,THINGS,True,https://things.www3.mpia.de/Data_files/NGC_3198_NA_MOM0_THINGS.FITS
4279680,False,,,METR/SEC,RA---SIN,DEC--SIN,4279680,"[1024, 1024, 1, 1]",NGC3198,1,moment1,4,True,NGC3198/NGC_3198_NA_MOM1_THINGS.FITS,withheld_target,a1b048bb7710731dcbe1f0ed4ed2cf6e0430c5f5d070bf267a0ac2d0460256e1,development,THINGS,True,https://things.www3.mpia.de/Data_files/NGC_3198_NA_MOM1_THINGS.FITS
4279680,False,,,METR/SEC,RA---SIN,DEC--SIN,4279680,"[1024, 1024, 1, 1]",NGC3198,1,moment2,4,True,NGC3198/NGC_3198_NA_MOM2_THINGS.FITS,withheld_target,2d1569c45e2fa6b565eed1f88b5bd7580a72b9ecd90b6feb41ed8088f76947f8,development,THINGS,True,https://things.www3.mpia.de/Data_files/NGC_3198_NA_MOM2_THINGS.FITS
8167680,False,,,MJy/sr,RA---TAN,DEC--TAN,8167680,"[1262, 1603]",NGC3198,1,irac1,2,True,NGC3198/ngc3198_v7.phot.1.fits,baryonic_input,0bcd7e0bbd2e77e9948122ccdd27d2e71eb0cc6ce7450800b5b192f1b81372ae,development,SINGS,True,https://irsa.ipac.caltech.edu/data/SPITZER/SINGS/galaxies/ngc3198/IRAC/ngc3198_v7.phot.1.fits
8167680,False,,,MJy/sr,RA---TAN,DEC--TAN,8167680,"[1262, 1603]",NGC3198,1,irac1_weight,2,True,NGC3198/ngc3198_v7.phot.1_wt.fits,baryonic_input,69b7a2f7abad8af4dc19671e6eb8230775d836423f43f76ec4a9b4b4ef9227cd,development,SINGS,True,https://irsa.ipac.caltech.edu/data/SPITZER/SINGS/galaxies/ngc3198/IRAC/ngc3198_v7.phot.1_wt.fits
4248000,False,,,JY/B*M/S,RA---SIN,DEC--SIN,4248000,"[1024, 1024, 1, 1]",NGC5055,1,moment0,4,True,NGC5055/NGC_5055_NA_MOM0_THINGS.FITS,baryonic_input,3580b3caba14dc98e5893c904c77d480769d07500ea4781b8ef29e7505335214,development,THINGS,True,https://things.www3.mpia.de/Data_files/NGC_5055_NA_MOM0_THINGS.FITS
