fold,variant,power_p,transition_potential_chi,void_wall_zeta,heldout_chi2_per_point,heldout_rmse_kms
0,rar_reference,,,,13.6261232054023,17.51094390379406
0,potential_P0,0.42708906077618675,1.5200920259194448e-06,0.0,14.625146820290976,18.597562355128787
0,potential_W1_void_wall,0.40049337135583457,1.1953918057615439e-06,0.3936363832418538,15.77558500658495,18.058591552571194
1,rar_reference,,,,20.068696596533492,25.21126302899929
1,potential_P0,0.4209074465918283,1.3098117467952593e-06,0.0,21.885451910530566,25.244813338836682
1,potential_W1_void_wall,0.3924429074220228,1.2367185910902416e-06,0.49386710777735454,26.575378704817428,30.525169199965354
2,rar_reference,,,,18.470662389416848,22.058967645996372
2,potential_P0,0.4077138252717297,1.3989985996090103e-06,0.0,18.72734904352997,21.638789364093377
2,potential_W1_void_wall,0.4085491480416648,1.4594348626715595e-06,0.07543175755477105,18.74059950605682,21.704754602913425
3,rar_reference,,,,22.100717453221822,20.792704151310055
3,potential_P0,0.4021729621600746,5.6657914872840095e-06,0.0,24.668131196308277,22.87180500493924
3,potential_W1_void_wall,0.38687477333978404,2.3245425691942332e-06,0.8965497418608938,26.29288666890143,23.004728843087744
4,rar_reference,,,,30.307487718567685,27.671906690663572
4,potential_P0,0.43103329533899143,1.5379708392117099e-06,0.0,29.525793357419793,27.467027162470718
4,potential_W1_void_wall,0.4092817177317583,1.262963930624416e-06,0.428536488107757,42.155804927979766,31.760222647489375
