galaxy,fold,void_wall_score,inside_catalog_void
CamB,0,0.0,False
D631-7,1,0.0,False
DDO064,2,0.0,False
DDO154,2,0.06829344359,True
DDO161,3,0.08356412599,True
DDO168,0,0.0679903444,True
DDO170,3,0.0,False
ESO079-G014,0,0.2848560699,True
ESO116-G012,0,0.03882903925,True
ESO563-G021,3,0.05055899281,True
F568-3,1,0.04043317492,True
F568-V1,0,0.1008287148,True
F571-8,0,0.06034103927,True
F574-1,0,0.2835789937,True
F583-1,1,0.1113654253,True
F583-4,2,0.0835950037,True
IC2574,0,0.0540754955,True
IC4202,0,0.09949216139,True
KK98-251,3,0.04516032583,True
NGC0024,4,0.04998138185,True
NGC0055,4,0.06221170914,True
NGC0100,4,0.0,False
NGC0247,1,0.05618612974,True
NGC0289,2,0.1212430582,True
NGC0300,1,0.05935870479,True
NGC0801,4,0.0,False
NGC0891,3,0.0,False
NGC1003,2,0.0,False
NGC1090,1,0.0,False
NGC2403,0,0.0,False
NGC2683,0,0.0,False
NGC2841,1,0.0,False
NGC2903,2,0.0,False
NGC2915,4,0.05741738277,True
NGC2955,3,0.1347195781,True
NGC2976,2,0.05188883463,True
NGC2998,4,0.1534523806,True
NGC3109,3,0.05742908497,True
NGC3198,3,0.0,False
NGC3521,4,0.0,False
NGC3726,4,0.0,False
NGC3741,1,0.06037065182,True
NGC3769,3,0.0,False
NGC3877,2,0.0,False
NGC3893,1,0.0,False
NGC3917,0,0.0,False
NGC3953,0,0.0,False
NGC3972,1,0.0,False
NGC3992,2,0.0,False
NGC4010,3,0.0,False
NGC4013,4,0.0,False
NGC4088,4,0.0,False
NGC4100,3,0.0,False
NGC4157,2,0.0,False
NGC4183,1,0.0,False
NGC4217,0,0.0,False
NGC4559,0,0.0,False
NGC5005,1,0.0,False
NGC5033,2,0.0,False
NGC5055,3,0.0,False
NGC5371,4,0.0,False
NGC5585,3,0.06100521568,True
NGC5907,2,0.04241688641,True
NGC5985,4,0.0,False
NGC6015,3,0.0,False
NGC6195,2,0.0,False
NGC6503,0,0.05529374445,True
NGC6674,4,0.07017471975,True
NGC6946,1,0.05211168838,True
NGC7331,1,0.0,False
NGC7793,2,0.06356647442,True
NGC7814,0,0.0,False
UGC00128,1,0.0979589916,True
UGC00191,0,0.0,False
UGC00731,1,0.0,False
UGC01281,2,0.0,False
UGC02259,3,0.0,False
UGC02487,1,0.1839789692,True
UGC02885,2,0.0603829739,True
UGC02916,4,0.0,False
UGC02953,4,0.0,False
UGC03205,3,0.1663741758,True
UGC03546,3,0.0,False
UGC03580,2,0.0,False
UGC04278,1,0.0,False
UGC04325,0,0.0,False
UGC04483,0,0.0,False
UGC04499,1,0.0,False
UGC05005,4,0.04825308706,True
UGC05253,2,0.0,False
UGC05716,3,0.0,False
UGC05721,4,0.0,False
UGC05750,4,0.1415307632,True
UGC05764,4,0.0,False
UGC05829,3,0.0,False
UGC05918,2,0.0,False
UGC05986,1,0.0,False
UGC06399,0,0.0,False
UGC06446,0,0.0,False
UGC06614,2,0.0568041091,True
UGC06667,1,0.0,False
UGC06786,2,0.0,False
UGC06787,3,0.0,False
UGC06818,4,0.0,False
UGC06917,4,0.0,False
UGC06930,3,0.0,False
UGC06983,2,0.0,False
UGC07089,1,0.0,False
UGC07125,0,0.0,False
UGC07151,0,0.0,False
UGC07323,1,0.0,False
UGC07399,2,0.0,False
UGC07524,0,0.06036638978,True
UGC07577,1,0.06513523343,True
UGC07603,4,0.06307012633,True
UGC08286,3,0.05708353656,True
UGC08490,3,0.06838939672,True
UGC08550,2,0.05855922237,True
UGC08699,3,0.0,False
UGC08837,4,0.05732585329,True
UGC09037,2,0.1700221468,True
UGC09133,4,0.0,False
UGC11455,4,0.0,False
UGC11557,3,0.0,False
UGC11820,4,0.07501818082,True
UGC11914,2,0.0,False
UGC12506,1,0.06816849949,True
UGC12632,1,0.0,False
UGC12732,0,0.0,False
UGCA442,0,0.06608908454,True
UGCA444,3,0.06319587565,True
