galaxy,split,model,prediction_kind,scored_pixels,gas_weighted_rmse_km_s,inverse_variance_weighted_rmse_km_s,gas_weighted_bias_km_s,gas_weighted_uncertainty_rms_km_s,field_error_ratio,standardized_mean_square,error_band,kinematic_twin_source_transport_rmse_km_s,fitted_observation_nuisances,fitted_gravity_parameters
NGC2403,development,newtonian_thin_sheet,registered_baryons_photometric_axis,34727,44.44360079739086,47.43760372152067,-4.397735856544606,10.85212089827732,4.095383862194706,26.0598785196176,miss,4.228775662437142,0,0
NGC2403,development,newtonian_thin_sheet,registered_baryons_kinematic_axis,34727,42.33961783182918,45.22516182662802,-3.8239428035595875,10.85212089827732,3.9015062796204405,23.685751051992007,miss,4.228775662437142,1,0
NGC2403,development,newtonian_thin_sheet,adaptive_twin_kinematic_axis,34727,42.626831678680134,45.32825756360465,-3.867632554303734,10.85212089827732,3.927972428453757,23.79386269390779,miss,4.228775662437142,1,0
NGC2403,development,fixed_simple_mond,registered_baryons_photometric_axis,34727,25.930130645416465,26.603967711617038,-3.1151958815877077,10.85212089827732,2.3894067241300867,8.196335468910958,miss,6.009552432078191,0,0
NGC2403,development,fixed_simple_mond,registered_baryons_kinematic_axis,34727,20.712274442711355,21.13451015935565,-2.06037566666342,10.85212089827732,1.9085923053068132,5.172628332339984,close,6.009552432078191,1,0
NGC2403,development,fixed_simple_mond,adaptive_twin_kinematic_axis,34727,19.9948900863385,20.159529312573532,-2.116200570560407,10.85212089827732,1.8424868533774366,4.706387447812842,close,6.009552432078191,1,0
NGC3198,development,newtonian_thin_sheet,registered_baryons_photometric_axis,13134,49.69538921094442,53.02090422327337,-1.6411685452166287,15.587173431646741,3.188223280434382,15.764557243024667,miss,2.5474767086601564,0,0
NGC3198,development,newtonian_thin_sheet,registered_baryons_kinematic_axis,13134,49.60628329161091,52.97445543534646,-1.670475811780941,15.587173431646741,3.1825066622338944,15.736948365105865,miss,2.5474767086601564,1,0
NGC3198,development,newtonian_thin_sheet,adaptive_twin_kinematic_axis,13134,49.34003600551148,52.544472374568905,-1.76843002744176,15.587173431646741,3.165425484092971,15.482517828187444,miss,2.5474767086601564,1,0
NGC3198,development,fixed_simple_mond,registered_baryons_photometric_axis,13134,10.740433239530761,10.967771167159567,-0.19708940246507403,15.587173431646741,0.6890558629266541,0.6745657383968823,consistent,3.4152507823136995,0,0
