galaxy,split,scored_pixels,image_position_angle_deg,kinematic_phase_offset_deg_in_registered_plane,kinematic_unit_x,kinematic_unit_y,fitted_first_harmonic_amplitude_km_s,first_harmonic_explained_variance_fraction,selected_twin_coefficients_per_component,fitted_observation_nuisances,fitted_gravity_parameters
NGC2403,development,34727,112.38697377523488,11.136007381914267,0.9811714802979421,0.1931386192607397,110.99312481139162,0.9852385361501391,256,1,0
NGC3198,development,13134,34.39948613321605,0.7744177558405088,-0.999908658375397,-0.013515728094103648,145.2050940553102,0.9936734497166645,256,1,0
NGC5055,development,23153,100.60532313717738,1.3132188938982396,0.9997373484474726,-0.022917986805498464,159.46347359604084,0.9669672366584063,256,1,0
NGC7793,development,5168,154.93832278328426,37.19252633954372,-0.7966087751454015,0.604495210370887,71.75360710189476,0.9536375686872758,256,1,0
NGC3521,validation,7962,161.8262045869058,0.21330703245121974,-0.9999930699784438,0.0037229014339723154,198.38560114508846,0.97123479524174,256,1,0
NGC6946,validation,23067,123.63968594598566,60.03351651347665,-0.4994933125567646,0.8663177423503863,92.47461319690592,0.9250960768689571,768,1,0
