fold,variant,environment_beta,power_p,transition_width_dex,transition_potential_chi,environment_shift_zeta,boundary_kappa,heldout_chi2_per_point,heldout_rmse_kms
0,newtonian_reference,,,,,,,171.4574422939814,49.954658759009654
0,rar_reference,,,,,,,18.656039673315444,19.817016421342352
0,void_no_environment,0.0,0.37257045934883853,0.07230758609878184,,,,13.607298811942252,17.323734098686437
0,void_env_grouped_64,0.09394962609623445,0.3813091992824859,0.07250776215668356,,,,16.5681602062776,19.55552547407033
0,void_env_ungrouped_64,0.0891508079526088,0.3782006175738205,0.0702765654506141,,,,16.48402345811791,19.826350426746156
0,void_env_ungrouped_128,-0.004849700398053106,0.37364824591300144,0.07405937914655447,,,,13.551982873516044,17.271423975135985
0,potential_P0,,0.41203763240949165,0.03047296856695816,1.4288230878853965e-06,0.0,0.0,18.708416724451403,20.4923611539139
0,potential_P1_environment,,0.41837563301030994,0.03039948259295134,1.4881545797090764e-06,-0.05096311321402486,0.0,18.670156842403724,20.367496702801812
0,potential_B1_boundary,,0.4155261270141409,0.03154500771931824,1.278162113751393e-06,0.0,0.15733441104053134,19.271457409214474,20.70722186051765
1,newtonian_reference,,,,,,,317.8249802386692,68.34202866555819
1,rar_reference,,,,,,,30.66335812445917,27.18366498354907
1,void_no_environment,0.0,0.38515997999673973,0.06866615775118065,,,,47.50531077363789,30.9774526789101
1,void_env_grouped_64,0.11044879865042184,0.3706125512508861,0.06831914367190021,,,,48.25878943045759,30.613513851974616
1,void_env_ungrouped_64,0.18203845341869013,0.37835195476827743,0.07166831062921777,,,,47.13090571083473,30.04110034286972
1,void_env_ungrouped_128,0.07633784320039975,0.383112935694221,0.0743561984266618,,,,46.26773052918722,30.453103919089756
1,potential_P0,,0.4220032130974132,0.030437633758734112,1.557241480763625e-06,0.0,0.0,32.34240306672625,28.041518319388185
1,potential_P1_environment,,0.41734296265318754,0.24868275050421934,4.1620733478909875e-06,0.6720032946636332,0.0,33.72645896010959,28.274887150833408
1,potential_B1_boundary,,0.42458883346397697,0.03140302682290678,1.2092193038604466e-06,0.0,0.5460607252379696,31.92873587395595,28.316632575862812
2,newtonian_reference,,,,,,,221.86640156670134,73.0021557188628
2,rar_reference,,,,,,,27.568517504092913,28.135787825818994
2,void_no_environment,0.0,0.40046245097005195,0.058735558524027766,,,,31.664996637042815,31.423465999802286
2,void_env_grouped_64,0.10024587947042729,0.4032757314984083,0.06092461178518749,,,,33.99939028918717,31.992899383773672
2,void_env_ungrouped_64,0.1398881065336609,0.4109160141108134,0.06259155473827195,,,,37.99972997500717,34.31403236888076
2,void_env_ungrouped_128,-0.060522295198258774,0.4052498544964986,0.05813643765428135,,,,28.318285484300343,30.09857612639054
2,potential_P0,,0.41802049345517306,0.08039159126358394,6.061329101242013e-06,0.0,0.0,29.7985007646712,28.559137511084874
2,potential_P1_environment,,0.40400724951538725,0.04383380828608845,2.3419743756464967e-06,0.46508012902623896,0.0,32.4098819240268,31.67276157481048
2,potential_B1_boundary,,0.4234160396166009,0.20457847124077397,2.5117065386253477e-06,0.0,-1.6442046948308957,33.55916737224725,31.592216135421772
3,newtonian_reference,,,,,,,172.55707045550025,51.24857744057657
3,rar_reference,,,,,,,12.987037724806624,17.680563780446676
3,void_no_environment,0.0,0.3894562398837715,0.06300616623771174,,,,21.255236946395666,20.267233998937677
3,void_env_grouped_64,0.12191176454719398,0.3903380695332694,0.06314269418293054,,,,21.782631956472347,20.364909222161817
3,void_env_ungrouped_64,0.14626093465650772,0.39205849583464286,0.06306887321719734,,,,21.410167761204725,20.221625716912005
3,void_env_ungrouped_128,-0.09892314815264708,0.4056543357607074,0.062399707875782945,,,,21.728500676839253,21.321002251250164
3,potential_P0,,0.4120679206462907,0.030293265919507106,1.3086469503492714e-06,0.0,0.0,14.897799825013868,18.42733125283596
3,potential_P1_environment,,0.4079308658068812,0.030424901399242008,1.370316525450741e-06,0.11744215907127065,0.0,15.5281236089991,18.630978531072593
3,potential_B1_boundary,,0.4119163256212591,0.03244317054767934,1.1732953560298803e-06,0.0,0.18236042796320268,14.616316052777023,18.453811819180537
4,newtonian_reference,,,,,,,99.89539185028947,50.043880074095014
4,rar_reference,,,,,,,11.473377727314313,16.747116485276873
4,void_no_environment,0.0,0.3904753250911758,0.06594056733383226,,,,14.804949952365874,20.48553264161136
4,void_env_grouped_64,0.10394081299424734,0.3969659152844557,0.0653672972545048,,,,12.897081440898924,19.41939467250761
4,void_env_ungrouped_64,0.14241956202152303,0.39913421235027463,0.06606378151108658,,,,13.257411738074948,20.284739604744022
4,void_env_ungrouped_128,-0.05248534065820644,0.3932849317253548,0.0633597566283787,,,,15.511905501154608,20.647481257983713
4,potential_P0,,0.4262764687745443,0.030374568130028656,1.515143509373121e-06,0.0,0.0,8.790233987803292,14.590739212284836
4,potential_P1_environment,,0.4416162134179151,0.0303240095197282,1.487083021400623e-06,-0.06593742444556663,0.0,9.826956250470477,15.893732409079893
4,potential_B1_boundary,,0.42120272438755374,0.0321269408942764,1.2223407421196471e-06,0.0,0.1746966068774103,9.335745956467452,15.315865254177645
