cluster,partition,family_id,source_redshift,model,observed_images,global_roots,magnification_threshold_from_glafic,retained_roots,matched_images,image_RMS_arcsec,topology_retained_matched_images,topology_correct,source_east_arcsec,source_north_arcsec
PLCKG287,fit,1,3.76825,baryon_only_GR,2,1,159.0738187405325,0,1,inf,0,False,-23.339168238550943,-4.958080031677684
PLCKG287,fit,1,3.76825,AQUAL_simple_mu_diagnostic,2,1,159.0738187405325,0,1,inf,0,False,-20.008769429933885,-5.120757456328474
PLCKG287,fit,1,3.76825,QUMOND_simple_nu_diagnostic,2,1,159.0738187405325,0,1,inf,0,False,-20.03187906101119,-5.13533953505978
PLCKG287,fit,1,3.76825,glafic_v2_compact_halo,2,8,159.0738187405325,4,2,0.07707693273172621,2,False,-8.64259337746727,3.3657778753861187
PLCKG287,fit,2,1.7212,P0707_Weyl_frozen_axis_contract,9,1,0.0,1,1,inf,1,False,27.16068621479499,-34.7530302209902
PLCKG287,fit,2,1.7212,P0707_Weyl_axis_repaired_exploratory,9,1,0.0,1,1,inf,1,False,28.222743063984986,-37.84661001563679
PLCKG287,fit,2,1.7212,baryon_only_GR,9,1,0.0,1,1,inf,1,False,34.51113778879305,-52.290467138940784
PLCKG287,fit,2,1.7212,AQUAL_simple_mu_diagnostic,9,1,0.0,1,1,inf,1,False,32.35842914604479,-48.7432731290338
PLCKG287,fit,2,1.7212,QUMOND_simple_nu_diagnostic,9,1,0.0,1,1,inf,1,False,32.34891959044697,-48.71994228422787
PLCKG287,fit,2,1.7212,glafic_v2_compact_halo,9,1,0.0,1,1,inf,1,False,-0.27364378703375064,-22.746098677658
PLCKG287,holdout,36,5.39085,P0707_Weyl_frozen_axis_contract,2,1,9.964543238348005,0,1,inf,0,False,19.58710614445718,-16.47946280980954
PLCKG287,holdout,36,5.39085,P0707_Weyl_axis_repaired_exploratory,2,1,9.964543238348005,0,1,inf,0,False,17.201818217553544,-12.463002756508013
PLCKG287,holdout,36,5.39085,baryon_only_GR,2,1,9.964543238348005,0,1,inf,0,False,28.744710650722617,-19.68263078065141
PLCKG287,holdout,36,5.39085,AQUAL_simple_mu_diagnostic,2,1,9.964543238348005,0,1,inf,0,False,25.93132115671664,-18.44565043520481
PLCKG287,holdout,36,5.39085,QUMOND_simple_nu_diagnostic,2,1,9.964543238348005,0,1,inf,0,False,25.948390823760185,-18.50304848771771
PLCKG287,holdout,36,5.39085,glafic_v2_compact_halo,2,3,9.964543238348005,2,2,3.343256716876494,2,True,-15.230113316044255,-12.214525323088818
PLCKG287,fit,37,5.1838999999999995,P0707_Weyl_frozen_axis_contract,2,1,5.633978686611546,0,1,inf,0,False,-15.777811181675586,5.408809417798816
PLCKG287,fit,37,5.1838999999999995,P0707_Weyl_axis_repaired_exploratory,2,1,5.633978686611546,1,1,inf,1,False,-19.345600979052584,10.616219407716091
PLCKG287,fit,37,5.1838999999999995,baryon_only_GR,2,1,5.633978686611546,0,1,inf,0,False,-27.21446908115274,9.112431307838207
PLCKG287,fit,37,5.1838999999999995,AQUAL_simple_mu_diagnostic,2,1,5.633978686611546,0,1,inf,0,False,-23.785424069589645,7.6575265203761615
