stage,closure,lambda,pooled_CV_RMS_arcsec,CV_roots,CV_images,all_CV_roots,order
stage2,multipole_m3,-12.5,2.599360329775749,15,15,True,3
stage2,multipole_m4,2.0,2.695273811460096,15,15,True,4
