stage,closure,lambda,pooled_CV_RMS_arcsec,CV_roots,CV_images,all_CV_roots,order
stage1,multipole_m3,-12.5,2.0242701906631515,15,15,True,3
stage1,multipole_m3,-8.0,2.4139794016954688,15,15,True,3
stage1,multipole_m3,-5.0,2.6558588421065723,15,15,True,3
stage1,multipole_m3,-2.0,2.8356967316079826,15,15,True,3
stage1,multipole_m3,-0.5,2.738329517543527,15,15,True,3
stage1,multipole_m3,0.5,inf,14,15,False,3
stage1,multipole_m3,2.0,inf,14,15,False,3
stage1,multipole_m3,5.0,inf,14,15,False,3
stage1,multipole_m3,8.0,inf,13,15,False,3
stage1,multipole_m3,12.5,inf,13,15,False,3
stage1,multipole_m4,-12.5,3.135203006776883,15,15,True,4
stage1,multipole_m4,-8.0,3.059783112602934,15,15,True,4
stage1,multipole_m4,-5.0,2.8569681182055877,15,15,True,4
stage1,multipole_m4,-2.0,inf,14,15,False,4
stage1,multipole_m4,-0.5,2.67978081515023,15,15,True,4
stage1,multipole_m4,0.5,2.7424522947946115,15,15,True,4
stage1,multipole_m4,2.0,2.672988196350912,15,15,True,4
stage1,multipole_m4,5.0,inf,14,15,False,4
stage1,multipole_m4,8.0,inf,14,15,False,4
stage1,multipole_m4,12.5,inf,14,15,False,4
