parameter,best_level,worst_level,median_cluster_RMSE_span_dex,best_median_cluster_RMSE_dex,worst_median_cluster_RMSE_dex
carrier,potential_shape,potential_inverse_shape,0.16069610339827675,0.22838110776811024,0.389077211166387
amplitude_A,4.0,1.0,0.13538025128788095,0.21988653501612887,0.3552667863040098
potential_threshold_chi,1e-06,5e-07,0.09379612189139128,0.23889808887962552,0.3326942107710168
potential_power,4.0,1.0,0.09072277259471051,0.26601546463498293,0.35673823722969344
spatial_mode,local,shape_diffusion,0.023516503449750203,0.2616592243995339,0.2851757278492841
