candidate_id,spatial_mode,carrier,amplitude_A,potential_threshold_chi,potential_power,galaxy_equal_RMSE_km_s,galaxy_pooled_RMSE_km_s,cluster_equal_RMSE_dex,cluster_pooled_RMSE_dex,cluster_mean_residual_dex,cluster_median_observed_over_predicted
local__potential__A1__ct5e-07__p1,local,potential,1.0,5e-07,1.0,20.590981491544834,21.81303413652119,0.24853381433097999,0.24592642628107425,-0.2133382135115812,1.6614512548759484
local__potential__A1__ct5e-07__p2,local,potential,1.0,5e-07,2.0,16.527004472771786,17.3379706767906,0.2324749300711495,0.23071982825267534,-0.1961895722089037,1.5944142776152295
local__potential__A1__ct5e-07__p4,local,potential,1.0,5e-07,4.0,13.735209112985284,14.17812604032079,0.22971602821612186,0.22828519491488236,-0.19351458363968158,1.5899243714776468
local__potential__A1__ct1e-06__p1,local,potential,1.0,1e-06,1.0,15.854078136535804,16.363374899031072,0.2647724892481304,0.26129498735605367,-0.23018287719656721,1.740192035221102
local__potential__A1__ct1e-06__p2,local,potential,1.0,1e-06,2.0,11.931760109091265,11.820584205221012,0.24052771097013845,0.23785095759855562,-0.20382850882540987,1.6192912043039742
local__potential__A1__ct1e-06__p4,local,potential,1.0,1e-06,4.0,10.79973959018461,10.45442366923139,0.23113305456837036,0.22946253803265051,-0.19471329723587105,1.5903887899893614
local__potential__A1__ct2e-06__p1,local,potential,1.0,2e-06,1.0,13.042794611420279,13.061049295876643,0.291174366291693,0.286577711179683,-0.25747440801180294,1.8479312255854783
local__potential__A1__ct2e-06__p2,local,potential,1.0,2e-06,2.0,10.923460918035374,10.588302668752185,0.2664879092370338,0.261249827498686,-0.2279847736084214,1.7197658290001132
local__potential__A1__ct2e-06__p4,local,potential,1.0,2e-06,4.0,10.719821279897292,10.35264082704228,0.2489192941417311,0.24435459430272824,-0.20869217180865623,1.6578984579285856
local__potential__A1__ct4e-06__p1,local,potential,1.0,4e-06,1.0,11.700738213778179,11.472737290757758,0.3284725925033669,0.3228906410835928,-0.29633237595520756,1.9904554304754611
local__potential__A1__ct4e-06__p2,local,potential,1.0,4e-06,2.0,10.758551078305691,10.395389005099958,0.32362935569112233,0.31493597754477065,-0.28309503008213016,1.9259215819839883
local__potential__A1__ct4e-06__p4,local,potential,1.0,4e-06,4.0,10.716640483143166,10.348715866302705,0.3247099303402591,0.3125485500190513,-0.2725960542826496,1.879521886854719
local__potential__A2__ct5e-07__p1,local,potential,2.0,5e-07,1.0,33.142538317769436,36.08711866648875,0.13302030658585012,0.13073312696152503,-0.04443354559450009,1.1301079536180025
