system_label,variant_id,source_family,image_id,observed_x_arcsec,observed_y_arcsec,assigned,assigned_root_index,assigned_root_x_arcsec,assigned_root_y_arcsec,assigned_distance_arcsec,assigned_signed_magnification
RXJ2129,mass_planarity_endpoint_projected_routing_P0704,1,1a,-5.748113029341908,4.227443603999998,True,2.0,-5.483402344704458,3.172100885072186,1.0880349263489537,9.983460460808125
RXJ2129,mass_planarity_endpoint_projected_routing_P0704,1,1b,-4.783674198960802,-0.969769187999997,True,0.0,-4.077108298304187,-0.9458010346607462,0.7069723080469191,-8.518213646866444
RXJ2129,mass_planarity_endpoint_projected_routing_P0704,1,1c,0.456839445991538,-8.935221672000038,True,1.0,1.1440157662135308,-7.9051166962463935,1.238276041981858,3.6749526999773736
RXJ2129,mass_planarity_endpoint_projected_routing_P0704,2,2a,-6.776271782658472,11.277998675999983,True,2.0,-6.734679027764156,11.17167166105033,0.11417263843759691,2.981289012829905
RXJ2129,mass_planarity_endpoint_projected_routing_P0704,2,2b,-0.7772390574582798,-4.156659036000021,True,1.0,-0.6965308251327315,-4.148983703604093,0.08107237194323771,-7.311965188720196
RXJ2129,mass_planarity_endpoint_projected_routing_P0704,2,2c,0.24443970348725166,-5.292556488000027,True,0.0,1.1592153397962035,-6.252294448727486,1.3258625185311443,8.127555364208233
RXJ2129,mass_planarity_endpoint_projected_routing_P0704,3,3a,-2.0174375536347493,8.154932903999962,True,0.0,-2.263574512116098,8.233526634708433,0.2583802949861404,10.379162210447394
RXJ2129,mass_planarity_endpoint_projected_routing_P0704,3,3b,2.98907637506174,5.134105511999998,False,,,,,
RXJ2129,mass_planarity_endpoint_projected_routing_P0704,3,3c,1.5634781039797112,3.965703875999982,True,1.0,1.6481427982978074,4.345495996532512,0.3891145914542048,-10.516641518067095
RXJ2129,mass_planarity_endpoint_projected_routing_P0704,3,3d,7.381071049134713,-15.531179832000019,True,2.0,8.179726589274553,-14.211630282953747,1.542420722171574,2.3043507509400074
RXJ2129,mass_planarity_endpoint_projected_routing_P0704,4,4a,-3.4189158540684597,10.495438775999993,True,1.0,-3.4196395577864482,10.740024523713583,0.24458681839315688,4.759163368286163
RXJ2129,mass_planarity_endpoint_projected_routing_P0704,4,4b,3.486595771864287,3.41780230799999,True,0.0,3.1934718196157776,3.6947752639646496,0.40328112988036985,-4.417281204456764
RXJ2129,mass_planarity_endpoint_projected_routing_P0704,4,4c,6.864471675477358,-13.912761239999998,True,2.0,7.644527769183955,-12.664135784318647,1.4722611989400036,2.6515191107180005
RXJ2129,mass_planarity_endpoint_projected_routing_P0704,5,5a,5.239793645663579,14.528709863999984,True,0.0,5.22932860095002,14.355327223748134,0.17369817817570568,5.82648836769424
RXJ2129,mass_planarity_endpoint_projected_routing_P0704,5,5b,13.2029839889991,1.9107456839999704,True,1.0,12.895669142685337,2.3386150042717566,0.5267965166880771,-89.83242847887357
RXJ2129,mass_planarity_endpoint_projected_routing_P0704,5,5c,13.970143058665721,-3.314626776000029,True,2.0,13.063146236404137,1.8552782580771534,5.248862857512016,90.156134917115
RXJ2129,mass_planarity_endpoint_projected_routing_P0704,6,6a,-9.90574798751465,17.874595907999986,True,2.0,-9.691781774411362,18.367104200705732,0.5369785458784091,1.9420099277936707
RXJ2129,mass_planarity_endpoint_projected_routing_P0704,6,6b,0.8049590237318596,-5.299632900000001,True,0.0,0.5057622417840696,-5.522510880939536,0.373086194753434,-11.376640573706533
RXJ2129,mass_planarity_endpoint_projected_routing_P0704,6,6c,1.7125179231929197,-6.634811124000012,True,1.0,1.913883631290251,-6.887728306377702,0.3232881834206275,14.589420209389651
RXJ2129,mass_planarity_endpoint_projected_routing_P0704,7,7a,-10.01842785083087,10.257536087999991,True,1.0,-10.32523903943846,10.147067000290109,0.32609281622607944,3.7346291472358657
RXJ2129,mass_planarity_endpoint_projected_routing_P0704,7,7b,-7.485830922116288,-2.1700512000000174,True,0.0,-7.099124886379543,-1.9986678768814665,0.4229820345101983,-3.1471146392055633
RXJ2129,mass_planarity_endpoint_projected_routing_P0704,7,7c,3.7040355081620837,-19.321482528000033,True,2.0,3.7987606578090687,-16.39451607624173,2.9284988413339414,2.4442874096840135
