system,filename,exposure_s,covered_grid_fraction,sampled_counts
AS295,acisf12260N002_cntr_img2.fits.gz,19794.940681493,0.41246115407495537,5606.731057315241
AS295,acisf16127N002_cntr_img2.fits.gz,43321.334262554,0.3671205234979179,8886.092655309918
AS295,acisf16282N003_cntr_img2.fits.gz,9025.5139119635,0.41225556216537773,2230.9509119853587
AS295,acisf16524N003_cntr_img2.fits.gz,44601.214979961,0.41272766210588935,10174.27158531574
AS295,acisf16525N003_cntr_img2.fits.gz,44478.915921634,0.4123583581201666,10250.947612312804
AS295,acisf16526N002_cntr_img2.fits.gz,44478.956356652,0.3449042236763831,8014.019144079639
MACS0025,acisf03251N004_cntr_img2.fits.gz,19326.756641816,0.9055571683521714,5336.787539217801
MACS0025,acisf05010N009_cntr_img2.fits.gz,24827.249671577,0.8863447947650208,6936.611272349346
MACS0025,acisf10413N004_cntr_img2.fits.gz,75639.253956528,0.9011102914931588,26295.996405580183
MACS0025,acisf10786N004_cntr_img2.fits.gz,13908.469913148,0.9011102914931588,4894.380799852054
MACS0025,acisf10797N003_cntr_img2.fits.gz,23851.792242848,0.9011102914931588,8349.29106618397
MACS0159,acisf03265N004_cntr_img2.fits.gz,17901.031466117,0.6089641879833433,7695.848380828567
MACS0159,acisf06106N004_cntr_img2.fits.gz,35303.046499771,0.6091612135633552,15154.50806978591
MACS0159,acisf09376N003_cntr_img2.fits.gz,19507.187120532,0.6076392623438429,8684.58008021858
PLCKG287,acisf17165N002_cntr_img2.fits.gz,55346.206126457,0.5813130279595479,22202.63910671785
PLCKG287,acisf17166N002_cntr_img2.fits.gz,20842.799283933,0.5805696609161214,8391.861229310669
PLCKG287,acisf17494N002_cntr_img2.fits.gz,59286.837275424,0.5813130279595479,23098.84080722885
PLCKG287,acisf17495N002_cntr_img2.fits.gz,32228.611845131,0.580725758477097,12831.356678062244
PLCKG287,acisf18807N002_cntr_img2.fits.gz,28698.07474392,0.5807105294467578,11273.51995990296
