extra_amp,F_max,n_galaxies,n_improved,n_worsened,frac_improved,mean_delta_rms,median_delta_rms,mean_K_total,mean_F_missing
0.0,3.0,165,123,42,0.7454545454545455,-1.0513836777292673,-2.7544882776842208,0.1942931461630157,3.0
0.0,4.0,165,123,42,0.7454545454545455,-1.0513836777292673,-2.7544882776842208,0.1942931461630157,4.0
0.0,5.0,165,123,42,0.7454545454545455,-1.0513836777292673,-2.7544882776842208,0.1942931461630157,4.997919487726748
0.0,6.0,165,123,42,0.7454545454545455,-1.0513836777292673,-2.7544882776842208,0.1942931461630157,5.960755514748072
0.0,7.0,165,123,42,0.7454545454545455,-1.0513836777292673,-2.7544882776842208,0.1942931461630157,6.820810789582312
0.25,3.0,165,121,44,0.7333333333333333,-0.5308477070167813,-3.6304965464569534,0.2914397192445236,3.0
0.25,4.0,165,118,47,0.7151515151515152,-0.05605496771667566,-4.101778589185418,0.34001300578527754,4.0
0.25,5.0,165,115,50,0.696969696969697,0.5335053813979691,-4.428938307468329,0.38843094668024286,4.997919487726748
0.25,6.0,165,115,50,0.696969696969697,1.1947906140358073,-4.473034485149956,0.43415620030916013,5.960755514748072
0.25,7.0,165,114,51,0.6909090909090909,1.629889771450351,-4.921516357537932,0.4728088913152378,6.820810789582312
0.5,3.0,165,115,50,0.696969696969697,0.5401158585499298,-4.428938307468329,0.3885862923260314,3.0
0.5,4.0,165,113,52,0.6848484848484848,2.0370916302593893,-4.921516357537932,0.48573286540753935,4.0
0.5,5.0,165,107,58,0.6484848484848484,3.8442787957400206,-5.143210336946169,0.5825687471974699,4.997919487726748
0.5,6.0,165,105,60,0.6363636363636364,5.668644149668026,-5.15332927120803,0.6740192544553043,5.960755514748072
0.5,7.0,165,105,60,0.6363636363636364,6.864927208206576,-5.569139793619765,0.75132463646746,6.820810789582312
0.75,3.0,165,113,52,0.6848484848484848,2.0370916302593893,-4.921516357537932,0.48573286540753935,3.0
0.75,4.0,165,106,59,0.6424242424242425,4.8710276479550325,-5.073414404668586,0.6314527250298012,4.0
0.75,5.0,165,103,62,0.6242424242424243,8.13613158339937,-4.962406348593824,0.7767065477146969,4.997919487726748
0.75,6.0,165,100,65,0.6060606060606061,11.228638041776305,-4.957821274231771,0.9138823086014488,5.960755514748072
0.75,7.0,165,98,67,0.593939393939394,13.263333042815248,-4.698281508778642,1.0298403816196817,6.820810789582312
1.0,3.0,165,107,58,0.6484848484848484,3.8622016432726474,-5.143210336946169,0.5828794384890472,3.0
1.0,4.0,165,103,62,0.6242424242424243,8.166064966313373,-4.962406348593824,0.7771725846520628,4.0
1.0,5.0,165,99,66,0.6,12.905085563296204,-5.044206843421737,0.970844348231924,4.997919487726748
1.0,6.0,165,94,71,0.5696969696969697,17.249019749948324,-5.061451068294992,1.1537453627475933,5.960755514748072
1.0,7.0,165,90,75,0.5454545454545454,20.137642140193908,-5.529868619655577,1.308356126771904,6.820810789582312
1.25,3.0,165,105,60,0.6363636363636364,5.93036343345194,-4.944753411750931,0.6800260115705551,3.0
1.25,4.0,165,100,65,0.6060606060606061,11.723004048713282,-4.957821274231771,0.9228924442743247,4.0
1.25,5.0,165,93,72,0.5636363636363636,17.883254664072485,-4.853646276425909,1.1649821487491507,4.997919487726748
1.25,6.0,165,89,76,0.5393939393939394,23.422048516425654,-3.7096722405475067,1.3936084168937375,5.960755514748072
1.25,7.0,165,86,79,0.5212121212121212,27.17663799260434,-4.049380900736729,1.586871871924126,6.820810789582312
1.5,3.0,165,103,62,0.6242424242424243,8.166064966313373,-4.962406348593824,0.7771725846520628,3.0
1.5,4.0,165,97,68,0.5878787878787879,15.424711584178164,-4.698281508778642,1.0686123038965867,4.0
1.5,5.0,165,87,78,0.5272727272727272,22.93651707708191,-3.60119454773589,1.3591199492663781,4.997919487726748
1.5,6.0,165,84,81,0.509090909090909,29.644059754398658,-4.0452174462400095,1.6334714710398819,5.960755514748072
1.5,7.0,165,82,83,0.49696969696969695,34.28142658857565,1.2573778908030349,1.865387617076348,6.820810789582312
