galaxy,sigma_v_kms,n_points,rms_gr,rms_coherence,delta_rms,K_mean,K_max,ell_coh_mean_kpc,tau_coh_mean_yr
CamB,1.635,9,4.616823441597752,4.73516603935867,0.11834259776091738,0.022821350832255612,0.022821355027222733,4.898963795699776,431890.60573171714
D512-2,25.0,4,12.493950382400962,5.014107712038978,-7.479842670361984,0.8926948666817495,0.8926948677259438,0.21275071423421518,18756.014265940423
D564-8,3.1275,6,10.049576841590154,9.65005184394504,-0.3995249976451145,0.08656340942064004,0.08656341731606448,3.586533298554295,316187.28028757096
D631-7,8.355,16,24.5852323730351,21.474984040033835,-3.110248333001266,0.3901946707816999,0.39019468321669254,1.7536901420614648,154604.59176805947
DDO064,6.7875,14,14.591505838594633,11.651460133039379,-2.9400457055552547,0.3042006568615467,0.3042006640737742,0.8777362788390745,77380.86439284697
DDO154,6.757499999999999,12,22.680803776816237,20.36540048312246,-2.3154032936937767,0.30246576809241865,0.30246578051423884,2.0259223588898423,178604.4705034159
DDO161,9.967499999999998,31,21.31489016029167,15.763410264683507,-5.551479895608164,0.46868974665739155,0.46868976741871327,2.2515955655601716,198499.7263148227
DDO168,7.199999999999999,10,18.767038568918075,15.273390956000936,-3.4936476129171385,0.32773325725773733,0.32773326526079805,1.3010187868215044,114697.27381980394
DDO170,8.565,8,24.535484730575124,19.324175846055674,-5.21130888451945,0.40098840588950996,0.40098842463872236,3.1413274616366333,276938.1193220531
ESO079-G014,23.775,15,28.886704382352235,17.864751460622085,-11.02195292173015,0.870354706327052,0.8703547138501341,0.6864406573914983,60516.322161826545
ESO116-G012,16.275,15,34.256228959673145,20.23953948110767,-14.016689478565475,0.6969436405090336,0.6969436480078824,0.7986511914815371,70408.75606390313
ESO444-G084,7.919999999999999,7,31.693305766747677,28.592169376119827,-3.1011363906278504,0.36728189801308186,0.3672819074051181,1.0152308453272225,89502.32804961273
ESO563-G021,46.875,30,62.93505741241875,75.57760568218693,12.642548269768177,1.1557114359910938,1.1557114418885435,0.6565112473151646,57877.7578477961
F561-1,7.1025,6,4.42316040510831,9.881814501007838,5.458654095899528,0.32222646757448964,0.3222264851503254,3.3060767894481464,291462.3513739138
F563-1,15.9375,17,57.23862337544333,46.82369493721247,-10.41492843823086,0.6871666533600732,0.6871666696563974,1.6221639731834105,143009.29955622938
F563-V1,4.1925,6,1.9045179143635556,2.9002715749742793,0.9957536606107238,0.1474115943871307,0.14741161421093812,5.928812179224059,522681.6098543754
F563-V2,15.435,10,51.070448240065694,38.60944441058858,-12.461003829477114,0.6721972138545584,0.672197222694521,0.8959447720255105,78986.11756059944
F565-V2,10.275,7,37.81055917316258,32.16767334121781,-5.642885831944774,0.48254988185079595,0.482549892623695,1.6940165176867286,149343.78992256828
F567-2,25.0,5,11.042301659590876,4.671773924589735,-6.370527735001141,0.8926948691269498,0.8926948719245884,0.5104242317909823,44998.78746641454
F568-1,18.075,12,59.47223904806734,44.255505141974766,-15.216733906092571,0.7456609123289794,0.7456609215027403,0.8398535303270854,74041.13707826938
F568-3,14.4525,18,33.872109024328516,21.071677007094927,-12.80043201723359,0.6414042346334093,0.6414042544952163,1.344790436464784,118556.16420288997
F568-V1,16.8,15,55.10144891123267,41.682727077636684,-13.418721833595988,0.7117308733814973,0.7117308890614542,1.0227903311911322,90168.76917164147
F571-8,17.099999999999998,13,47.869589054996254,52.753800504917415,4.88421144992116,0.7199597013895095,0.7199597149846166,0.8615551924753228,75954.34656530712
F571-V1,11.55,7,33.703220222549966,24.84469603796602,-8.858524184583946,0.5365365248049833,0.536536538979059,2.1964944152664363,193642.0318779369
F574-1,14.325,14,36.44732159054748,23.287960178319175,-13.159361412228307,0.6372513564481279,0.6372513671648626,1.3450209028539266,118576.48202366974
F574-2,25.0,5,7.294377305917471,20.462578969712496,13.168201663795024,0.892694869666359,0.8926948728284632,0.5760907693644465,50787.92204091427
F579-V1,16.65,14,38.60867712662157,20.081557400775967,-18.527119725845605,0.707556983078267,0.7075569953419706,1.054827850036779,92993.18347585274
F583-1,11.2875,25,32.7530184892085,26.800539775368897,-5.952478713839604,0.5258615022231957,0.5258615312233784,1.3845776244498378,122063.78610740582
F583-4,9.12,12,19.018287399996733,12.350990787571295,-6.667296612425439,0.4286810118485615,0.42868102265130303,1.627760988881647,143502.73012665397
IC2574,9.36,34,18.897457874966218,13.578548579298745,-5.318909295667472,0.44028626709523505,0.4402862821866715,2.1476529246733596,189336.1864304568
IC4202,36.6,32,35.22311818624543,95.66645715968514,60.44333897343971,1.0559781359237328,1.0559781409506168,0.6415855239610502,56561.912299794494
KK98-251,4.32,15,7.801556034620339,6.627126504837073,-1.174429529783266,0.15510404012457538,0.15510405001076003,1.8283464504715647,161186.26079146288
NGC0024,15.975,29,32.600734022504845,18.05882678068687,-14.541907241817974,0.6882637582980912,0.6882637714150612,0.44281780537500604,39038.63310034579
NGC0055,12.8625,21,22.25378039182271,10.652729620566715,-11.601050771255993,0.5867799487228615,0.586779961532224,1.771124893376927,156141.6321750587
NGC0100,12.802499999999998,21,26.631135883562084,17.858575587348902,-8.772560296213182,0.5845909208569434,0.5845909307015978,1.1956327720464686,105406.48669522988
NGC0247,15.75,26,32.17495623382241,16.14068010162638,-16.034276132196027,0.6816398703288796,0.6816398806841139,1.38514703479427,122113.98508596995
NGC0289,25.5,28,55.649949442799354,63.61984841887913,7.969898976079776,0.901451127184159,0.9014511549544698,2.734775236802812,241096.6446822155
NGC0300,13.9725,25,36.12032545823501,24.453939618991686,-11.666385839243322,0.6255720172070783,0.6255720272655805,1.3492851982958987,118952.42053194552
NGC0801,33.15,13,37.740963726026024,117.99854861716359,80.25758489113757,1.0146685909583204,1.0146686078976899,1.3084188524859028,115349.66052350991
NGC0891,32.85,18,69.84503892878418,176.07176703910633,106.22672811032216,1.0108357158342296,1.0108357194592095,0.5448573730555061,48034.39884428077
NGC1003,16.65,36,48.153251971836,36.49311097983485,-11.660140992001146,0.7075569961729318,0.7075570166008008,2.571380041619242,226691.7923982634
NGC1090,24.6,24,25.712295442140153,48.13287719577542,22.42058175363527,0.885542143516106,0.8855421546656962,1.3817062078469604,121810.64321685956
NGC1705,10.725,14,38.06804446988434,31.51656155964871,-6.551482910235631,0.502229750796283,0.5022297585928841,0.9823959956330871,86607.62139022526
NGC2366,7.619999999999999,26,16.360956127974482,12.34211122821717,-4.018844899757312,0.3510463080947626,0.35104632020186904,1.629680529487398,143671.9560261538
NGC2403,20.175,73,37.895599436401874,33.19405565116815,-4.701543785233724,0.7961823319694168,0.7961823463426515,0.8579474732623754,75636.29154363957
NGC2683,25.575,11,33.117970053884335,62.385882856012586,29.26791280212825,0.9027473173181909,0.9027473289139487,1.5522286682727005,136843.83223303102
NGC2841,42.675,50,87.87483219228517,81.56932299654538,-6.305509195739788,1.1184678967821031,1.118467908720097,0.9255140727685732,81592.93478594707
NGC2903,27.525,34,61.46052574802574,123.53238964194635,62.071863893920614,0.9349713290851734,0.9349713381484938,0.7959573558294135,70171.26863593755
NGC2915,12.315,30,48.7574283509878,43.02545574307934,-5.73197260790846,0.5664328141425966,0.5664328249379691,1.3312484636182131,117362.30952271417
NGC2955,40.35,24,44.136667183471666,164.73258023634142,120.59591305286975,1.0958955326933528,1.09589554023256,0.5301972982784812,46741.97276408005
NGC2976,11.745,27,3.6845505539647445,15.845299922575677,12.160749368610933,0.5443260129648446,0.5443260159000272,0.285681439188949,25185.556571356457
NGC2998,31.875,13,35.122227450196725,54.715915846279685,19.59368839608296,0.9980853139298993,0.998085326644991,0.9906616552266196,87336.31849383657
NGC3109,9.5325,25,29.986977397240718,26.088796222180395,-3.898181175060323,0.44849187310486627,0.44849188285361985,1.2637804814817364,111414.36034660532
NGC3198,22.275,43,37.60592238748666,37.707927381463776,0.10200499397711837,0.8411195230527948,0.8411195496864092,1.4651487303689257,129166.9012131786
NGC3521,31.5,41,52.51577662137675,153.06470079250488,100.54892417112814,0.9930573541927804,0.9930573606398209,0.29578906856332554,26076.640962884943
NGC3726,24.15,12,35.31058676501566,69.69367606724813,34.38308930223248,0.8773324365054832,0.8773324494200732,1.4758823861900723,130113.17583524866
NGC3741,7.14,21,25.07618692122832,23.22346282793207,-1.8527240932962492,0.32434860194957815,0.3243486190584392,1.7840676369174826,157282.65904944946
NGC3769,17.925,12,38.65390422651838,41.79789657917592,3.1439923526575413,0.7418066860995677,0.7418067134623274,2.242851552375638,197728.85775806606
NGC3877,25.2,13,29.10908735068305,87.41485692060789,58.305769569924834,0.8962215890314551,0.8962215928019178,0.5356158882296226,47219.673395030695
NGC3893,27.375,10,33.81205976768977,75.44337608879034,41.63131632110058,0.9325887553264988,0.9325887608735928,0.7897027349104614,69619.86386342633
NGC3917,20.55,17,26.009308864899815,12.577285249166456,-13.432023615733359,0.8045844895731227,0.8045844966236899,0.9351947827389178,82446.38214080918
NGC3949,23.55,7,32.027021331325585,94.32578116169978,62.298759830374195,0.8661068160299129,0.8661068181970932,0.42484134468463924,37453.8358207068
NGC3953,32.925,8,18.26639069797791,114.32773406854366,96.06134337056575,1.011797828358863,1.0117978311561322,0.5630569853328093,49638.86907478675
NGC3972,16.95,10,21.173242996045843,12.815851590708236,-8.357391405337607,0.7158649021535208,0.7158649075278284,0.7628139232294574,67249.3574362287
NGC3992,37.2,9,51.50181558835592,54.744767022196086,3.242951433840169,1.062686539337823,1.0626865462315482,1.3474796894438645,118793.24762431074
NGC4010,17.775,12,17.706376631874576,25.133236895144268,7.426860263269692,0.7379169880476573,0.7379169941473543,0.8394961303460788,74009.62884495256
NGC4013,26.7,36,39.2720830188511,61.78399219293986,22.511909174088764,0.9216745278503553,0.9216745361912435,1.4666728612997484,129301.26796059271
NGC4051,22.95,7,29.682131008832762,90.7060177686678,61.023886759835044,0.8545467012442227,0.8545467056220055,0.703924363507498,62057.67840363071
NGC4068,3.9675,6,6.0332781675934655,5.165009031778812,-0.8682691358146535,0.1339844045076708,0.1339844109773814,1.7849262760486344,157358.3563172643
NGC4085,19.05,7,33.53583468853068,76.31563180008148,42.7797971115508,0.7698857318760127,0.7698857348878209,0.47397746631101983,41785.655817244166
NGC4088,25.875,12,50.78967092195533,126.04161209608937,75.25194117413403,0.907888191187069,0.9078881981351745,0.9596182122032357,84599.5414996616
NGC4100,25.725,24,29.35765118897049,45.0714111725516,15.71375998358111,0.9053264843220307,0.9053264913391915,1.07666412372939,94918.26026051966
NGC4138,24.3,7,31.520891576041766,63.41866333607882,31.897771760037056,0.8800885374399222,0.8800885435123481,0.984607139684842,86802.55492794827
NGC4157,27.675,17,40.01023827592091,96.33077607037427,56.32053779445336,0.9373387189223762,0.9373387274917696,1.1947743688575378,105330.81022798292
NGC4183,16.5,23,33.263626959210285,14.65038526997135,-18.613241689238933,0.7033425995251581,0.7033426143720204,1.760410161305984,155197.02586291678
NGC4214,12.015,14,33.48453104145477,25.099961450162688,-8.384569591292085,0.5549187037543623,0.5549187099941922,0.778284167188172,68613.20769370794
NGC4217,27.675,19,64.40844387153237,135.89323987186017,71.4847960003278,0.9373387146504606,0.937338719561154,0.6657695668682608,58693.96743957842
NGC4389,11.4525,6,57.39781645079807,87.79144737734173,30.393630926543658,0.5325971014601761,0.5325971069052102,0.8905637851703493,78511.73200291273
NGC4559,18.3,32,23.931662308749097,28.771756947988383,4.840094639239286,0.7513769897083465,0.7513770020494329,1.5303194209301099,134912.3221218064
NGC5005,39.6,18,57.02955192190641,191.07298826898125,134.04343634707485,1.088278116524077,1.0882781185876969,0.2370277839725358,20896.270612369848
NGC5033,29.625,22,61.16313286997931,90.72506176842029,29.561928898440982,0.9668067997830891,0.9668068126408662,1.455816035442279,128344.13471947298
NGC5055,26.925,28,58.26922066188828,125.7591625812554,67.48994191936711,0.9253481723121946,0.9253481940278457,1.6577227250347764,146144.14429413716
NGC5371,31.95,19,35.62745617971017,135.32877777026252,99.70132159055234,0.9990824795214599,0.9990824915479205,1.311529977737235,115623.93602856356
NGC5585,13.4625,24,24.178154775922287,19.10886723436871,-5.069287541553578,0.6081405921210813,0.6081406054121583,0.9323949111487343,82199.54662875317
NGC5907,32.325,19,43.258327077427516,53.744973900731935,10.486646823304419,1.0040269210312913,1.004026931763279,1.6706315824290459,147282.18377999932
NGC5985,43.725,33,80.13943130227766,23.6054718267264,-56.533959475551256,1.1281812207701185,1.1281812260565016,0.6169799081603979,54392.69146948874
