galaxy,delta_rms,sigma_v_kms,bulge_frac,morphology_code
NGC5005,91.73983032825365,39.6,0.1035188181840326,Spiral
UGC11914,88.65445515587595,42.6,0.2452447161776664,Spiral
NGC6195,82.15000782034716,37.725,0.2419333218008418,Spiral
NGC2955,81.13517479568361,40.35,0.188527248699588,Spiral
NGC0891,73.59600585264094,32.85,0.1185846942380242,Spiral
NGC7331,71.57230480106425,35.775,0.0406506228005961,Spiral
NGC3521,70.63350323642811,31.5,0.0,Spiral
NGC5371,69.7130660329521,31.95,0.0,Spiral
UGC11455,68.32497364743503,40.8,0.0,Spiral
NGC3953,67.50654630761932,32.925,0.0,Spiral
UGC03546,66.90611963101304,29.175,0.2499999659106725,Spiral
UGC06973,63.67001238541821,26.1,0.1254425286652087,Spiral
UGC05253,59.853669255709406,32.775,0.3144824115951367,Spiral
NGC4088,54.462914218825794,25.875,0.0,Spiral
NGC0801,53.63549217379736,33.15,0.0,Spiral
UGC02953,52.840991757546405,39.45,0.1089983055315584,Spiral
UGC02916,52.70448689424612,31.425,0.3993127525709409,Spiral
NGC4217,50.17264761483882,27.675,0.7459816379558726,Spiral
NGC5055,46.784501686205104,26.925,0.0,Spiral
NGC3949,45.7299185839917,23.55,0.0,Spiral
NGC4051,45.35118940618161,22.95,0.0,Spiral
UGC09133,42.52230445947346,33.975,0.2287214220453834,Spiral
NGC2903,42.26693412652828,27.525,0.0,Spiral
NGC3877,41.87774900680797,25.2,0.0,Spiral
NGC4157,37.58329099264745,27.675,0.0165499851597834,Spiral
NGC6946,37.49737394716183,23.55,0.0531961565493083,Spiral
IC4202,34.3820603931609,36.6,0.1649030572005719,Spiral
UGC06787,33.14860307409727,37.425,0.4258531776486248,Spiral
NGC4085,32.740823308905256,19.05,0.0,Spiral
NGC4389,27.172536177983112,11.4525,0.0,Spiral
