gamma_sigma,F_max,extra_amp,sigma_gate_ref,frac_improved,mean_delta_rms,median_delta_rms,std_delta_rms,n_galaxies,mean_delta_low,n_low,mean_delta_med,n_med,mean_delta_high,n_high
0.0,2.0,0.1,20.0,0.7393939393939394,-0.9970305167598318,-2.9645176416439725,10.966652144907235,165,-2.077190692717432,82,-3.393608139248436,37,2.856154406296725,46
0.0,2.0,0.1,25.0,0.7393939393939394,-0.9970305167598318,-2.9645176416439725,10.966652144907235,165,-2.077190692717432,82,-3.393608139248436,37,2.856154406296725,46
0.0,2.0,0.1,30.0,0.7393939393939394,-0.9970305167598318,-2.9645176416439725,10.966652144907235,165,-2.077190692717432,82,-3.393608139248436,37,2.856154406296725,46
0.0,2.0,0.15,20.0,0.7393939393939394,-0.9601703046560868,-3.0926465858605994,11.429325592469285,165,-2.1634290439090553,82,-3.4739953666732304,37,3.206758910852124,46
0.0,2.0,0.15,25.0,0.7393939393939394,-0.9601703046560868,-3.0926465858605994,11.429325592469285,165,-2.1634290439090553,82,-3.4739953666732304,37,3.206758910852124,46
0.0,2.0,0.15,30.0,0.7393939393939394,-0.9601703046560868,-3.0926465858605994,11.429325592469285,165,-2.1634290439090553,82,-3.4739953666732304,37,3.206758910852124,46
0.0,2.0,0.2,20.0,0.7393939393939394,-0.9169815965688,-3.203159552341475,11.888222385232671,165,-2.249035689918297,82,-3.548822828116977,37,3.5744653865168803,46
0.0,2.0,0.2,25.0,0.7393939393939394,-0.9169815965688,-3.203159552341475,11.888222385232671,165,-2.249035689918297,82,-3.548822828116977,37,3.5744653865168803,46
0.0,2.0,0.2,30.0,0.7393939393939394,-0.9169815965688,-3.203159552341475,11.888222385232671,165,-2.249035689918297,82,-3.548822828116977,37,3.5744653865168803,46
0.0,2.0,0.25,20.0,0.7393939393939394,-0.867563947084503,-3.1882405240716096,12.343347584332564,165,-2.3340131954283843,82,-3.6182004868326434,37,3.9590097558476587,46
0.0,2.0,0.25,25.0,0.7393939393939394,-0.867563947084503,-3.1882405240716096,12.343347584332564,165,-2.3340131954283843,82,-3.6182004868326434,37,3.9590097558476587,46
0.0,2.0,0.25,30.0,0.7393939393939394,-0.867563947084503,-3.1882405240716096,12.343347584332564,165,-2.3340131954283843,82,-3.6182004868326434,37,3.9590097558476587,46
0.0,3.0,0.1,20.0,0.7393939393939394,-0.9169815965688,-3.203159552341475,11.888222385232671,165,-2.249035689918297,82,-3.548822828116977,37,3.5744653865168803,46
