galaxy,sigma_v_kms,n_points,rms_gr,rms_coherence,delta_rms,K_mean,K_max,ell_coh_mean_kpc,tau_coh_mean_yr
NGC5005,39.6,18,57.02955192190641,148.76938225016005,91.73983032825365,0.7057081590538982,0.7057081598281398,0.2370277839725358,20896.270612369848
UGC11914,42.6,65,20.216150253791284,108.87060540966723,88.65445515587595,0.7166820527604945,0.7166820534286796,0.1486451954726907,13104.498459074586
NGC6195,37.725,23,43.84749983065521,125.99750765100237,82.15000782034716,0.6982299693276858,0.6982299724047258,0.678632900837793,59827.99359929552
NGC2955,40.35,24,44.13666718347167,125.27184197915528,81.13517479568361,0.7085602509244304,0.7085602537414264,0.5301972982784812,46741.97276408005
NGC0891,32.85,18,69.84503892878418,143.44104478142512,73.59600585264094,0.6760665279382537,0.6760665293523689,0.5448573730555061,48034.39884428077
NGC7331,35.775,36,70.71859232887839,142.29089712994264,71.57230480106425,0.6898743961548011,0.6898743989478693,0.935974041475462,82515.08126613099
NGC3521,31.5,41,52.51577662137675,123.14927985780488,70.63350323642811,0.6691022860852572,0.6691022886211155,0.2957890685633255,26076.640962884943
NGC5371,31.95,19,35.62745617971017,105.34052221266228,69.7130660329521,0.6714689157921939,0.6714689205095579,1.311529977737235,115623.93602856356
UGC11455,40.8,36,39.82149446522485,108.14646811265987,68.32497364743503,0.7102355623218912,0.710235565482304,0.6539685794876717,57653.59731222437
NGC3953,32.925,8,18.26639069797791,85.77293700559723,67.50654630761932,0.6764417656857407,0.6764417667764684,0.5630569853328093,49638.86907478675
UGC03546,29.175,30,72.11935937530671,139.02547900631976,66.90611963101304,0.6560878598507711,0.6560878644352732,0.6217479271836622,54813.03803867661
UGC06973,26.1,9,88.38568001480633,152.05569240022453,63.67001238541821,0.6365249158335353,0.636524916596224,0.4234278724586899,37329.22469857807
UGC05253,32.775,73,44.104843857398,103.9585131131074,59.853669255709406,0.6756900984601072,0.6756901063321226,0.5742960812921207,50629.703088707145
NGC4088,25.875,12,50.78967092195533,105.25258514078112,54.462914218825794,0.6349719641758365,0.6349719670098259,0.9596182122032356,84599.5414996616
NGC0801,33.15,13,37.74096372602602,91.37645589982338,53.63549217379736,0.677560390788976,0.6775603973851059,1.3084188524859028,115349.66052350993
UGC02953,39.45,115,62.22481167957494,115.06580343712136,52.840991757546405,0.7051285196600537,0.7051285256751247,0.6713242960180268,59183.67004552007
UGC02916,31.425,43,39.97364888805376,92.67813578229988,52.70448689424612,0.6687033048312759,0.6687033102965145,0.6330035864055766,55805.33226292246
NGC4217,27.675,19,64.40844387153237,114.5810914863712,50.17264761483882,0.6469131380734181,0.646913140052539,0.6657695668682608,58693.96743957842
NGC5055,26.925,28,58.26922066188828,105.0537223480934,46.784501686205104,0.6420686663895065,0.6420686751848046,1.6577227250347764,146144.14429413716
NGC3949,23.55,7,32.027021331325585,77.75693991531729,45.7299185839917,0.6177910870166394,0.6177910879149052,0.4248413446846392,37453.8358207068
