case,domain,scenario,resolution,cells,cell_kpc,sigma_weighted_mean,sigma_median,sigma_p90,sigma_maximum,sigma_r80_kpc,sigma_active_pixels,transverse_mismatch_weighted_mean,transverse_mismatch_median,transverse_mismatch_p90,transverse_mismatch_maximum,transverse_mismatch_r80_kpc,transverse_mismatch_active_pixels,survival_weighted_mean,survival_median,survival_p90,survival_maximum,survival_r80_kpc,survival_active_pixels,screen_weighted_mean,screen_median,screen_p90,screen_maximum,screen_r80_kpc,screen_active_pixels,trace_length_kpc_weighted_mean,trace_length_kpc_median,trace_length_kpc_p90,trace_length_kpc_maximum,trace_length_kpc_r80_kpc,trace_length_kpc_active_pixels,sigma_global_minimum,sigma_global_maximum,minimum_eigenvalue_proxy,maximum_direction_norm_error,all_coefficients_finite
CVnIdwA,registered_galaxy_baryons_only,low,primary,65,0.11410718438405273,0.0006591074449824082,0.00010322765138636795,0.0011630984865197876,0.07936907789411203,1.4437871090776342,723,0.07900782772075296,0.018951859287793586,0.28480125951088653,0.8530380398514762,1.4437871090776342,723,0.007919753538931562,0.006256686099103126,0.01168928987348652,0.25917522832744244,1.4437871090776342,723,0.9464282628479795,0.950517019093128,0.963084759397006,0.9971826585204466,1.4437871090776342,723,0.8160030958821128,0.7922336262915334,1.084349861027043,5.477144850434531,1.4437871090776342,723,2.7215372982115117e-12,0.07936907789411203,0.002583884266933519,1.1102230246251565e-16,True
CVnIdwA,registered_galaxy_baryons_only,low,check,33,0.22821436876810547,0.0009539740478285219,9.650339210056249e-05,0.0012854843271986407,0.08401018500958926,1.4441188581088533,179,0.07454990238417827,0.01938324401718279,0.2336384238035634,0.7840908116161647,1.4441188581088533,179,0.009313146965429755,0.006985294551264842,0.011825217380624455,0.34172485343746584,1.4441188581088533,179,0.9461969777593795,0.9503387847547938,0.9627460607446586,0.9820067687587826,1.4441188581088533,179,0.8582844814639589,0.8372458380962808,1.0906733672424616,6.466314863888925,1.4441188581088533,179,2.391177413495016e-12,0.08401018500958926,0.0025838576748684105,1.1102230246251565e-16,True
CVnIdwA,registered_galaxy_baryons_only,nominal,primary,65,0.11410718438405273,0.0007197309140802471,0.0001325631798977052,0.0012938191528548521,0.05559296165892556,1.4380676828974963,721,0.10410010509043299,0.025723495447685665,0.37567343933475195,0.9435794661116821,1.4380676828974963,721,0.007515145421734188,0.0059721147739125735,0.011537998745246525,0.25917522832744244,1.4380676828974963,721,0.9441065966908351,0.9481298050571637,0.9619642556489011,0.9939331490191072,1.4380676828974963,721,0.7961102802085858,0.7739521413940744,1.0772686723815526,5.477144850434531,1.4380676828974963,721,3.744117530952323e-12,0.05559296165892556,0.0026708155756851597,1.1102230246251565e-16,True
CVnIdwA,registered_galaxy_baryons_only,nominal,check,33,0.22821436876810547,0.0007296767033409554,0.00012998763757540594,0.001426590968711,0.01533478639604823,1.439459322424409,179,0.09797086889696062,0.026492811916697303,0.3085820873709037,0.9253626671213292,1.439459322424409,179,0.007672458970876978,0.006798471005467155,0.011397365960477046,0.07948965033310607,1.439459322424409,179,0.9439308701993969,0.9482448532645534,0.9611955926911696,0.981616063638972,1.439459322424409,179,0.8235430137327556,0.8259349784595662,1.0706452506687254,2.8779686385521464,1.439459322424409,179,3.309699217373527e-12,0.01533478639604823,0.002670964192124372,1.1102230246251565e-16,True
CVnIdwA,registered_galaxy_baryons_only,high,primary,65,0.11410718438405273,0.0007615727343138636,0.0001664434849232324,0.0013408189277813321,0.037553992166554334,1.4165728733360543,700,0.13349494466098344,0.03544410567821846,0.4702015290147118,0.9924377174814346,1.4165728733360543,700,0.007011477547723442,0.005794469778347411,0.011278137765068653,0.1227652651722928,1.4165728733360543,700,0.9386292282416766,0.9439472478036401,0.9585708658940774,0.9874948152500017,1.4165728733360543,700,0.7635978495593637,0.7623203278403432,1.0649980834395256,3.6191251130011057,1.4165728733360543,700,5.020564292965232e-12,0.037553992166554334,0.002844658819823957,1.1102230246251565e-16,True
CVnIdwA,registered_galaxy_baryons_only,high,check,33,0.22821436876810547,0.000927216070621325,0.00018791342530919363,0.0016283940568974033,0.03696676698436542,1.410986316617693,175,0.12557576359309902,0.035488871372298655,0.3897683262801996,0.9832280779775203,1.410986316617693,175,0.007970485561886658,0.00638878265033993,0.011698475007437188,0.15668920914775286,1.410986316617693,175,0.9385938242473828,0.94407955866138,0.9582452573025197,0.9891465246017036,1.410986316617693,175,0.8105580051151127,0.800579681451494,1.0846008309856114,4.128192298096905,1.410986316617693,175,4.489392104993626e-12,0.03696676698436542,0.0028451589740280565,1.1102230246251565e-16,True
DDO101,registered_galaxy_baryons_only,low,primary,65,0.148137920826862,0.0011918159224877608,0.0002810818611954426,0.002636822399022877,0.06207629920405821,2.4686239545754507,1258,0.09260657437920825,0.019662029120568244,0.4053818617677857,0.9870919258803867,2.4686239545754507,1258,0.02665024228037783,0.013948625378599921,0.0478806657174059,0.3968619659379442,2.4686239545754507,1258,0.9793656556905267,0.9805001318822624,0.9869736573662042,0.9988575283203439,2.4686239545754507,1258,1.4214469567128036,1.1851927576375996,2.2150597706894493,7.110620199689376,2.4686239545754507,1258,9.706031953545671e-12,0.06207629920405821,0.0011424604899565862,1.1102230246251565e-16,True
DDO101,registered_galaxy_baryons_only,low,check,33,0.296275841653724,0.0013718647555694989,0.00032069728216462814,0.002943243641740757,0.044101114953209127,2.476172696971544,317,0.09571617564537621,0.018273396376557532,0.4331571638496877,0.9952924838081185,2.476172696971544,317,0.02983403447733108,0.017793294258446557,0.05505561704603512,0.41715590577417405,2.476172696971544,317,0.9794042636935454,0.9805217885882906,0.9867452906089037,0.996841595160639,2.476172696971544,317,1.55851718639247,1.3399066435164122,2.3796890900983536,7.347350190697972,2.476172696971544,317,8.839091721619479e-10,0.044101114953209127,0.0019298128429486338,1.1102230246251565e-16,True
DDO101,registered_galaxy_baryons_only,nominal,primary,65,0.148137920826862,0.0011839052222342944,0.0002912107168764399,0.002696920030952656,0.06894431089396415,2.4837681943627343,1267,0.08955366432390283,0.0186078811832809,0.3327538594557964,0.936420196279119,2.4837681943627343,1267,0.027209187591592812,0.01614906128236482,0.04970220446983638,0.3968619659379442,2.4837681943627343,1267,0.9695016344779591,0.971452557937805,0.9781216971512987,0.9956827050665232,2.4837681943627343,1267,1.4572035808820725,1.275965455956993,2.2578723229101194,7.110620199689376,2.4837681943627343,1267,9.443856286169773e-12,0.07040468906008183,0.0030281869887798427,1.1102230246251565e-16,True
DDO101,registered_galaxy_baryons_only,nominal,check,33,0.296275841653724,0.0012181970866302042,0.0003417133721595602,0.0031042679433309853,0.01747062558505982,2.480904691722186,315,0.09357097504455233,0.01797119017217329,0.3541545473072601,0.966743860633612,2.480904691722186,315,0.02876679042685161,0.01907534729524263,0.05225444054686325,0.329138875714852,2.480904691722186,315,0.9694951512152696,0.9712264419675383,0.9780663761971601,0.9940519215380414,2.480904691722186,315,1.5428895488794914,1.3877906537945845,2.31665371878387,6.318173246356996,2.480904691722186,315,7.542104500862608e-10,0.01747062558505982,0.0030584945632136577,1.1102230246251565e-16,True
