case,domain,scenario,check,primary,absolute_fractional_change
AS295,registered_cluster_baryons_only,high,0.09599868996662961,0.09161622945896618,0.047834980041677966
AS295,registered_cluster_baryons_only,low,0.09344869217982052,0.09190231270876366,0.01682633902758579
AS295,registered_cluster_baryons_only,nominal,0.09737269083914254,0.09366305448526988,0.03960618596370957
CVnIdwA,registered_galaxy_baryons_only,high,0.000927216070621325,0.0007615727343138636,0.21750166312965136
CVnIdwA,registered_galaxy_baryons_only,low,0.0009539740478285219,0.0006591074449824082,0.4473725871113228
CVnIdwA,registered_galaxy_baryons_only,nominal,0.0007296767033409554,0.0007197309140802471,0.013818760686996834
DDO101,registered_galaxy_baryons_only,high,0.0009567217838207587,0.0009705343412834213,0.014231910067599496
DDO101,registered_galaxy_baryons_only,low,0.0013718647555694989,0.0011918159224877608,0.15107100826938913
DDO101,registered_galaxy_baryons_only,nominal,0.0012181970866302042,0.0011839052222342944,0.028965041923874058
DDO126,registered_galaxy_baryons_only,high,0.0025967688558524798,0.0021316826727831913,0.21817796288697022
DDO126,registered_galaxy_baryons_only,low,0.0016358809062577205,0.001256319416720744,0.30212180476181083
DDO126,registered_galaxy_baryons_only,nominal,0.0021640097008275754,0.0017018170687989253,0.27158772849472435
DDO133,registered_galaxy_baryons_only,high,0.007031049534394042,0.004589312069028732,0.5320486880470674
DDO133,registered_galaxy_baryons_only,low,0.0050292471845079555,0.003512364568361897,0.43186935371390134
DDO133,registered_galaxy_baryons_only,nominal,0.0069018153472270435,0.004373409748321025,0.578131422484867
DDO210,registered_galaxy_baryons_only,high,0.0003449791306020932,0.0001076920956064833,2.203383949948177
DDO210,registered_galaxy_baryons_only,low,0.0002161648453683672,0.00014319054629222648,0.5096307051389632
DDO210,registered_galaxy_baryons_only,nominal,0.00029088577849478036,0.00014375329684758562,1.0235068333993893
DDO216,registered_galaxy_baryons_only,high,0.0004680262651266465,0.0002474324560431428,0.8915314207811142
DDO216,registered_galaxy_baryons_only,low,0.0005495799501035528,0.00032800509187257284,0.6755226175484492
DDO216,registered_galaxy_baryons_only,nominal,0.0005742165938095684,0.0003050217290499927,0.8825432391259411
DDO47,registered_galaxy_baryons_only,high,0.014182017911207913,0.008634973373198566,0.642392778561008
DDO47,registered_galaxy_baryons_only,low,0.01063329831496904,0.0077383590234470796,0.37410247867155677
DDO47,registered_galaxy_baryons_only,nominal,0.013236322192069137,0.008714438215114417,0.5188956379439256
DDO50,registered_galaxy_baryons_only,high,0.011833324239778564,0.005511777084628521,1.1469163317181028
DDO50,registered_galaxy_baryons_only,low,0.00864546837166755,0.0045208572304461705,0.9123515587804387
DDO50,registered_galaxy_baryons_only,nominal,0.0107125863752717,0.004980113719236477,1.151072641954468
DDO52,registered_galaxy_baryons_only,high,0.0031267662665904936,0.0013364688301088718,1.3395729074622564
DDO52,registered_galaxy_baryons_only,low,0.0022568547755820972,0.0009468878608502912,1.3834446177770992
DDO52,registered_galaxy_baryons_only,nominal,0.002762130889522689,0.0011147338831372826,1.4778388199244543
DDO53,registered_galaxy_baryons_only,high,0.0020784934545783383,0.0012325440429594864,0.6863441646982658
DDO53,registered_galaxy_baryons_only,low,0.0013114778669941973,0.0010360255180360228,0.265874096885514
DDO53,registered_galaxy_baryons_only,nominal,0.0016703620492586567,0.0012136425951862258,0.37632121341485236
DDO87,registered_galaxy_baryons_only,high,0.013951965210635905,0.004184897536707224,2.333884542753618
DDO87,registered_galaxy_baryons_only,low,0.012999121301674056,0.0038984367668308184,2.334444568211252
DDO87,registered_galaxy_baryons_only,nominal,0.014446065478232862,0.004264518613904384,2.387502033906414
MACS0025,registered_cluster_baryons_only,high,0.1673072156698599,0.1567392227942975,0.06742404796425272
MACS0025,registered_cluster_baryons_only,low,0.15920065189640667,0.1494844480089478,0.06499809188764094
MACS0025,registered_cluster_baryons_only,nominal,0.16848180311748814,0.15684701962101857,0.07417918124668299
MACS0159,registered_cluster_baryons_only,high,0.03945552090421439,0.046408843558122526,0.1498275354609898
MACS0159,registered_cluster_baryons_only,low,0.03382168670839762,0.03986417477245198,0.15157690077733654
MACS0159,registered_cluster_baryons_only,nominal,0.037601106409350424,0.04441419377399195,0.1533988751278681
NGC1569,registered_galaxy_baryons_only,high,0.001656813856705457,0.0013904474473190563,0.19156884346832803
NGC1569,registered_galaxy_baryons_only,low,0.003180235180926111,0.002643667295604964,0.20296346904664553
NGC1569,registered_galaxy_baryons_only,nominal,0.002962643317217321,0.002321415835904137,0.2762225842503745
PLCKG287,registered_cluster_baryons_only,high,0.06894237078181004,0.057222239499152124,0.20481776640062432
PLCKG287,registered_cluster_baryons_only,low,0.060212584383711285,0.05118742704361162,0.1763159014109117
PLCKG287,registered_cluster_baryons_only,nominal,0.06633390255584073,0.055636273051499666,0.1922779675489552
UGC8508,registered_galaxy_baryons_only,high,0.00012192350923482733,0.00012614550435604394,0.03346924761821157
UGC8508,registered_galaxy_baryons_only,low,0.00013695527815581142,0.00014940591980718986,0.08333432615953995
UGC8508,registered_galaxy_baryons_only,nominal,0.00013682676004401738,0.00015742927118603524,0.13086836384875167
