case,domain,scenario,check,primary,absolute_fractional_change
AS295,registered_cluster_baryons_only,high,0.09538790135978484,0.08951246529942292,0.06563818838759872
AS295,registered_cluster_baryons_only,low,0.09309098014938838,0.0903655853133359,0.030159654547717185
AS295,registered_cluster_baryons_only,nominal,0.0968546005368349,0.0917514076716473,0.05561977733846324
CVnIdwA,registered_galaxy_baryons_only,high,0.008184945799109476,0.007477323856581583,0.09463572209795879
CVnIdwA,registered_galaxy_baryons_only,low,0.005814297794934285,0.005397872736358521,0.07714614236286899
CVnIdwA,registered_galaxy_baryons_only,nominal,0.006834622144916883,0.0065258106906644076,0.04732154653126086
DDO101,registered_galaxy_baryons_only,high,0.0070446971898247505,0.006483428138996865,0.08656979591582648
DDO101,registered_galaxy_baryons_only,low,0.00900651849867727,0.00801704532668014,0.12342117721403367
DDO101,registered_galaxy_baryons_only,nominal,0.00853011407286971,0.007733847121573954,0.10295871366199227
DDO126,registered_galaxy_baryons_only,high,0.010715207913396422,0.010342976224616544,0.035988837322661116
DDO126,registered_galaxy_baryons_only,low,0.007417984620548463,0.006485605736718412,0.14376126481931606
DDO126,registered_galaxy_baryons_only,nominal,0.009354255623846217,0.008475084056290064,0.10373602924960323
DDO133,registered_galaxy_baryons_only,high,0.023316231888397685,0.017451138646287893,0.33608656495072786
DDO133,registered_galaxy_baryons_only,low,0.017037826338056943,0.013239128424066458,0.28692960686785884
DDO133,registered_galaxy_baryons_only,nominal,0.02140431480374584,0.01591549856327381,0.3448724033777919
DDO210,registered_galaxy_baryons_only,high,0.007586739845591031,0.003839807109858347,0.9758127501021556
DDO210,registered_galaxy_baryons_only,low,0.005691488933630171,0.0038400206182580034,0.4821506182985218
DDO210,registered_galaxy_baryons_only,nominal,0.006842107280155409,0.004183415553534433,0.6355313481527631
DDO216,registered_galaxy_baryons_only,high,0.006417368662748641,0.004530132334336665,0.41659629104153284
DDO216,registered_galaxy_baryons_only,low,0.007292603409147653,0.005623594154420721,0.29678693179075166
DDO216,registered_galaxy_baryons_only,nominal,0.0072874399603411666,0.005330404096417463,0.3671458727189214
DDO47,registered_galaxy_baryons_only,high,0.03637944466572945,0.027191986298177193,0.33787374952333415
DDO47,registered_galaxy_baryons_only,low,0.024214930827522706,0.020252782546631883,0.1956347613849112
DDO47,registered_galaxy_baryons_only,nominal,0.030941122079761754,0.024675805397487934,0.253905255830541
DDO50,registered_galaxy_baryons_only,high,0.03536722873890325,0.024513120319243804,0.44278771034867104
DDO50,registered_galaxy_baryons_only,low,0.0249587552115031,0.01852057614237792,0.34762304474932826
DDO50,registered_galaxy_baryons_only,nominal,0.031395337873733394,0.022081713129311453,0.4217799900705601
DDO52,registered_galaxy_baryons_only,high,0.016858915820536516,0.010210918325347602,0.6510675419551553
DDO52,registered_galaxy_baryons_only,low,0.011989879024089791,0.00732784901155715,0.636207160543278
DDO52,registered_galaxy_baryons_only,nominal,0.014997719523660628,0.008914658269586519,0.682366173791231
DDO53,registered_galaxy_baryons_only,high,0.01378813618708093,0.01063574610611765,0.2963957628840006
DDO53,registered_galaxy_baryons_only,low,0.00906111685187459,0.008056791947821922,0.12465568312511488
DDO53,registered_galaxy_baryons_only,nominal,0.011588611344301322,0.009685250982315622,0.19652153211734635
DDO87,registered_galaxy_baryons_only,high,0.04224374949035479,0.019672942540909726,1.147302031839378
DDO87,registered_galaxy_baryons_only,low,0.03308918062311022,0.015597948179917326,1.1213803406343668
DDO87,registered_galaxy_baryons_only,nominal,0.03947743476309491,0.0182717585885619,1.160571166248209
MACS0025,registered_cluster_baryons_only,high,0.16616359171419567,0.15339962450649486,0.08320729107886704
MACS0025,registered_cluster_baryons_only,low,0.15859910442474723,0.1474121166331395,0.07588920128898557
MACS0025,registered_cluster_baryons_only,nominal,0.16757733406718717,0.15398648291550665,0.08826002707742786
MACS0159,registered_cluster_baryons_only,high,0.03939266489043459,0.04617969620202655,0.14697002946706517
MACS0159,registered_cluster_baryons_only,low,0.03377378341923827,0.03974514119634345,0.15024120175108469
MACS0159,registered_cluster_baryons_only,nominal,0.03754674045551223,0.04423719888967692,0.15124055324682784
NGC1569,registered_galaxy_baryons_only,high,0.002550877881577553,0.008813353941573582,0.7105667265279367
NGC1569,registered_galaxy_baryons_only,low,0.0068053367465480945,0.016572063617180197,0.5893488642239445
NGC1569,registered_galaxy_baryons_only,nominal,0.005308003485048542,0.01462266019356261,0.6370015158127449
PLCKG287,registered_cluster_baryons_only,high,0.06868342655607512,0.05614575557571909,0.22330576642516675
PLCKG287,registered_cluster_baryons_only,low,0.06010991494839801,0.05056198687445008,0.18883609336113105
PLCKG287,registered_cluster_baryons_only,nominal,0.0661417477416595,0.054732067057660115,0.20846427510182108
UGC8508,registered_galaxy_baryons_only,high,0.0024261768897641377,0.002332962086758411,0.039955558444263684
UGC8508,registered_galaxy_baryons_only,low,0.0023767158962912116,0.00228257692381539,0.04124240961766379
UGC8508,registered_galaxy_baryons_only,nominal,0.0025665933174557304,0.002441705890741581,0.05114761248997901
