case,domain,scenario,resolution,cells,cell_kpc,sigma_weighted_mean,sigma_median,sigma_p90,sigma_maximum,sigma_r80_kpc,sigma_active_pixels,transverse_mismatch_weighted_mean,transverse_mismatch_median,transverse_mismatch_p90,transverse_mismatch_maximum,transverse_mismatch_r80_kpc,transverse_mismatch_active_pixels,survival_weighted_mean,survival_median,survival_p90,survival_maximum,survival_r80_kpc,survival_active_pixels,screen_weighted_mean,screen_median,screen_p90,screen_maximum,screen_r80_kpc,screen_active_pixels,trace_length_kpc_weighted_mean,trace_length_kpc_median,trace_length_kpc_p90,trace_length_kpc_maximum,trace_length_kpc_r80_kpc,trace_length_kpc_active_pixels,sigma_global_minimum,sigma_global_maximum,minimum_eigenvalue_proxy,maximum_direction_norm_error,all_coefficients_finite
CVnIdwA,registered_galaxy_baryons_only,low,primary,65,0.11410718438405273,0.005397872736358521,0.0013149688782418633,0.014440449453287653,0.12914940110753825,1.4437871090776342,723,0.07900782772075296,0.018951859287793586,0.28480125951088653,0.8530380398514762,1.4437871090776342,723,0.0777532233846453,0.0761664484930209,0.10276277394725233,0.421730054178717,1.4437871090776342,723,0.9464282628479795,0.950517019093128,0.963084759397006,0.9971826585204466,1.4437871090776342,723,0.8160030958821128,0.7922336262915334,1.084349861027043,5.477144850434531,1.4437871090776342,723,2.7015094646699625e-11,0.12914940110753825,0.002583663023379762,1.1102230246251565e-16,True
CVnIdwA,registered_galaxy_baryons_only,low,check,33,0.22821436876810547,0.005814297794934285,0.001271086450577709,0.014064533599039685,0.11706798545438592,1.4441188581088533,179,0.07454990238417827,0.01938324401718279,0.2336384238035634,0.7840908116161647,1.4441188581088533,179,0.08127722128430823,0.08031548277650602,0.10332995993397368,0.4761927398095014,1.4441188581088533,179,0.9461969777593795,0.9503387847547938,0.9627460607446586,0.9820067687587826,1.4441188581088533,179,0.8582844814639589,0.8372458380962808,1.0906733672424616,6.466314863888925,1.4441188581088533,179,1.5221838883114476e-11,0.11706798545438592,0.0025836299850895,1.1102230246251565e-16,True
CVnIdwA,registered_galaxy_baryons_only,nominal,primary,65,0.11410718438405273,0.0065258106906644076,0.0017727506875493597,0.018023880209051525,0.0959409961025555,1.4380676828974963,721,0.10410010509043299,0.025723495447685665,0.37567343933475195,0.9435794661116821,1.4380676828974963,721,0.07595777993538896,0.07447599885538891,0.10212719857981034,0.421730054178717,1.4380676828974963,721,0.9441065966908351,0.9481298050571637,0.9619642556489011,0.9939331490191072,1.4380676828974963,721,0.7961102802085858,0.7739521413940744,1.0772686723815526,5.477144850434531,1.4380676828974963,721,3.717885252803608e-11,0.0959409961025555,0.002670502958671813,1.1102230246251565e-16,True
CVnIdwA,registered_galaxy_baryons_only,nominal,check,33,0.22821436876810547,0.006834622144916883,0.0017371854182366218,0.017007398392143578,0.07650184416854663,1.439459322424409,179,0.09797086889696062,0.026492811916697303,0.3085820873709037,0.9253626671213292,1.439459322424409,179,0.07862632003189307,0.07927465200449624,0.10153230202989147,0.2500860886113645,1.439459322424409,179,0.9439308701993969,0.9482448532645534,0.9611955926911696,0.981616063638972,1.439459322424409,179,0.8235430137327556,0.8259349784595662,1.0706452506687254,2.8779686385521464,1.439459322424409,179,2.101710638348515e-11,0.07650184416854663,0.002670642381104503,1.1102230246251565e-16,True
CVnIdwA,registered_galaxy_baryons_only,high,primary,65,0.11410718438405273,0.007477323856581583,0.002388126427184402,0.01965267054882437,0.11083049964420214,1.4165728733360543,700,0.13349494466098344,0.03544410567821846,0.4702015290147118,0.9924377174814346,1.4165728733360543,700,0.07295388234456093,0.07339882022337729,0.10102477538510174,0.3036567126542654,1.4165728733360543,700,0.9386292282416766,0.9439472478036401,0.9585708658940774,0.9874948152500017,1.4165728733360543,700,0.7635978495593637,0.7623203278403432,1.0649980834395256,3.6191251130011057,1.4165728733360543,700,4.989089100265984e-11,0.11083049964420214,0.0028442174167447798,1.1102230246251565e-16,True
CVnIdwA,registered_galaxy_baryons_only,high,check,33,0.22821436876810547,0.008184945799109476,0.0023691258582436677,0.02042641706426915,0.07979381394419717,1.410986316617693,175,0.12557576359309902,0.035488871372298655,0.3897683262801996,0.9832280779775203,1.410986316617693,175,0.07718889810623485,0.07693716340477463,0.10278352252459243,0.33821809754385845,1.410986316617693,175,0.9385938242473828,0.94407955866138,0.9582452573025197,0.9891465246017036,1.410986316617693,175,0.8105580051151127,0.800579681451494,1.0846008309856114,4.128192298096905,1.410986316617693,175,2.8377892503386114e-11,0.07979381394419717,0.002844704373079861,1.1102230246251565e-16,True
DDO101,registered_galaxy_baryons_only,low,primary,65,0.148137920826862,0.00801704532668014,0.0022728819366371884,0.023633520820371654,0.12264467334296417,2.4686239545754507,1258,0.09260657437920825,0.019662029120568244,0.4053818617677857,0.9870919258803867,2.4686239545754507,1258,0.12928163327928965,0.11176530457109096,0.19868886601123573,0.5088776613330708,2.4686239545754507,1258,0.9793656556905267,0.9805001318822624,0.9869736573662042,0.9988575283203439,2.4686239545754507,1258,1.4214469567128036,1.1851927576375996,2.2150597706894493,7.110620199689376,2.4686239545754507,1258,5.423588915960208e-11,0.12264467334296417,0.0011417218078502483,1.1102230246251565e-16,True
DDO101,registered_galaxy_baryons_only,low,check,33,0.296275841653724,0.00900651849867727,0.0021555946332419682,0.029332836028392886,0.11829000982836721,2.476172696971544,317,0.09571617564537621,0.018273396376557532,0.4331571638496877,0.9952924838081185,2.476172696971544,317,0.14151417997239882,0.12540177049325252,0.2117728000422097,0.5203674643868501,2.476172696971544,317,0.9794042636935454,0.9805217885882906,0.9867452906089037,0.996841595160639,2.476172696971544,317,1.55851718639247,1.3399066435164122,2.3796890900983536,7.347350190697972,2.476172696971544,317,5.38015455281374e-09,0.11829000982836721,0.00190842929966436,1.1102230246251565e-16,True
DDO101,registered_galaxy_baryons_only,nominal,primary,65,0.148137920826862,0.007733847121573954,0.002317700757763249,0.020969596805160324,0.08840408681396951,2.4837681943627343,1267,0.08955366432390283,0.0186078811832809,0.3327538594557964,0.936420196279119,2.4837681943627343,1267,0.13262438907812368,0.11979156851550243,0.20211215150649867,0.5088776613330708,2.4837681943627343,1267,0.9695016344779591,0.971452557937805,0.9781216971512987,0.9956827050665232,2.4837681943627343,1267,1.4572035808820725,1.275965455956993,2.2578723229101194,7.110620199689376,2.4837681943627343,1267,5.258242784792681e-11,0.13466128002286837,0.0030281466886425265,1.1102230246251565e-16,True
DDO101,registered_galaxy_baryons_only,nominal,check,33,0.296275841653724,0.00853011407286971,0.00218580275643062,0.025311735397313215,0.07990434338051844,2.480904691722186,315,0.09357097504455233,0.01797119017217329,0.3541545473072601,0.966743860633612,2.480904691722186,315,0.14049362027553508,0.12957968680210052,0.2067883278711653,0.468375212239203,2.480904691722186,315,0.9694951512152696,0.9712264419675383,0.9780663761971601,0.9940519215380414,2.480904691722186,315,1.5428895488794914,1.3877906537945845,2.31665371878387,6.318173246356996,2.480904691722186,315,4.868206883801239e-09,0.07990434338051844,0.0030581552256570923,1.1102230246251565e-16,True
