cells,spacing,relative_RMS_error,normalized_residual_RMS,nonlinear_iterations
17,0.125,0.0032189644400814716,8.52819225616921e-15,1
33,0.0625,0.000803577679385986,3.0812671478569273e-14,1
65,0.03125,0.0002008218097579853,1.36279742660614e-13,1
