cluster,partition,family_id,source_redshift,observed_images,global_roots,retained_roots,matched_images,image_RMS_arcsec,topology_correct,halo_global_roots,halo_matched_images,halo_image_RMS_arcsec
AS295,fit,1,0.93,3,1,0,1,inf,False,4,3,0.2215277563015494
AS295,holdout,2,0.93,3,1,0,1,inf,False,4,3,0.154398853533672
AS295,fit,3,0.93,3,1,0,1,inf,False,4,3,0.1695102395075172
AS295,fit,4,0.93,3,1,0,1,inf,False,3,3,0.3231658866698194
AS295,fit,5,1.52,3,1,1,1,inf,False,1,1,inf
AS295,holdout,6,2.17,3,1,0,1,inf,False,3,3,1.0035674996028727
PLCKG287,fit,1,3.76825,2,1,0,1,inf,False,8,2,0.07707693273172621
PLCKG287,fit,2,1.7212,9,1,1,1,inf,False,1,1,inf
PLCKG287,holdout,36,5.39085,2,1,0,1,inf,False,3,2,3.343256716876494
PLCKG287,fit,37,5.1838999999999995,2,1,0,1,inf,False,11,2,1.9221338493430002
PLCKG287,fit,39,2.9305000000000003,4,1,0,1,inf,False,5,4,3.8463660714276484
PLCKG287,holdout,40,4.3337,5,1,1,1,inf,False,5,5,43.15130151393194
PLCKG287,fit,41,4.5173,3,1,0,1,inf,False,6,3,1.7410579847646854
PLCKG287,fit,49,4.5206,4,1,0,1,inf,False,6,4,5.37003115934417
PLCKG287,fit,5,1.40825,6,1,1,1,inf,False,3,3,inf
PLCKG287,fit,6,4.3462,5,1,0,1,inf,False,8,5,11.617034080326336
PLCKG287,holdout,7,3.3423999999999996,2,1,0,1,inf,False,5,2,1.159953041348469
PLCKG287,holdout,8,1.1691,3,1,0,1,inf,False,5,3,0.49944564438840283
