galaxy,component,realization,status,profile,baseScaleHeightKpc,flaringPerR80,r80Kpc,zAxisLimitKpc,projectionRelativeError,massWeightedZ2Kpc2
CVnIdwA,gas,0,assumed_prior_not_measured,exponential,0.0773628602326306,0.4616339041235713,1.4877756617748372,1.1902205294198698,2.6764898177154716e-16,0.020602759967761373
CVnIdwA,gas,1,assumed_prior_not_measured,sech_squared,0.1288154623201273,0.4896303043184457,1.4877756617748372,1.1902205294198698,2.6764898177154716e-16,0.025317741066069665
CVnIdwA,gas,2,assumed_prior_not_measured,sech_squared,0.1850096448424697,0.5254552173647229,1.4877756617748372,1.1902205294198698,2.6764898177154716e-16,0.053889764676269915
CVnIdwA,stars,0,assumed_prior_not_measured,sech_squared,0.08867340527742577,0.11081345290931888,1.146763010536038,0.9174104084288305,1.8986175834181962e-16,0.007489659108877906
CVnIdwA,stars,1,assumed_prior_not_measured,exponential,0.048037122464957824,0.7202221640920772,1.146763010536038,0.9174104084288305,1.4239631875636473e-16,0.009966070709579021
CVnIdwA,stars,2,assumed_prior_not_measured,sech_squared,0.11951681257636262,0.18558972475122992,1.146763010536038,0.9174104084288305,1.8986175834181962e-16,0.01495020152150907
DDO101,gas,0,assumed_prior_not_measured,sech_squared,0.17351613408814692,0.5723010564394545,2.4521189087832065,1.9616951270265652,2.39259040651989e-16,0.051077685115730395
DDO101,gas,1,assumed_prior_not_measured,sech_squared,0.23801172532242498,0.977954631016645,2.4521189087832065,1.9616951270265652,2.39259040651989e-16,0.14193029469292967
DDO101,gas,2,assumed_prior_not_measured,sech_squared,0.16747033543304554,0.6275869670672044,2.4521189087832065,1.9616951270265652,2.39259040651989e-16,0.050466409028047145
DDO101,stars,0,assumed_prior_not_measured,sech_squared,0.15976404458001545,0.5091357075845381,2.531381900736522,2.0251055205892174,3.0381456829419895e-16,0.03945897039836056
DDO101,stars,1,assumed_prior_not_measured,sech_squared,0.09822617969929663,0.2834814749677469,2.531381900736522,2.0251055205892174,3.0381456829419895e-16,0.011335775235303224
DDO101,stars,2,assumed_prior_not_measured,exponential,0.12621375505956392,0.9443273397847034,2.531381900736522,2.0251055205892174,2.278609262206492e-16,0.08863796606963013
DDO126,gas,0,assumed_prior_not_measured,exponential,0.5598261812564749,0.35038514216948735,3.529806184681165,2.823844947744932,2.0462843604729255e-16,0.7741044529979116
DDO126,gas,1,assumed_prior_not_measured,sech_squared,0.20983767795745237,0.9908858146757161,3.529806184681165,2.823844947744932,4.092568720945851e-16,0.10954922153159612
DDO126,gas,2,assumed_prior_not_measured,exponential,0.48893839477509116,0.012742300853195276,3.529806184681165,2.823844947744932,2.0462843604729255e-16,0.4509653993533001
DDO126,stars,0,assumed_prior_not_measured,sech_squared,0.20812785785750498,0.5067650633021469,2.6461388613452583,2.116911089076207,2.6770533514460187e-16,0.06797929436450208
DDO126,stars,1,assumed_prior_not_measured,sech_squared,0.14446486682203583,0.44611969769679993,2.6461388613452583,2.116911089076207,2.6770533514460187e-16,0.03054706443424871
DDO126,stars,2,assumed_prior_not_measured,exponential,0.3832362720189781,0.7165193247844674,2.6461388613452583,2.116911089076207,4.015580027169028e-16,0.48375852035993644
DDO133,gas,0,assumed_prior_not_measured,exponential,0.49935685639429356,0.45455130529139565,4.979913274435348,3.9839306195482784,3.1517546491615104e-16,0.82358253738721
DDO133,gas,1,assumed_prior_not_measured,exponential,0.34228853460483116,0.8366080560757375,4.979913274435348,3.9839306195482784,1.5758773245807552e-16,0.5858831578111933
DDO133,gas,2,assumed_prior_not_measured,sech_squared,0.6632912612530074,0.6999998315124357,4.979913274435348,3.9839306195482784,3.1517546491615104e-16,0.81510273413774
DDO133,stars,0,assumed_prior_not_measured,exponential,0.3327421967908097,0.3748230672518794,3.878445776620278,3.1027566212962228,1.3849222170717978e-16,0.33952693765660863
DDO133,stars,1,assumed_prior_not_measured,sech_squared,0.30252077739335115,0.8523798015462041,3.878445776620278,3.1027566212962228,4.1547666512153936e-16,0.19540262181682805
DDO133,stars,2,assumed_prior_not_measured,exponential,0.39900619078501415,0.29045420101083774,3.878445776620278,3.1027566212962228,2.7698444341435956e-16,0.43612022228809266
DDO210,gas,0,assumed_prior_not_measured,exponential,0.09106015622842234,0.9423262443517492,0.590871180163938,0.47269694413115043,3.265358283485315e-16,0.028605330598881703
DDO210,gas,1,assumed_prior_not_measured,sech_squared,0.07654382734783577,0.5938488371842546,0.590871180163938,0.47269694413115043,2.612286626788252e-16,0.009630102695019366
DDO210,gas,2,assumed_prior_not_measured,sech_squared,0.09030313722395912,0.07174498122780848,0.590871180163938,0.47269694413115043,1.9592149700911891e-16,0.007364599563503611
DDO210,stars,0,assumed_prior_not_measured,exponential,0.07938526188872169,0.9092200962710685,1.022496490069366,0.8179971920554929,2.7600765450926176e-16,0.03192057634748889
