galaxy,cells_per_axis,input_surface_cells,numeric_representation_values,cell_to_parameter_ratio,parameter_json_bytes,source_npz_bytes,parameter_content_sha256,gravity_parameter_count,velocity_targets_used
CVnIdwA,65,8450,1008,8.382936507936508,46058,39646,be0df0691677ff29a129103b0978a03742b31258fb4a1f4e8e60ca1269d368a2,0,False
DDO101,65,8450,1008,8.382936507936508,46091,57256,ac4288888ed6b1480e86e352cb936d0456cfbe651230cbf193e4e11cf639ee9a,0,False
DDO126,65,8450,1008,8.382936507936508,46146,42563,c28fce698a25f709eaf1377745beb7e431b21b1f0f656c238d796c0eb37b304a,0,False
DDO133,65,8450,1008,8.382936507936508,45937,44329,73076180b56f22b55bd81720e0dadf5fb4567d7fa27953c44cc03505bb49eafd,0,False
DDO210,65,8450,1008,8.382936507936508,46329,42833,e0e58a36a4a0a90e400391e7936fdd183c2fc03edafbe7cdcc0ae96063be93b8,0,False
DDO216,69,9522,1008,9.446428571428571,46509,59000,8a7a8483afb89eaed0f4b731972a14a1a717c6608e4003290adb8a252bd74ea7,0,False
DDO47,91,16562,1008,16.430555555555557,45812,46462,3f66e4e9e4adb30de74767658a1674bfce74b54fc6fee5017c961f01975851be,0,False
DDO50,129,33282,1008,33.017857142857146,46200,105803,ce85e36f3146d606595af6ba65c08b5abf708558af44badc247b0b3e707bb826,0,False
DDO52,65,8450,1008,8.382936507936508,46083,39390,78281d4752ff0ee9bb41e2ea86dff16fee5ddec837ad3f59cc0668493418fbff,0,False
DDO53,81,13122,1008,13.017857142857142,46153,30070,6fc26fbbe6ef10e503a3aaf169e82d7f889ea137d32e3358af498fa7de3883fd,0,False
DDO87,65,8450,1008,8.382936507936508,45941,29708,3256746f21083fe25d2265c1093630b70936ea1a3e8ea82b28d46c48e07c83c8,0,False
NGC1569,513,526338,1008,522.1607142857143,46284,258332,d945ef6aa3d8d9503fb7657a9089cb9c177db21e1a90b5bd8c916117ed0c3460,0,False
UGC8508,71,10082,1008,10.001984126984127,46118,40076,07f60662d3235b648bbc31127a93ff1640582215b91c9a0eb3689c9511957b4c,0,False
