galaxy,status,n_points,alpha,gamma,alpha_eff,gamma_eff,alpha_scaling,gamma_scaling,force_match,rms_velocity
CamB,ok,9,2.8271,0.8579,0.16508017430475425,0.8579,mass_power,constant,False,4.616639156292732
D564-8,ok,6,2.8271,0.8579,0.3441539081298129,0.8579,mass_power,constant,False,10.04498085422733
D631-7,ok,16,2.8271,0.8579,1.0616667604509138,0.8579,mass_power,constant,False,24.582696406947466
DDO064,ok,14,2.8271,0.8579,0.6321117750458464,0.8579,mass_power,constant,False,14.109654282041328
DDO154,ok,12,2.8271,0.8579,0.8288902419478611,0.8579,mass_power,constant,False,22.674711254135573
DDO161,ok,31,2.8271,0.8579,1.5669713612245648,0.8579,mass_power,constant,False,21.29929692482355
DDO168,ok,10,2.8271,0.8579,0.7543352180681825,0.8579,mass_power,constant,False,18.68858639140445
DDO170,ok,8,2.8271,0.8579,1.3437133292394219,0.8579,mass_power,constant,False,24.489494835931684
ESO079-G014,ok,15,2.8271,0.8579,3.4309166000449927,0.8579,mass_power,constant,False,6.393002368040422
ESO116-G012,ok,15,2.8271,0.8579,2.053558430850876,0.8579,mass_power,constant,False,31.653479857105182
ESO444-G084,ok,7,2.8271,0.8579,0.8388278365052896,0.8579,mass_power,constant,False,31.57416778917967
ESO563-G021,ok,30,2.8271,0.8579,8.579852748634735,0.8579,mass_power,constant,False,55.18877687807935
F561-1,ok,6,2.8271,0.8579,1.0492025689041995,0.8579,mass_power,constant,False,4.190419074455022
F563-1,ok,17,2.8271,0.8579,2.6850605387380564,0.8579,mass_power,constant,False,56.69709680720357
F563-V1,ok,6,2.8271,0.8579,0.6340271431674812,0.8579,mass_power,constant,False,1.8042359541018371
F563-V2,ok,10,2.8271,0.8579,2.0161529727647656,0.8579,mass_power,constant,False,44.72051245151041
F565-V2,ok,7,2.8271,0.8579,1.3581821989548781,0.8579,mass_power,constant,False,37.65991590226722
F568-1,ok,12,2.8271,0.8579,2.512037297052221,0.8579,mass_power,constant,False,50.2540165895557
F568-3,ok,18,2.8271,0.8579,2.374705500381786,0.8579,mass_power,constant,False,25.807685041189693
F568-V1,ok,15,2.8271,0.8579,2.6575892053188443,0.8579,mass_power,constant,False,49.33432018829735
F571-8,ok,13,2.8271,0.8579,2.5634718128757306,0.8579,mass_power,constant,False,47.10639327023377
F571-V1,ok,7,2.8271,0.8579,1.774568919541123,0.8579,mass_power,constant,False,33.364251428362316
F574-1,ok,14,2.8271,0.8579,2.0453301643546666,0.8579,mass_power,constant,False,32.1847448453385
F579-V1,ok,14,2.8271,0.8579,2.4839941663760117,0.8579,mass_power,constant,False,19.047869690024143
F583-1,ok,25,2.8271,0.8579,1.871827950418725,0.8579,mass_power,constant,False,31.41191816500223
F583-4,ok,12,2.8271,0.8579,1.1450550930379142,0.8579,mass_power,constant,False,18.0563551353623
IC2574,ok,34,2.8271,0.8579,1.3387837529355298,0.8579,mass_power,constant,False,18.63601557357948
IC4202,ok,32,2.8271,0.8579,5.7788879626547045,0.8579,mass_power,constant,False,31.155347794150895
KK98-251,ok,15,2.8271,0.8579,0.4491012183541924,0.8579,mass_power,constant,False,7.740812503766935
NGC0024,ok,29,2.8271,0.8579,2.1343309427207364,0.8579,mass_power,constant,False,20.8219437754333
NGC0055,ok,21,2.8271,0.8579,1.9290048447745594,0.8579,mass_power,constant,False,21.035612130366992
NGC0100,ok,21,2.8271,0.8579,1.6782063390141082,0.8579,mass_power,constant,False,25.874235523379713
NGC0247,ok,26,2.8271,0.8579,2.33662871727158,0.8579,mass_power,constant,False,28.05241605954586
NGC0289,ok,28,2.8271,0.8579,6.482885397019749,0.8579,mass_power,constant,False,55.53712104554075
NGC0300,ok,25,2.8271,0.8579,1.9530420696066673,0.8579,mass_power,constant,False,35.03854421156818
NGC0801,ok,13,2.8271,0.8579,7.462165733972377,0.8579,mass_power,constant,False,37.33952969352633
NGC0891,ok,18,2.8271,0.8579,4.490221899997716,0.8579,mass_power,constant,False,69.83762294685813
NGC1003,ok,36,2.8271,0.8579,3.274187949621614,0.8579,mass_power,constant,False,48.081822463693705
NGC1090,ok,24,2.8271,0.8579,4.4653598338495595,0.8579,mass_power,constant,False,25.346826679034898
NGC1705,ok,14,2.8271,0.8579,1.2059181776044845,0.8579,mass_power,constant,False,37.42029862755384
